ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
SMNKA091-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
GBBSP494-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.8329000000000001	0.8329000000000001	0.8329000000000001	0.8329000000000001	0.8329000000000001	0.8329000000000001
SMNKA199-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.6821999999999999	0.6821999999999999	0.6821999999999999	0.6821999999999999	0.6821999999999999	0.6821999999999999
SMNKA288-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9128000000000001	0.9128000000000001	0.9128000000000001	0.9128000000000001	0.9128000000000001	0.9128000000000001
GBCMA1151-08	Insecta	unk	unk	unk	unk	unk	unk	1	0.9864999999999999	0.9864999999999999	0.9864999999999999	0.9864999999999999	0.9864999999999999	0.9864999999999999
FBARB532-11	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.7478	0.7478	0.7478	0.7478	0.7478	0.7478
SMNKA181-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
TRCBG1489-20	Insecta	unk	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
SMNSA027-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
MYFAB067-10	Arachnida	unk	unk	unk	unk	unk	unk	1	0.8882	0.8882	0.8882	0.8882	0.8882	0.8882
SMNKA267-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
FBARB640-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
SMNSA260-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.6944999999999999	0.6944999999999999	0.6944999999999999	0.6944999999999999	0.6944999999999999	0.6944999999999999
SMNKA034-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
FBARB569-11	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9702999999999999	0.9702999999999999	0.9702999999999999	0.9702999999999999	0.9702999999999999	0.9702999999999999
SMNSA107-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
SMNKA149-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.7872999999999999	0.7872999999999999	0.7872999999999999	0.7872999999999999	0.7872999999999999	0.7872999999999999
FBARB347-11	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.8113	0.8113	0.8113	0.8113	0.8113	0.8113
SMNSA231-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
GBBSP119-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9652	0.9652	0.9652	0.9652	0.9652	0.9652
SMNKA263-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
SMNKA068-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
GBBSP1363-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9994	0.9994	0.9994	0.9994	0.9994	0.9994
GBBSP1067-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.8713000000000001	0.8713000000000001	0.8713000000000001	0.8713000000000001	0.8713000000000001	0.8713000000000001
SMNSA217-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.6823999999999999	0.6823999999999999	0.6823999999999999	0.6823999999999999	0.6823999999999999	0.6823999999999999
BNSB048-21	Arachnida	unk	unk	unk	unk	unk	unk	0.5221	0.5137	0.5137	0.5137	0.5137	0.5137	0.5137
MYFAB324-11	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.5211	0.5211	0.5211	0.5211	0.5211	0.5211
SMNSA196-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.6741999999999999	0.6741999999999999	0.6741999999999999	0.6741999999999999	0.6741999999999999	0.6741999999999999
SMNSA168-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.6729999999999999	0.6729999999999999	0.6729999999999999	0.6729999999999999	0.6729999999999999	0.6729999999999999
MYFAB406-11	Arachnida	unk	unk	unk	unk	unk	unk	1	0.6276	0.6276	0.6276	0.6276	0.6276	0.6276
MYFAB059-10	Arachnida	unk	unk	unk	unk	unk	unk	1	0.5854999999999999	0.5854999999999999	0.5854999999999999	0.5854999999999999	0.5854999999999999	0.5854999999999999
TBGMI199-22	Insecta	unk	unk	unk	unk	unk	unk	1	0.8915	0.8915	0.8915	0.8915	0.8915	0.8915
GCOL4346-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.42730000000000007	0.42730000000000007	0.42730000000000007	0.42730000000000007	0.42730000000000007
GBCOU1625-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5273	0.5273	0.5273	0.5273	0.5273
FBCOE1154-12	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	unk	unk	1	1	0.8967	0.8522000000000001	0.8522000000000001	0.8522000000000001	0.8522000000000001
GCOL3157-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7167	0.7167	0.7167	0.7167	0.7167
GBCOU3547-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.29900000000000004	0.29900000000000004	0.29900000000000004	0.29900000000000004	0.29900000000000004
FBLMU021-09	Insecta	Lepidoptera	unk	unk	unk	unk	unk	1	0.7946	0.7946	0.7946	0.7946	0.7946	0.7946
GCOL2429-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6057	0.6057	0.6057	0.6057	0.6057
FBCOA375-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.47600000000000003	0.47600000000000003	0.47600000000000003	0.47600000000000003	0.47600000000000003
GBCOU1428-13	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.9731	0.5172	0.5172	0.5172	0.5172
GBDTA10092-21	Insecta	Coleoptera	Staphylinidae	Pselaphinae	unk	unk	unk	1	1	0.7970999999999999	0.5657000000000001	0.5657000000000001	0.5657000000000001	0.5657000000000001
GCOL2595-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8117000000000001	0.8117000000000001	0.8117000000000001	0.8117000000000001	0.8117000000000001
GCOL2428-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	unk	unk	1	1	0.987	0.9808	0.9808	0.9808	0.9808
GDIP3710-22	Insecta	unk	unk	unk	unk	unk	unk	1	0.8999	0.8999	0.8999	0.8999	0.8999	0.8999
FBCOJ578-12	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.697	0.697	0.697	0.697	0.697
FBCOB736-10	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.7689	0.7689	0.7689	0.7689	0.7689
GBCOU703-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8735	0.8735	0.8735	0.8735	0.8735
GMGMQ272-18	Insecta	Diptera	unk	unk	unk	unk	unk	1	0.8232	0.8232	0.8232	0.8232	0.8232	0.8232
GCOL2610-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.43470000000000003	0.43470000000000003	0.43470000000000003	0.43470000000000003	0.43470000000000003
FBCOF132-12	Insecta	Coleoptera	Leiodidae	unk	unk	unk	unk	1	1	0.9979	0.9979	0.9979	0.9979	0.9979
GMGMK1333-14	Insecta	Diptera	unk	unk	unk	unk	unk	1	0.7296	0.7296	0.7296	0.7296	0.7296	0.7296
FBCOB614-10	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	unk	unk	1	1	0.6009	0.5971	0.5971	0.5971	0.5971
FBCON028-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.42730000000000007	0.42730000000000007	0.42730000000000007	0.42730000000000007	0.42730000000000007
GCOL2649-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8508000000000001	0.8508000000000001	0.8508000000000001	0.8508000000000001	0.8508000000000001
GBCOU2734-13	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.5933999999999999	0.4862	0.4862	0.4862	0.4862
FBCON726-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6394	0.6394	0.6394	0.6394	0.6394
GCOL589-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.4147	0.4147	0.4147	0.4147	0.4147
GCOL5268-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.43240000000000006	0.43240000000000006	0.43240000000000006	0.43240000000000006	0.43240000000000006
GCOL7059-16	Insecta	Coleoptera	Chrysomelidae	unk	unk	unk	unk	1	1	1	0.9055	0.9055	0.9055	0.9055
GCOL6591-16	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.47330000000000005	0.47330000000000005	0.47330000000000005	0.47330000000000005	0.47330000000000005
GDIP3561-22	Insecta	unk	unk	unk	unk	unk	unk	1	0.9724999999999999	0.9724999999999999	0.9724999999999999	0.9724999999999999	0.9724999999999999	0.9724999999999999
GCOL12844-16	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.47640000000000005	0.47640000000000005	0.47640000000000005	0.47640000000000005	0.47640000000000005
GBCOU2366-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5306000000000001	0.5306000000000001	0.5306000000000001	0.5306000000000001	0.5306000000000001
FBCOA229-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9072	0.9072	0.9072	0.9072	0.9072
FBCON744-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6084999999999999	0.6084999999999999	0.6084999999999999	0.6084999999999999	0.6084999999999999
GBCOU1665-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5273	0.5273	0.5273	0.5273	0.5273
GCOL2525-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	unk	unk	1	1	0.8649000000000001	0.8595	0.8595	0.8595	0.8595
FBCOB611-10	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	unk	unk	1	1	0.47700000000000004	0.47700000000000004	0.47700000000000004	0.47700000000000004	0.47700000000000004
GCOL10140-16	Insecta	Coleoptera	Chrysomelidae	unk	unk	unk	unk	1	1	1	0.9081	0.9081	0.9081	0.9081
GCOL7113-16	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.9073	0.6926	0.6926	0.6926	0.6926
GCOL2571-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6057	0.6057	0.6057	0.6057	0.6057
GMGMK1514-14	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.806	0.806	0.806	0.806	0.806
GCOL2596-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6375	0.6375	0.6375	0.6375	0.6375
FBCOO805-13	Insecta	Coleoptera	Chrysomelidae	unk	unk	unk	unk	1	1	0.9884	0.9045	0.9045	0.9045	0.9045
FBCOB152-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6394	0.6394	0.6394	0.6394	0.6394
FBCOO115-13	Insecta	Coleoptera	Cerambycidae	Cerambycinae	unk	unk	unk	1	1	1	0.7326	0.7326	0.7326	0.7326
GBCOG243-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7401	0.7401	0.7401	0.7401	0.7401
GCOL6128-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7377	0.7377	0.7377	0.7377	0.7377
GBCOB080-12	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	unk	unk	1	1	0.7827999999999999	0.7827999999999999	0.7827999999999999	0.7827999999999999	0.7827999999999999
GBCOU2234-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	unk	unk	1	1	1	0.997	0.997	0.997	0.997
FBCOK730-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5934999999999999	0.5934999999999999	0.5934999999999999	0.5934999999999999	0.5934999999999999
FBCOA391-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5104	0.5104	0.5104	0.5104	0.5104
GCOL9106-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8647000000000001	0.8647000000000001	0.8647000000000001	0.8647000000000001	0.8647000000000001
GCOL12703-16	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	0.9501000000000001	0.9501000000000001	0.9501000000000001	0.9501000000000001	0.9501000000000001
GBCOU1310-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9986	0.9986	0.9986	0.9986	0.9986
FBCON016-13	Insecta	Coleoptera	Leiodidae	unk	unk	unk	unk	1	1	0.9979	0.9979	0.9979	0.9979	0.9979
FBCOI718-12	Insecta	Coleoptera	Leiodidae	unk	unk	unk	unk	1	1	0.8072	0.8072	0.8072	0.8072	0.8072
MIDGE929-11	Insecta	unk	unk	unk	unk	unk	unk	1	0.9669	0.9669	0.9669	0.9669	0.9669	0.9669
FBCOQ137-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7411	0.7411	0.7411	0.7411	0.7411
GCOL3885-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.711	0.711	0.711	0.711	0.711
FBCOK731-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5936	0.5936	0.5936	0.5936	0.5936
GBCOC649-12	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6385	0.6385	0.6385	0.6385	0.6385
GBCOU2916-13	Insecta	Coleoptera	Chrysomelidae	unk	unk	unk	unk	1	1	1	0.6575	0.6575	0.6575	0.6575
GCOL10184-16	Insecta	Coleoptera	Oedemeridae	unk	unk	unk	unk	1	1	0.8660000000000001	0.8660000000000001	0.8660000000000001	0.8660000000000001	0.8660000000000001
GCOL4565-16	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.8092	0.6722999999999999	0.6722999999999999	0.6722999999999999	0.6722999999999999
FBCOD1069-11	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	unk	unk	1	1	1	0.998	0.998	0.998	0.998
ODOPE417-11	Insecta	unk	unk	unk	unk	unk	unk	1	0.36719999999999997	0.36719999999999997	0.36719999999999997	0.36719999999999997	0.36719999999999997	0.36719999999999997
FBCON699-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6394	0.6394	0.6394	0.6394	0.6394
GBCOU2781-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9407000000000001	0.9407000000000001	0.9407000000000001	0.9407000000000001	0.9407000000000001
GCOL6733-16	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9986	0.9986	0.9986	0.9986	0.9986
GBCOB273-12	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9986	0.9986	0.9986	0.9986	0.9986
GCOL11363-16	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.7341	0.42340000000000005	0.42340000000000005	0.42340000000000005	0.42340000000000005
FBCOF1085-12	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	unk	unk	1	1	0.9292	0.9264	0.9264	0.9264	0.9264
FBCOB807-10	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	unk	unk	1	1	0.43170000000000003	0.43040000000000006	0.43040000000000006	0.43040000000000006	0.43040000000000006
GCOL4285-16	Insecta	Coleoptera	Chrysomelidae	unk	unk	unk	unk	1	1	0.7087	0.3599	0.3599	0.3599	0.3599
GCOL2237-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.3855	0.3855	0.3855	0.3855	0.3855
GBCOD950-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7826	0.7826	0.7826	0.7826	0.7826
FBCON489-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8662000000000001	0.8662000000000001	0.8662000000000001	0.8662000000000001	0.8662000000000001
GBCOU1311-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9986	0.9986	0.9986	0.9986	0.9986
GCOL621-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8438000000000001	0.8438000000000001	0.8438000000000001	0.8438000000000001	0.8438000000000001
FBCOG1299-12	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.8806	0.8806	0.8806	0.8806	0.8806
GCOL1626-16	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.6976	0.43000000000000005	0.43000000000000005	0.43000000000000005	0.43000000000000005
GBCOU3461-13	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	1	0.8943	0.8943	0.8943	0.8943
GBCOF336-13	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.9582	0.7813999999999999	0.7813999999999999	0.7813999999999999	0.7813999999999999
