ID	class	order	family	Prob_class	Prob_order	Prob_family
FBARB347-11	Arachnida	Araneae	unk	1	1	0.7354999999999999
FBARB379-11	Arachnida	Araneae	unk	1	1	0.8873
SMNKA041-16	Arachnida	Araneae	Theridiidae	1	1	0.7625
FBARB650-12	Arachnida	Araneae	unk	1	1	0.8828
FBARB611-12	Arachnida	Araneae	unk	1	1	0.9578000000000001
SMNKA073-16	Arachnida	Araneae	unk	1	1	0.6906
SMNSA135-16	Arachnida	Araneae	unk	1	1	0.9578000000000001
SMNSA168-16	Arachnida	Opiliones	Phalangiidae	1	0.6559	0.6559
BNSB044-21	Insecta	unk	unk	0.5637000000000001	0.5637000000000001	0.5637000000000001
GBMND88342-21	Arachnida	unk	unk	1	0.8884	0.8884
TBGMI199-22	Insecta	unk	unk	1	0.7932999999999999	0.7932999999999999
GMGRD391-13	Insecta	Diptera	unk	1	1	0.8362
MYFAB430-11	Arachnida	Opiliones	Phalangiidae	1	0.6254	0.6254
FBCOB448-10	Insecta	Coleoptera	unk	1	1	0.7012999999999999
GBCOE681-13	Insecta	Coleoptera	unk	1	0.7259	0.7118
GCOL7113-16	Insecta	Coleoptera	Oedemeridae	1	1	0.5353
GBCOU236-13	Insecta	Coleoptera	unk	1	1	0.6960999999999999
FBCOA179-10	Insecta	Coleoptera	unk	1	0.8965	0.8210000000000001
GBCOD128-13	Insecta	Coleoptera	unk	1	1	0.8292
GCOL7188-16	Insecta	Coleoptera	unk	1	1	0.8453
GBCOU1444-13	Insecta	Coleoptera	unk	1	1	0.7549
FBCOO406-13	Insecta	Coleoptera	unk	1	1	0.6539
FBCOK261-13	Insecta	Coleoptera	unk	1	1	0.9318000000000001
FBCOB807-10	Insecta	Coleoptera	unk	1	1	0.6971999999999999
GCOL11501-16	Insecta	Coleoptera	unk	1	1	0.47480000000000006
GBCOU2366-13	Insecta	Coleoptera	Melyridae	1	1	0.5665
FBCOQ113-13	Insecta	Coleoptera	unk	1	1	0.76
GBCOG243-13	Insecta	Coleoptera	Melyridae	1	1	0.6746
GCOL8259-16	Insecta	Coleoptera	unk	1	1	0.6603999999999999
FBCOQ135-13	Insecta	Coleoptera	Melyridae	1	1	0.6746
FBCOK730-13	Insecta	Coleoptera	unk	1	1	0.9908
GBCOF191-13	Insecta	Coleoptera	unk	1	1	0.8473
GCOL12703-16	Insecta	Coleoptera	unk	1	1	0.7353999999999999
FBCOA679-10	Insecta	Coleoptera	unk	1	1	0.647
GBCOU2356-13	Insecta	Coleoptera	unk	1	1	0.9099
FBCOG1056-12	Insecta	Coleoptera	unk	1	1	0.732
FBCOG1106-12	Insecta	Coleoptera	unk	1	1	0.7676000000000001
GCOL8573-16	Insecta	Coleoptera	Ptiliidae	1	1	0.5052
GCOL12516-16	Insecta	Coleoptera	unk	1	1	0.7026
GBCOU3141-13	Insecta	Coleoptera	unk	1	1	1
GCOL3070-16	Insecta	Coleoptera	unk	1	1	0.5898
FBCOG491-12	Insecta	Coleoptera	unk	1	1	0.7413
FBCON684-13	Insecta	Coleoptera	unk	1	1	1
GCOL12166-16	Insecta	Coleoptera	unk	1	1	0.9367000000000001
GCOL7825-16	Insecta	Coleoptera	Scarabaeidae	1	1	0.6718
FBCOK259-13	Insecta	Coleoptera	unk	1	1	0.9607
FBCOP606-13	Insecta	Coleoptera	unk	1	1	0.5039
GBCOU3277-13	Insecta	Coleoptera	unk	1	1	0.8619000000000001
GBCOU2489-13	Insecta	Coleoptera	unk	1	1	0.688
GBCOU1633-13	Insecta	Coleoptera	Melyridae	1	1	0.8454
GBCOD636-13	Insecta	Coleoptera	unk	1	1	0.9981
FBCON400-13	Insecta	Coleoptera	unk	1	1	0.9863999999999999
GCOL3290-16	Insecta	Coleoptera	Curculionidae	1	0.9547000000000001	0.5709000000000001
GBCOF409-13	Insecta	Coleoptera	unk	1	1	0.6668999999999999
FBCOA683-10	Insecta	Coleoptera	unk	1	1	0.7434999999999999
GBCOF475-13	Insecta	Coleoptera	unk	1	1	0.6668999999999999
GBCOU1650-13	Insecta	Coleoptera	unk	1	1	0.7479
GBCOU3557-13	Insecta	Coleoptera	unk	1	1	0.9131
FBCOG1232-12	Insecta	Coleoptera	unk	1	1	1
GCOL10538-16	Insecta	Coleoptera	unk	1	1	0.9326000000000001
GMGMQ4529-18	Insecta	Coleoptera	Kateretidae	1	1	0.8009000000000001
FBCOK007-13	Insecta	Coleoptera	unk	1	1	0.6698999999999999
GCOL2048-16	Insecta	Coleoptera	unk	1	1	0.7299
GCOL10524-16	Insecta	Coleoptera	unk	1	1	0.921
FBCOB791-10	Insecta	Coleoptera	unk	1	1	0.741
FBCOB152-10	Insecta	Coleoptera	unk	1	1	0.6363
GBMNE47991-22	Insecta	Coleoptera	Curculionidae	1	0.9547000000000001	0.5709000000000001
GBCOL135-12	Insecta	Coleoptera	unk	1	1	0.7636000000000001
FBAQU682-10	Insecta	Coleoptera	unk	1	1	0.8248000000000001
ULMCA016-19	Insecta	Coleoptera	unk	1	1	0.7031999999999999
FBCOJ578-12	Insecta	Coleoptera	unk	1	1	0.9991
FBCOI819-12	Insecta	Coleoptera	Hydraenidae	1	1	0.9146000000000001
FBCOE795-12	Insecta	Coleoptera	Melyridae	1	1	0.8443
GCOL6778-16	Insecta	Coleoptera	unk	1	1	0.8156000000000001
FBCON699-13	Insecta	Coleoptera	unk	1	1	0.6363
