ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
GBBSP796-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.8666000000000001	0.8666000000000001	0.8666000000000001	0.8666000000000001	0.8666000000000001
SMNKA310-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5448000000000001	0.5448000000000001	0.5448000000000001	0.5448000000000001	0.5448000000000001
SMNSA146-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7572	0.7572	0.7572	0.7572	0.7572
SMNKA249-16	Arachnida	Araneae	Liocranidae	dummy_Liocranidae	dummy_Liocranidae	unk	unk	1	1	0.7492	0.7492	0.7492	0.7492	0.7492
GBBSP1677-15	Arachnida	Araneae	Clubionidae	dummy_Clubionidae	dummy_Clubionidae	Clubiona	unk	1	1	0.5481	0.5481	0.5481	0.5481	0.5481
SMNKA220-16	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	dummy_Lycosidae	unk	unk	1	1	0.9992	0.9992	0.9992	0.9992	0.9992
GBBSP021-15	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	dummy_Lycosidae	unk	unk	1	1	0.9992	0.9992	0.9992	0.9992	0.9992
GBBSP111-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7747	0.7747	0.7747	0.7747	0.7747
SMNSA069-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7167	0.7167	0.7167	0.7167	0.7167
GBBSP479-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.9147000000000001	0.9147000000000001	0.9147000000000001	0.9147000000000001	0.9147000000000001
SMNKA149-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7852999999999999	0.7852999999999999	0.7852999999999999	0.7852999999999999	0.7852999999999999
SMNKA058-16	Arachnida	Araneae	Thomisidae	dummy_Thomisidae	dummy_Thomisidae	unk	unk	1	1	0.9631	0.9631	0.9631	0.9631	0.9631
GBBSP737-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.8482000000000001	0.8482000000000001	0.8482000000000001	0.8482000000000001	0.8482000000000001
SMNKA288-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.8829	0.8829	0.8829	0.8829	0.8829
SMNKA192-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7358	0.7358	0.7358	0.7358	0.7358
FBARB265-11	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.729	0.729	0.729	0.729	0.729
SMNSA027-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	Gnaphosa	unk	1	1	1	1	1	0.6618999999999999	0.6618999999999999
SMNKA313-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	unk	unk	1	1	1	1	1	0.696	0.696
SMNSA246-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	Gnaphosa	unk	1	1	1	1	1	0.6592	0.6592
SMNKA073-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5404	0.5404	0.5404	0.5404	0.5404
SMNSA045-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	unk	unk	1	1	1	1	1	0.7407	0.7407
SMNKA177-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	unk	unk	1	1	1	1	1	0.7354999999999999	0.7354999999999999
SMNSA022-16	Arachnida	Araneae	Gnaphosidae	dummy_Gnaphosidae	dummy_Gnaphosidae	Gnaphosa	unk	1	1	1	1	1	0.5729000000000001	0.5729000000000001
FBARB081-11	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5364	0.5364	0.5364	0.5364	0.5364
GBBSP804-15	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	unk	1	1	0.9692	0.9692	0.9692	0.9692	0.9692
FBARB611-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7526	0.7526	0.7526	0.7526	0.7526
SMNSA135-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7526	0.7526	0.7526	0.7526	0.7526
FBARB502-11	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	Theridion	unk	1	1	1	1	1	0.8006000000000001	0.8006000000000001
GBBSP617-15	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	0.9602999999999999	0.9602999999999999
SMNSA063-16	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	0.6996	0.6996
FBARB753-12	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	1	1
SMNSA171-16	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	0.9061	0.9061
SMNKA194-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.973	0.973	0.973	0.973	0.973
MYFAB014-10	Arachnida	unk	unk	unk	unk	unk	unk	1	0.7313999999999999	0.7313999999999999	0.7313999999999999	0.7313999999999999	0.7313999999999999	0.7313999999999999
GBMYR975-15	Insecta	unk	unk	unk	unk	unk	unk	0.6001	0.6001	0.6001	0.6001	0.6001	0.6001	0.6001
MYFAB122-10	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.5898	0.5898	0.5898	0.5898	0.5898	0.5898
GBBSP853-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.917	0.917	0.917	0.917	0.917	0.917
FBCON726-13	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	1	1	0.89	0.89	0.89
FBCOC290-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5816	0.5816	0.5816	0.5816	0.5816
FBCOF748-12	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	0.4918	0.4918	0.4918	0.4918	0.4918
GBCOU2618-13	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.7012999999999999	0.7012999999999999	0.7012999999999999	0.7012999999999999	0.7012999999999999
GBCOU2781-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	unk	unk	1	1	1	0.9842	0.7833999999999999	0.7833999999999999	0.7833999999999999
GBCOU1665-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.4414	0.4414	0.4414	0.4414	0.4414
GBCOU852-13	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	unk	unk	1	1	1	0.9876	0.7576	0.7576	0.7576
FBCOO467-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.775	0.775	0.775	0.775	0.775
FBCOC869-10	Insecta	Coleoptera	Anthicidae	unk	unk	unk	unk	1	1	0.9863	0.9863	0.9863	0.9863	0.9863
GCOL1626-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5816	0.5816	0.5816	0.5816	0.5816
FBCON699-13	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	1	1	0.89	0.89	0.89
GCOL7059-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9628	0.9628	0.9628	0.9628	0.9628
GCOL621-16	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	unk	unk	1	1	0.3996	0.3996	0.39940000000000003	0.39940000000000003	0.39940000000000003
GCOL8097-16	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	unk	unk	1	1	0.8752000000000001	0.8752000000000001	0.7758	0.7758	0.7758
FBCOB149-10	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	unk	unk	1	1	0.5242	0.5242	0.4406	0.4406	0.4406
GCOL10409-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.3314	0.3314	0.3314	0.3314	0.3314
GBCOU655-13	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Rhynchitini	unk	unk	1	1	1	1	0.8598000000000001	0.757	0.757
GBCOU1686-13	Insecta	Coleoptera	Attelabidae	Rhynchitinae	Rhynchitini	unk	unk	1	1	1	1	0.8249000000000001	0.5378000000000001	0.5378000000000001
GBCOB080-12	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	unk	unk	1	1	1	1	0.42500000000000004	0.42500000000000004	0.42500000000000004
GCOL2627-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7870999999999999	0.7870999999999999	0.7870999999999999	0.7870999999999999	0.7870999999999999
GCOL6670-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8786000000000002	0.8786000000000002	0.8786000000000002	0.8786000000000002	0.8786000000000002
FBCOJ641-12	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	unk	unk	unk	1	1	1	0.8084	0.733	0.733	0.733
GCOL13156-16	Insecta	Coleoptera	Staphylinidae	unk	unk	unk	unk	1	1	0.8245	0.28140000000000004	0.28140000000000004	0.28140000000000004	0.28140000000000004
FBCOA856-10	Insecta	Coleoptera	Staphylinidae	Proteininae	Proteinini	unk	unk	1	1	0.9666	0.8417000000000001	0.8417000000000001	0.7729	0.7729
GCOL6671-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8786000000000002	0.8786000000000002	0.8786000000000002	0.8786000000000002	0.8786000000000002
FBCOB314-10	Insecta	Coleoptera	Staphylinidae	Staphylininae	Staphylinini	unk	unk	1	1	1	1	1	0.5264	0.5264
GCOL8694-16	Insecta	Coleoptera	Dermestidae	Megatominae	unk	unk	unk	1	1	1	1	0.5569000000000001	0.5569000000000001	0.5569000000000001
FBCOG1069-12	Insecta	Coleoptera	Staphylinidae	unk	unk	unk	unk	1	1	1	0.8043	0.8043	0.8043	0.8043
GMGRF5665-13	Insecta	Coleoptera	Cantharidae	unk	unk	unk	unk	1	1	1	0.5	0.5	0.5	0.5
GBCOU1889-13	Insecta	Coleoptera	Staphylinidae	Aleocharinae	unk	unk	unk	1	1	0.9436000000000001	0.8678000000000001	0.7447	0.7447	0.7447
GBCOU2189-13	Insecta	Coleoptera	Elateridae	unk	unk	unk	unk	1	1	0.9582	0.47730000000000006	0.47730000000000006	0.47730000000000006	0.47730000000000006
FBCOK299-13	Insecta	Coleoptera	Elateridae	Agrypninae	unk	unk	unk	1	1	1	0.9996	0.9996	0.9996	0.9996
FBCOB625-10	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	Liotrichus	Liotrichus_affinis	1	1	0.9553	0.5724	0.5724	0.3374	0.3374
FBCOJ181-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	unk	1	1	1	1	0.9979	0.9841	0.9841
FBCOJ182-12	Insecta	Coleoptera	Elateridae	unk	unk	unk	unk	1	1	1	0.3065	0.3065	0.3065	0.3065
FBCOK524-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Dendrometrini	unk	unk	1	1	1	0.975	0.9031	0.7852999999999999	0.7852999999999999
FBCON245-13	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	unk	unk	1	1	1	1	0.8602000000000001	0.3589	0.3589
FBCOJ487-12	Insecta	Coleoptera	Elateridae	Dendrometrinae	Prosternini	Selatosomus	unk	1	1	1	1	1	0.9728	0.5736000000000001
AGRID027-10	Insecta	Coleoptera	Elateridae	Elaterinae	Agriotini	unk	unk	1	1	1	1	0.6659999999999999	0.6659999999999999	0.6659999999999999
GCOL12934-16	Insecta	Coleoptera	Elateridae	Elaterinae	Ampedini	Ampedus	unk	1	1	1	1	0.9704999999999999	0.9704999999999999	0.9704999999999999
FBAQU411-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.743	0.743	0.743	0.743	0.743
FBCOP726-13	Insecta	Coleoptera	Heteroceridae	Heterocerinae	dummy_Heterocerinae	unk	unk	1	1	0.6305	0.6305	0.6305	0.6305	0.6305
FBCOD718-11	Insecta	Coleoptera	Heteroceridae	Heterocerinae	dummy_Heterocerinae	unk	unk	1	1	0.6106	0.6106	0.6106	0.6106	0.6106
GCOL839-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7654	0.7654	0.7654	0.7654	0.7654
GBCOF336-13	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	1	1	0.9466000000000001	0.9466000000000001
GBCOU602-13	Insecta	Coleoptera	Tenebrionidae	Tenebrioninae	unk	unk	unk	1	1	1	0.6680999999999999	0.5812999999999999	0.5812999999999999	0.5812999999999999
GBCOU2717-13	Insecta	Coleoptera	Tenebrionidae	Diaperinae	unk	unk	unk	1	1	1	0.6306	0.5861	0.5861	0.5861
FBCOI459-12	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	1	1	0.96	0.96
FBCOB524-10	Insecta	Coleoptera	Tenebrionidae	Alleculinae	Alleculini	unk	unk	1	1	1	0.9996	0.9996	0.9796	0.9796
