ID	class	order	family	subfamily	tribe	genus	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus
GBBSP494-15	Arachnida	Araneae	Agelenidae	dummy_Agelenidae	dummy_Agelenidae	Tegenaria	1	1	0.9999	0.9999	0.9999	0.9999
FBARB594-12	Arachnida	Araneae	Araneidae	dummy_Araneidae	dummy_Araneidae	unk	1	1	1	1	1	0.9987
SMNSA079-16	Arachnida	Araneae	Araneidae	dummy_Araneidae	dummy_Araneidae	Gibbaranea	1	1	1	1	1	0.9997
SMNSA231-16	Arachnida	Araneae	Tetragnathidae	dummy_Tetragnathidae	dummy_Tetragnathidae	unk	1	1	1	1	1	0.5793
SMNSA135-16	Arachnida	Araneae	Dictynidae	dummy_Dictynidae	dummy_Dictynidae	unk	1	1	0.7898999999999999	0.7898999999999999	0.7898999999999999	0.7019
GBBSP1278-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9392
GBBSP1601-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.8024
FBARB180-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7573
SMNSA077-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Erigonella	1	1	1	1	1	0.5972
FBARB915-14	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9357000000000001
FBARB569-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9078
FBARB625-12	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7714
GBBSP042-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Silometopus	1	1	1	1	1	0.9212
SMNKA174-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7654
SMNKA199-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7627
GBBSP1363-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9385
GBBSP1679-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Agyneta	1	1	1	1	1	0.9628
SMNKA269-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.926
GBBSP469-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	1	1	1	1	1	0.8478000000000001
SMNKA068-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	1	1	1	1	1	0.7412
SMNKA264-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7669
GBBSP1135-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9333
FBARB222-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.6166
GBBSP2135-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.8024
GBBSP1331-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.7302
SMNKA283-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.9540000000000001
GBBSP651-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	0.9918	0.9918	0.9918	0.97
GBBSP1299-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	1	1	1	0.8212
FBARB532-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	1	1	0.9917	0.9917	0.9917	0.9718
GBBSP1670-15	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	Theridion	1	1	1	1	1	0.999
GBBSP617-15	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	1	1	1	1	1	0.9504
