ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
GBBSP494-15	Arachnida	Araneae	Agelenidae	dummy_Agelenidae	dummy_Agelenidae	Tegenaria	Tegenaria_domestica	1	1	0.9999	0.9999	0.9999	0.9999	0.9999
SMNSA157-16	Arachnida	Araneae	Araneidae	dummy_Araneidae	dummy_Araneidae	Araneus	Araneus_angulatus	1	1	1	1	1	1	0.9998
FBARB594-12	Arachnida	Araneae	Araneidae	dummy_Araneidae	dummy_Araneidae	Araneus	unk	1	1	1	1	1	0.5954999999999999	0.4993
SMNKA194-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
GBBSP617-15	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	0.9490000000000001	0.9490000000000001
FBARB753-12	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	1	1	1	1	1
SMNSA171-16	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	Steatoda	unk	1	1	1	1	1	0.6229	0.6229
FBARB638-12	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	Steatoda	unk	1	1	1	1	1	0.7899999999999999	0.7488
SMNSA135-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
GBBSP796-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5424	0.5424	0.5424	0.5424	0.5424
SMNSA146-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
SMNKA017-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	unk	1	1	0.9784999999999999	0.9784999999999999	0.9784999999999999	0.6966	0.6966
SMNKA310-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	dummy_Salticidae	unk	unk	1	1	0.7384	0.7384	0.7384	0.5173	0.5173
SMNKA031-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
SMNKA073-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.9008	0.9008	0.9008	0.9008	0.9008
GBBSP1278-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.6974999999999999	0.6974999999999999
SMNSA077-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Erigonella	unk	1	1	1	1	1	0.6616	0.5145
SMNKA264-16	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.8917	0.8917
FBARB625-12	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	unk	1	1	1	1	1	0.48430000000000006	0.4232
FBARB915-14	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.8851	0.8851
GBBSP1135-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Maro	unk	1	1	1	1	1	0.8107000000000001	0.48750000000000004
GBBSP1331-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.5461	0.5461
GBBSP1335-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Palliduphantes	Palliduphantes_antroniensis	1	1	1	1	1	0.9245	0.9245
GBBSP655-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.6787	0.6787
GBBSP1601-15	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Walckenaeria	unk	1	1	1	1	1	1	0.7876
FBARB224-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	Macrargus	Macrargus_rufus	1	1	1	1	1	1	0.518
FBARB569-11	Arachnida	Araneae	Linyphiidae	dummy_Linyphiidae	dummy_Linyphiidae	unk	unk	1	1	1	1	1	0.9634999999999999	0.9634999999999999
