ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
FBARB651-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.9957	0.9957	0.9957	0.9957	0.9957
FBARB650-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	1	1	1	1	1
FBARB485-11	Arachnida	Araneae	Theridiidae	dummy_Theridiidae	dummy_Theridiidae	unk	unk	1	1	0.6896	0.6896	0.6896	0.6896	0.6896
SMNSA146-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.9658	0.9658	0.9658	0.9658	0.9658
FBARB587-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.6902999999999999	0.6902999999999999	0.6902999999999999	0.6902999999999999	0.6902999999999999
SMNKA042-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5512	0.5512	0.5512	0.5512	0.5512
GBBSP737-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.8065	0.8065	0.8065	0.8065	0.8065
SMNKA218-16	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	dummy_Lycosidae	unk	unk	1	1	0.9987	0.9987	0.9987	0.9987	0.9987
SMNKA111-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5462	0.5462	0.5462	0.5462	0.5462
SMNSA069-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.8005	0.8005	0.8005	0.8005	0.8005
SMNKA149-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7193999999999999	0.7193999999999999	0.7193999999999999	0.7193999999999999	0.7193999999999999
SMNKA192-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.651	0.651	0.651	0.651	0.651
GBBSP111-15	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.7151	0.7151	0.7151	0.7151	0.7151
SMNSA260-16	Arachnida	Araneae	Thomisidae	dummy_Thomisidae	dummy_Thomisidae	unk	unk	1	1	0.9974999999999999	0.9974999999999999	0.9974999999999999	0.9974999999999999	0.9974999999999999
