ID	class	order	family	subfamily	Prob_class	Prob_order	Prob_family	Prob_subfamily
SMNKA135-16	Arachnida	Araneae	unk	unk	1	1	0.985	0.985
SMNSA045-16	Arachnida	Araneae	unk	unk	1	1	0.9632	0.9632
FBARB651-12	Arachnida	Araneae	unk	unk	1	1	0.7833999999999999	0.7833999999999999
GBBSP1130-15	Arachnida	Araneae	unk	unk	1	1	0.968	0.968
SMNKA194-16	Arachnida	Araneae	unk	unk	1	1	0.9608	0.9608
GBBSP1551-15	Arachnida	Araneae	unk	unk	1	1	0.8833	0.8833
FBARB379-11	Arachnida	Araneae	unk	unk	1	1	0.9921	0.9921
FBARB650-12	Arachnida	Araneae	unk	unk	1	1	0.9662	0.9662
SMNKA310-16	Arachnida	Araneae	unk	unk	1	1	0.8280000000000001	0.8280000000000001
FBARB611-12	Arachnida	Araneae	unk	unk	1	1	0.7809999999999999	0.7809999999999999
GBBSP1396-15	Arachnida	Araneae	unk	unk	1	1	0.7303	0.7303
GBBSP926-15	Arachnida	Araneae	Clubionidae	dummy_Clubionidae	1	1	0.5639000000000001	0.5639000000000001
FBARB587-12	Arachnida	Araneae	unk	unk	1	1	0.7648	0.7648
GBBSP479-15	Arachnida	Araneae	unk	unk	1	1	0.8142	0.8142
GBBSP021-15	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	1	1	0.9988	0.9988
SMNKA218-16	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	1	1	0.9988	0.9988
SMNKA111-16	Arachnida	Araneae	unk	unk	1	1	0.5382	0.5382
SMNSA069-16	Arachnida	Araneae	unk	unk	1	1	0.8315	0.8315
SMNKA192-16	Arachnida	Araneae	unk	unk	1	1	0.8033	0.8033
SMNSA081-16	Arachnida	Araneae	Oxyopidae	dummy_Oxyopidae	1	1	0.9992	0.9992
GBBSP737-15	Arachnida	Araneae	unk	unk	1	1	0.7561	0.7561
SMNKA149-16	Arachnida	Araneae	unk	unk	1	1	0.8428000000000001	0.8428000000000001
FBARB294-11	Arachnida	Araneae	Thomisidae	dummy_Thomisidae	1	1	0.47930000000000006	0.47930000000000006
SMNSA114-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	1	1	0.998	0.998
SMNKA025-16	Arachnida	Araneae	Salticidae	dummy_Salticidae	1	1	0.998	0.998
SMNSA135-16	Arachnida	Araneae	unk	unk	1	1	0.7809999999999999	0.7809999999999999
