ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
SMNKA073-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.604	0.604	0.604	0.604	0.604
FBARB650-12	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.9801	0.9801	0.9801	0.9801	0.9801
SMNSA135-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	1	0.5253	0.5253	0.5253	0.5253	0.5253
SMNKA194-16	Arachnida	Araneae	unk	unk	unk	unk	unk	1	0.9863999999999999	0.9819	0.9819	0.9819	0.9819	0.9819
GBBSP645-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.8549000000000001	0.8549000000000001	0.8549000000000001	0.8549000000000001	0.8549000000000001	0.8549000000000001
MYFAB324-11	Arachnida	unk	unk	unk	unk	unk	unk	1	0.9419000000000001	0.9419000000000001	0.9419000000000001	0.9419000000000001	0.9419000000000001	0.9419000000000001
GBBSP575-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.8373	0.8373	0.8373	0.8373	0.8373	0.8373
MYFAB021-10	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	unk	unk	1	0.7192	0.7192	0.7192	0.7192	0.7192	0.7192
SMNSA217-16	Arachnida	unk	unk	unk	unk	unk	unk	1	0.5	0.5	0.5	0.5	0.5	0.5
TBGMI152-21	Arachnida	Sarcoptiformes	Chamobatidae	dummy_Chamobatidae	dummy_Chamobatidae	Chamobates	unk	1	1	0.5609000000000001	0.5609000000000001	0.5609000000000001	0.5609000000000001	0.5609000000000001
TBGMI177-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.5583	0.5583	0.5583	0.5583	0.5583
TBGMI176-21	Arachnida	Sarcoptiformes	Ceratozetidae	dummy_Ceratozetidae	dummy_Ceratozetidae	unk	unk	1	1	1	1	1	0.7319	0.7319
TBGMI172-21	Arachnida	Sarcoptiformes	Ceratozetidae	dummy_Ceratozetidae	dummy_Ceratozetidae	unk	unk	1	1	0.7408	0.7408	0.7408	0.6517000000000001	0.6517000000000001
TBGMI178-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.4998	0.4998	0.4998	0.4998	0.4998
TBGMI161-21	Arachnida	Sarcoptiformes	Phenopelopidae	dummy_Phenopelopidae	dummy_Phenopelopidae	Eupelops	unk	1	1	0.4353000000000001	0.4353000000000001	0.4353000000000001	0.4353000000000001	0.4353000000000001
TBGMI154-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.779	0.779	0.779	0.779	0.779
TBGMI156-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.8268000000000001	0.8268000000000001	0.8268000000000001	0.8268000000000001	0.8268000000000001
TBGMI165-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.7741	0.7741	0.7741	0.7741	0.7741
TBGMI157-21	Arachnida	Sarcoptiformes	unk	unk	unk	unk	unk	1	1	0.8947	0.8947	0.8947	0.8947	0.8947
TBGMI180-21	Arachnida	Sarcoptiformes	Liacaridae	dummy_Liacaridae	dummy_Liacaridae	unk	unk	1	1	0.6703999999999999	0.6703999999999999	0.6703999999999999	0.529	0.529
BCHYM2992-14	Insecta	Hymenoptera	unk	unk	unk	unk	unk	0.8931	0.8931	0.6737	0.6737	0.6737	0.6737	0.6737
TBGMI056-21	Insecta	Trichoptera	unk	unk	unk	unk	unk	1	0.9777	0.8344	0.8344	0.8344	0.8344	0.8344
TBGMI116-21	Arachnida	unk	unk	unk	unk	unk	unk	1	0.5720000000000001	0.5720000000000001	0.5720000000000001	0.5720000000000001	0.5720000000000001	0.5720000000000001
SMNSA023-16	Arachnida	unk	unk	unk	unk	unk	unk	1	0.7181	0.7181	0.7181	0.7181	0.7181	0.7181
BNSB048-21	Arachnida	unk	unk	unk	unk	unk	unk	0.6702999999999999	0.6529	0.6529	0.6529	0.6529	0.6529	0.6529
GBCOU1665-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.5038	0.5038	0.5038	0.5038	0.5038
FBLMW321-10	Insecta	Lepidoptera	unk	unk	unk	unk	unk	1	0.6677	0.6677	0.6677	0.6677	0.6677	0.6677
FBCOC407-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7228	0.7228	0.7228	0.7228	0.7228
GBCOU1311-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9992	0.9992	0.9992	0.9992	0.9992
GCOL621-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9797	0.9797	0.9797	0.9797	0.9797
FBCON489-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9848	0.9848	0.9848	0.9848	0.9848
GBCOU1251-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9992	0.9992	0.9992	0.9992	0.9992
GBCOD950-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7411	0.7411	0.7411	0.7411	0.7411
FBCOF748-12	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9736	0.9736	0.9736	0.9736	0.9736
GCOL1626-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6771999999999999	0.6771999999999999	0.6771999999999999	0.6771999999999999	0.6771999999999999
FBCON726-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6102	0.6102	0.6102	0.6102	0.6102
GCOL7055-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7251	0.7251
FBCOD699-11	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Eutrichapion	unk	1	1	1	1	1	0.5897	0.5897
FBCOE280-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.8851	0.8851
FBCON223-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.6346	0.6346
GCOL11925-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.4973	0.4973
GCOL12489-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.903	0.903
GBCOC154-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Apion	unk	1	1	1	1	1	0.9691	0.9691
FBCOP735-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.9307000000000001	0.9307000000000001
GCOL8616-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.5568000000000001	0.5568000000000001
GBCOD591-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.8928	0.8928
FBCON212-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.9479000000000001	0.9479000000000001
FBCOP378-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7996	0.7996
GCOL5036-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.9268000000000001	0.9268000000000001
GBCOL733-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.9268000000000001	0.9268000000000001
GCOL11343-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7393	0.7393
GCOL7513-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7834999999999999	0.7834999999999999
FBCON347-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7761	0.7761
FBCOA716-10	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Cyanapion	unk	1	1	1	1	1	0.8497000000000001	0.8497000000000001
FBCOG935-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.8928	0.8928
GBCOG439-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7784	0.7784
GBCOU2031-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Eutrichapion	unk	1	1	1	1	1	0.5141	0.5141
GCOL5057-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.9268000000000001	0.9268000000000001
GBCOF897-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.6342	0.6342
GCOL11213-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.6777	0.6777
GBCOL663-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Cyanapion	unk	1	1	1	1	1	0.8493	0.8493
GCOL11309-16	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7694	0.7694
FBCOA886-10	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	0.9723999999999999	0.9723999999999999	0.9444	0.9444
GBCOU656-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7733	0.7733
GBCOL710-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.8928	0.8928
GBMIN47930-17	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.5	0.5
GBCOG118-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.7396	0.7396
FBCOB635-10	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	Protapion	unk	1	1	1	1	1	0.8737000000000001	0.8737000000000001
FBCOB792-10	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	unk	unk	1	1	1	1	1	0.5	0.5
GBCOG059-13	Insecta	Coleoptera	Brentidae	Nanophyinae	Nanophyini	Nanophyes	unk	1	1	1	0.9998	0.9998	0.9998	0.9998
GBCOU2083-13	Insecta	Coleoptera	Brentidae	Nanophyinae	Nanophyini	Nanophyes	unk	1	1	1	0.6683999999999999	0.6683999999999999	0.6683999999999999	0.6683999999999999
GBDTA10092-21	Insecta	Coleoptera	Staphylinidae	Pselaphinae	unk	unk	unk	1	0.656	0.656	0.656	0.6507000000000001	0.6507000000000001	0.6507000000000001
GBCOU3547-13	Insecta	Coleoptera	Chrysomelidae	Chrysomelinae	dummy_Chrysomelinae	unk	unk	1	1	1	0.9788	0.9788	0.9301	0.9301
FBCOH564-12	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	unk	unk	1	1	0.6321	0.4736	0.4736	0.4736	0.4736
FBCOD763-11	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	unk	unk	1	1	0.987	0.6838	0.6838	0.6838	0.6838
GCOL11216-16	Insecta	Coleoptera	Phalacridae	Phalacrinae	dummy_Phalacrinae	unk	unk	1	1	0.6729999999999999	0.6729999999999999	0.6729999999999999	0.6729999999999999	0.6729999999999999
GCOL13261-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6554	0.6554	0.6554	0.6554	0.6554
FBCOH563-12	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	unk	unk	1	1	0.6295	0.47080000000000005	0.47080000000000005	0.47080000000000005	0.47080000000000005
GBCOB821-12	Insecta	Coleoptera	Silvanidae	Silvaninae	dummy_Silvaninae	unk	unk	1	1	1	0.6719999999999999	0.6719999999999999	0.6719999999999999	0.6719999999999999
GBCOL338-12	Insecta	Coleoptera	Phalacridae	Phalacrinae	dummy_Phalacrinae	unk	unk	1	1	0.736	0.736	0.736	0.736	0.736
FBCON744-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7904999999999999	0.7904999999999999	0.7904999999999999	0.7904999999999999	0.7904999999999999
GCOL517-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9901	0.9901	0.9901	0.9901	0.9901
FBCOB152-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6102	0.6102	0.6102	0.6102	0.6102
FBCOC290-10	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6771999999999999	0.6771999999999999	0.6771999999999999	0.6771999999999999	0.6771999999999999
GCOL12703-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9015	0.9015	0.9015	0.9015	0.9015
GCOL6993-16	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999
GCOL6214-16	Insecta	Coleoptera	Staphylinidae	unk	unk	unk	unk	1	1	0.8207000000000001	0.8116000000000001	0.8116000000000001	0.8116000000000001	0.8116000000000001
GBCOU2618-13	Insecta	Coleoptera	Scraptiidae	Anaspidinae	Anaspidini	Anaspis	unk	1	1	0.7762	0.7762	0.7762	0.7762	0.7762
FBCOG1299-12	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999
GCOL7484-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.347	0.347	0.347	0.347	0.347
FBCOQ113-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9211	0.9211	0.9211	0.9211	0.9211
GBCOF336-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.507	0.507	0.507	0.507	0.507
GBCOU602-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.347	0.347	0.347	0.347	0.347
FBCOP050-13	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9992	0.9992	0.9992	0.9992	0.9992
FBCOE464-12	Insecta	Coleoptera	Melyridae	unk	unk	unk	unk	1	1	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999	0.9744999999999999
GBCOU2366-13	Insecta	Coleoptera	Cerambycidae	unk	unk	unk	unk	1	1	0.9819	0.8954	0.8954	0.8954	0.8954
GBCOU852-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8953	0.8953	0.8953	0.8953	0.8953
GCOL12844-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9493	0.9493	0.9493	0.9493	0.9493
GBCOU2781-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.9041	0.9041	0.9041	0.9041	0.9041
FBCOO467-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7023999999999999	0.7023999999999999	0.7023999999999999	0.7023999999999999	0.7023999999999999
GBCOU2717-13	Insecta	Coleoptera	Tenebrionidae	Diaperinae	unk	unk	unk	1	1	1	0.7897	0.7897	0.7897	0.7897
FBCOB524-10	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.7142999999999999	0.7142999999999999	0.7142999999999999	0.7142999999999999
GBCOU1849-13	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.9713999999999999	0.9713999999999999	0.9713999999999999	0.9713999999999999
GCOL3822-16	Insecta	Coleoptera	Attelabidae	Rhynchitinae	unk	unk	unk	1	1	0.5978	0.5978	0.5676000000000001	0.5676000000000001	0.5676000000000001
GCOL7863-16	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.5047	0.5047	0.5047	0.5047
GCOL6056-16	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.6331	0.6331	0.6331	0.6331
FBCOD1231-11	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.8704000000000001	0.8704000000000001	0.8704000000000001	0.8704000000000001
GCOL4154-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.583	0.583	0.583	0.583	0.583
GCOL7059-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.7014999999999999	0.7014999999999999	0.7014999999999999	0.7014999999999999	0.7014999999999999
FBCOG451-12	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	1	0.5047	0.5047	0.5047	0.5047
FBCOE871-12	Insecta	Coleoptera	Nitidulidae	unk	unk	unk	unk	1	1	0.4452	0.3299	0.3299	0.3299	0.3299
GBCOU1650-13	Insecta	Coleoptera	Scarabaeidae	unk	unk	unk	unk	1	1	0.8803	0.7349	0.7349	0.7349	0.7349
GBCOB152-12	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.8514	0.8514	0.8514	0.8514	0.8514
FBCON625-13	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	unk	unk	1	1	0.7648	0.5246000000000001	0.5246000000000001	0.5246000000000001	0.5246000000000001
GBCOU2367-13	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.3718	0.3718	0.3718	0.3718	0.3718
FBCOG588-12	Insecta	Coleoptera	Alexiidae	dummy_Alexiidae	dummy_Alexiidae	Sphaerosoma	Sphaerosoma_pilosum	1	1	0.9836	0.9836	0.9836	0.9836	0.9836
GCOL2627-16	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6096	0.6096	0.6096	0.6096	0.6096
FBCOI615-12	Insecta	Coleoptera	unk	unk	unk	unk	unk	1	1	0.6929	0.6929	0.6929	0.6929	0.6929
GCOL2091-16	Insecta	unk	unk	unk	unk	unk	unk	1	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004
TBGMI040-21	Insecta	Coleoptera	Scarabaeidae	unk	unk	unk	unk	1	0.9803999999999999	0.7121999999999999	0.5864999999999999	0.5864999999999999	0.5864999999999999	0.5864999999999999
GCOL2110-16	Insecta	unk	unk	unk	unk	unk	unk	1	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004	0.48550000000000004
TBGMI052-21	Insecta	Coleoptera	Staphylinidae	Scaphidiinae	unk	unk	unk	1	1	0.7887	0.4197	0.4197	0.4197	0.4197
GCOL7133-16	Insecta	Coleoptera	Coccinellidae	Coccinellinae	Coccidulini	unk	unk	1	1	1	1	0.997	0.997	0.997
GBCOU2958-13	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	unk	unk	1	1	1	0.8534	0.8534	0.8534	0.8534
FBCOE339-12	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	unk	unk	1	1	1	0.9177000000000001	0.9177000000000001	0.9177000000000001	0.9177000000000001
FBCOG931-12	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	Cartodere	unk	1	1	1	1	1	0.6710999999999999	0.6710999999999999
FBCOA391-10	Insecta	Coleoptera	Latridiidae	Latridiinae	dummy_Latridiinae	unk	unk	1	1	1	1	1	0.9365	0.9365
FBCOA130-10	Insecta	Coleoptera	Staphylinidae	Scydmaeninae	unk	unk	unk	1	1	0.4302	0.30519999999999997	0.30519999999999997	0.30519999999999997	0.30519999999999997
FBCOC667-10	Insecta	Coleoptera	Cryptophagidae	Cryptophaginae	dummy_Cryptophaginae	Antherophagus	Antherophagus_nigricornis	1	1	1	1	1	0.9998	0.9998
FBCOA879-10	Insecta	Coleoptera	Cryptophagidae	Cryptophaginae	dummy_Cryptophaginae	unk	unk	1	1	1	0.9694999999999999	0.9694999999999999	0.9388000000000001	0.9388000000000001
GCOL10409-16	Insecta	Coleoptera	Tenebrionidae	unk	unk	unk	unk	1	1	0.5661	0.4514	0.4514	0.4514	0.4514
GCOL9106-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	Alticini	unk	unk	1	1	0.9703999999999999	0.7846	0.43600000000000005	0.379	0.379
