ID	class	order	family	subfamily	tribe	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe
GBBSP494-15	Arachnida	Araneae	Agelenidae	dummy_Agelenidae	dummy_Agelenidae	1	1	0.9998	0.9998	0.9998
GBBSP1908-15	Arachnida	Araneae	Philodromidae	dummy_Philodromidae	dummy_Philodromidae	1	1	0.9987	0.9987	0.9987
FBARB142-11	Arachnida	Araneae	Philodromidae	dummy_Philodromidae	dummy_Philodromidae	1	1	0.9154	0.9154	0.9154
FBARB081-11	Arachnida	Araneae	Philodromidae	dummy_Philodromidae	dummy_Philodromidae	1	1	0.5756000000000001	0.5756000000000001	0.5756000000000001
GBBSP111-15	Arachnida	Araneae	unk	unk	unk	1	1	0.6837	0.6837	0.6837
GBBSP2055-16	Arachnida	Araneae	Lycosidae	dummy_Lycosidae	dummy_Lycosidae	1	1	0.9988	0.9988	0.9988
SMNKA149-16	Arachnida	Araneae	unk	unk	unk	1	1	0.8082	0.8082	0.8082
GBBSP737-15	Arachnida	Araneae	unk	unk	unk	1	1	0.6849	0.6849	0.6849
SMNKA192-16	Arachnida	Araneae	unk	unk	unk	1	1	0.7523	0.7523	0.7523
GBBSP479-15	Arachnida	Araneae	unk	unk	unk	1	1	0.6991999999999999	0.6991999999999999	0.6991999999999999
GBBSP119-15	Arachnida	Araneae	unk	unk	unk	1	1	0.5961	0.5961	0.5961
FBARB229-11	Arachnida	Araneae	unk	unk	unk	1	1	0.5932	0.5932	0.5932
SMNSA069-16	Arachnida	Araneae	unk	unk	unk	1	1	0.558	0.558	0.558
SMNSA072-16	Arachnida	Araneae	Thomisidae	dummy_Thomisidae	dummy_Thomisidae	1	1	0.8973	0.8973	0.8973
GBBSP1040-15	Arachnida	Araneae	unk	unk	unk	1	1	0.7837999999999999	0.7837999999999999	0.7837999999999999
SMNKA042-16	Arachnida	Araneae	unk	unk	unk	1	1	0.7176	0.7176	0.7176
GBBSP1677-15	Arachnida	Araneae	Clubionidae	dummy_Clubionidae	dummy_Clubionidae	1	1	0.5389	0.5389	0.5389
MYFAB508-11	Arachnida	unk	unk	unk	unk	0.9551000000000001	0.6636	0.6636	0.6636	0.6636
GBMYR067-13	Insecta	unk	unk	unk	unk	1	0.41800000000000004	0.41800000000000004	0.41800000000000004	0.41800000000000004
GBBSP853-15	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	1	0.9003	0.9003	0.9003	0.9003
MYFAB073-10	Arachnida	unk	unk	unk	unk	1	0.5295	0.5295	0.5295	0.5295
MYFAB122-10	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	1	0.5742	0.5742	0.5742	0.5742
MYFAB243-10	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	1	0.5387000000000001	0.5387000000000001	0.5387000000000001	0.5387000000000001
SMNSA168-16	Arachnida	Opiliones	Phalangiidae	Oligolophinae	dummy_Oligolophinae	1	0.7041999999999999	0.7041999999999999	0.7041999999999999	0.7041999999999999
TBGMI156-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.8136000000000001	0.8136000000000001	0.8136000000000001
TBGMI153-21	Arachnida	Sarcoptiformes	Ceratozetidae	dummy_Ceratozetidae	dummy_Ceratozetidae	1	1	0.9977	0.9977	0.9977
TBGMI161-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.6496000000000001	0.6496000000000001	0.6496000000000001
TBGMI165-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.9274	0.9274	0.9274
TBGMI159-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.6326	0.6326	0.6326
TBGMI166-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.9111	0.9111	0.9111
TBGMI157-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.9899	0.9899	0.9899
TBGMI154-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.8997	0.8997	0.8997
TBGMI174-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.9681	0.9681	0.9681
TBGMI176-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.7936	0.7936	0.7936
TBGMI177-21	Arachnida	Sarcoptiformes	unk	unk	unk	1	1	0.5293	0.5293	0.5293
GBMND89030-21	Arachnida	Sarcoptiformes	Phthiracaridae	dummy_Phthiracaridae	dummy_Phthiracaridae	1	1	0.5764	0.5764	0.5764
TRCBG996-20	Insecta	unk	unk	unk	unk	1	0.9455	0.9455	0.9455	0.9455
MYFAB324-11	Arachnida	unk	unk	unk	unk	1	0.7889999999999999	0.7889999999999999	0.7889999999999999	0.7889999999999999
MYFAB157-10	Arachnida	unk	unk	unk	unk	1	0.8097000000000001	0.8097000000000001	0.8097000000000001	0.8097000000000001
MYFAB522-11	Arachnida	unk	unk	unk	unk	1	0.5215	0.5215	0.5215	0.5215
GMGMV4839-20	Insecta	Trichoptera	Glossosomatidae	unk	unk	1	0.6006	0.6006	0.4402	0.4402
FBCOP649-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9008	0.7837
GBCOU1625-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.4938	0.4938	0.4938
GCOL5230-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.7901999999999999	0.4995
GCOL9106-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.7146	0.7146	0.7146
FBCOK085-13	Insecta	Coleoptera	Staphylinidae	unk	unk	1	1	0.8698000000000001	0.5333	0.5333
GBCOB152-12	Insecta	Coleoptera	unk	unk	unk	1	1	0.8288000000000001	0.8288000000000001	0.8288000000000001
FBCOF748-12	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	1	1	0.7894999999999999	0.7894999999999999	0.7894999999999999
GCOL12703-16	Insecta	Coleoptera	Melandryidae	Melandryinae	unk	1	1	1	1	0.7474999999999999
FBCOK007-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.6162	0.6162	0.6162
GCOL1626-16	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	1	1	0.7313
GBCOD950-13	Insecta	Coleoptera	Cerambycidae	Spondylidinae	unk	1	1	0.9684999999999999	0.9684999999999999	0.6746
GBCOU2974-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.6489	0.6489	0.6489
GCOL2426-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.43250000000000005	0.43250000000000005	0.43250000000000005
GBCOU1444-13	Insecta	Coleoptera	Cerambycidae	Spondylidinae	unk	1	1	0.7683	0.7683	0.4601
FBCON028-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	0.9332	0.9332	0.6451
FBCOP647-13	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9008	0.7837
GCOL5241-16	Insecta	Coleoptera	Chrysomelidae	Galerucinae	unk	1	1	1	0.9505	0.7126
GCOL2595-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.705	0.705	0.705
GBCOU2781-13	Insecta	Coleoptera	unk	unk	unk	1	1	0.4994	0.4994	0.4994
GCOL6591-16	Insecta	Coleoptera	Chrysomelidae	unk	unk	1	1	0.7807	0.6471	0.6471
FBCOO467-13	Insecta	Coleoptera	Ripiphoridae	unk	unk	1	1	0.4446	0.41490000000000005	0.41490000000000005
GCOL7059-16	Insecta	Coleoptera	Ripiphoridae	unk	unk	1	1	0.40740000000000004	0.3785	0.3785
FBCON489-13	Insecta	Coleoptera	Monotomidae	unk	unk	1	1	0.9623999999999999	0.8293	0.8293
GCOL3885-16	Insecta	Coleoptera	Cerambycidae	Lepturinae	Lepturini	1	1	0.5637000000000001	0.5637000000000001	0.2901
GCOL3157-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.2655	0.2655	0.2655
GCOL2429-16	Insecta	Coleoptera	unk	unk	unk	1	1	0.605	0.605	0.605
FBCON347-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
GBCL27461-19	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
FBCOA886-10	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
FBCOJ354-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
FBCOP378-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
FBCOA130-10	Insecta	Coleoptera	Curculionidae	unk	unk	1	1	0.3703	0.226	0.226
GBMNE48136-22	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
FBCOE280-12	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
GBCOU3265-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.9988	0.9988
GBCOU2103-13	Insecta	Coleoptera	Brentidae	Apioninae	Apionini	1	1	1	0.7649	0.7649
GBCOU2083-13	Insecta	Coleoptera	Brentidae	Nanophyinae	Nanophyini	1	1	1	0.6581	0.6581
GBCOU2371-13	Insecta	Coleoptera	Silvanidae	Brontinae	unk	1	1	0.8748000000000001	0.6066	0.5337000000000001
GBCL15251-13	Insecta	Coleoptera	Carabidae	Scaritinae	unk	1	1	0.5238	0.5238	0.3825
FBCOB807-10	Insecta	Coleoptera	Cerambycidae	Lepturinae	unk	1	1	0.5874999999999999	0.5871999999999999	0.5761000000000001
GBCOU3547-13	Insecta	Coleoptera	Silvanidae	unk	unk	1	1	0.7636000000000001	0.6037	0.6037
GBCOG451-13	Insecta	Coleoptera	Phalacridae	Phalacrinae	dummy_Phalacrinae	1	1	0.616	0.616	0.616
