ID	class	order	family	subfamily	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_genus	Prob_species
FBAPC291-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9175
FBAPB141-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	Andrena_fulvida	1	1	1	1	1	0.8065
BCHYM1462-13	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9104
BCHYM1472-13	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9042
FBAPD179-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9042
BCHYM1471-13	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9042
FBAPC316-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9042
FBAPB173-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.9592
FBAPC325-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.8722000000000001
FBAPC303-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.6734999999999999
FBAPC304-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.6734999999999999
FBAPC324-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.8722000000000001
FBAPC298-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	0.9951	0.9951	0.9276000000000001
FBAPC302-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	unk	1	1	1	1	1	0.6734999999999999
FBAPB765-09	Insecta	Hymenoptera	Andrenidae	unk	unk	unk	1	1	1	0.5937	0.5937	0.5937
FBAPB520-09	Insecta	Hymenoptera	Halictidae	Rophitinae	Dufourea	Dufourea_minuta	1	1	1	1	1	1
FBAPB780-09	Insecta	Hymenoptera	Halictidae	unk	unk	unk	1	1	1	0.8357000000000001	0.8357000000000001	0.8357000000000001
FBAPB655-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	unk	1	1	1	0.9221	0.901	0.901
FBAPC590-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	Sphecodes_gibbus	1	1	1	1	1	0.5529000000000001
FBAPD720-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	Sphecodes_puncticeps	1	1	1	1	1	0.8196000000000001
FBAPB075-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	Sphecodes_longulus	1	1	1	1	1	0.9996
FBAPB076-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	Sphecodes_longulus	1	1	1	1	1	0.5521
FBAPC910-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	Sphecodes_puncticeps	1	1	1	1	1	0.6227
