ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus
AAHYM593-16	Insecta	0.981205	unk	0.762058	unk	0.762058	unk	0.762058	unk	0.762058
ABK001-20	Arachnida	1	Araneae	0.982313	Salticidae	0.82597	dummy_Salticidae	0.820145	Attulus	0.353031
AGRID026-10	Insecta	0.999998	Coleoptera	0.457136	unk	0.236731	unk	0.236731	unk	0.236731
AGRID027-10	Insecta	0.999998	Coleoptera	0.457136	unk	0.236731	unk	0.236731	unk	0.236731
AMTPA048-15	Insecta	0.999957	unk	0.520409	unk	0.520409	unk	0.520409	unk	0.520409
AMTPA069-15	Insecta	1	Hymenoptera	0.999984	Ichneumonidae	0.999974	Ctenopelmatinae	0.999683	Lagarotis	0.56969
AMTPA084-15	Insecta	1	Hymenoptera	0.999815	Ichneumonidae	0.99955	Ichneumoninae	0.977893	Ichneumon	0.664633
AMTPA1011-15	Insecta	1	Hymenoptera	0.998321	Ichneumonidae	0.992177	Orthocentrinae	0.830943	Plectiscidea	0.505067
AMTPA1611-15	Insecta	1	Hymenoptera	0.793076	unk	0.479988	unk	0.479988	unk	0.479988
AMTPA1715-15	Insecta	1	Hymenoptera	0.999736	Braconidae	0.998144	Aphidiinae	0.979938	Aphidius	0.940045
AMTPA1762-15	Insecta	1	Hymenoptera	0.997876	Braconidae	0.992241	Alysiinae	0.797378	Chorebus	0.7649
AMTPA1774-15	Insecta	1	Hymenoptera	0.999648	Braconidae	0.997583	Aphidiinae	0.977902	Aphidius	0.931656
AMTPA2113-15	Insecta	1	Hymenoptera	0.864801	Cynipidae	0.47697	Cynipinae	0.42014	unk	0.399993
AMTPA2169-15	Insecta	1	Hymenoptera	0.856681	Eulophidae	0.361412	Tetrastichinae	0.169881	unk	0.110944
AMTPA2688-15	Insecta	1	Hymenoptera	0.999962	Chrysididae	0.999935	Chrysidinae	0.999899	Chrysis	0.999707
AMTPA2806-15	Insecta	1	Hymenoptera	1	Dryinidae	0.999999	Anteoninae	0.999949	Anteon	0.99804
AMTPA2809-15	Insecta	1	Hymenoptera	0.999667	Dryinidae	0.999277	Gonatopodinae	0.999018	Gonatopus	0.997142
AMTPA493-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999997	Campopleginae	0.99942	Hyposoter	0.99243
AMTPA677-15	Insecta	1	Hymenoptera	0.909357	Ichneumonidae	0.6324	Phygadeuontinae	0.292112	Theroscopus	0.062232
AMTPA861-15	unk	0.550231	unk	0.550231	unk	0.550231	unk	0.550231	unk	0.550231
AMTPB005-15	Insecta	1	Hymenoptera	0.951932	Ichneumonidae	0.780678	Orthocentrinae	0.323555	Plectiscidea	0.099554
AMTPB017-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999998	Ichneumoninae	0.998546	Homotherus	0.996697
AMTPB045-15	Insecta	1	Hymenoptera	0.742997	unk	0.394396	unk	0.394396	unk	0.394396
AMTPB1265-15	unk	0.937824	unk	0.937824	unk	0.937824	unk	0.937824	unk	0.937824
AMTPB1389-15	Insecta	1	Hymenoptera	0.997633	Ichneumonidae	0.99334	Phygadeuontinae	0.959873	Aclastus	0.914848
AMTPB1422-15	unk	0.999997	unk	0.999997	unk	0.999997	unk	0.999997	unk	0.999997
AMTPB1674-15	Insecta	1	Hymenoptera	0.709855	unk	0.356811	unk	0.356811	unk	0.356811
AMTPB1733-15	Insecta	1	Hymenoptera	0.999983	Ichneumonidae	0.999973	Orthocentrinae	0.998358	Stenomacrus	0.996435
AMTPB1789-15	Insecta	1	Hymenoptera	0.996438	Ichneumonidae	0.989772	Campopleginae	0.889711	Campoletis	0.728517
AMTPB1804-15	Insecta	1	Hymenoptera	0.999943	Tenthredinidae	0.999915	Allantinae	0.991312	Ametastegia	0.990532
AMTPB1910-15	Insecta	0.999747	Hymenoptera	0.684831	unk	0.663023	unk	0.663023	unk	0.663023
AMTPB1989-15	Insecta	0.986659	unk	0.709481	unk	0.709481	unk	0.709481	unk	0.709481
AMTPB2066-15	Insecta	1	Hymenoptera	0.999979	Dryinidae	0.999966	Anteoninae	0.999941	Anteon	0.999847
AMTPB2170-15	Insecta	1	Hymenoptera	0.999974	Eulophidae	0.999945	Eulophinae	0.996637	Pnigalio	0.994063
AMTPB274-15	Insecta	1	Hymenoptera	0.99843	Braconidae	0.992692	Alysiinae	0.824639	Chorebus	0.789452
AMTPB755-15	Insecta	1	Hymenoptera	0.976206	Ichneumonidae	0.904645	Campopleginae	0.585953	Campoletis	0.145115
AMTPB768-15	unk	0.890435	unk	0.890435	unk	0.890435	unk	0.890435	unk	0.890435
AMTPC001-15	Insecta	1	Lepidoptera	0.99991	Noctuidae	0.995809	Noctuinae	0.907666	Polia	0.687358
AMTPC002-15	Insecta	1	Lepidoptera	0.99991	Noctuidae	0.995809	Noctuinae	0.907666	Polia	0.687358
AMTPC003-15	Insecta	1	Lepidoptera	0.99991	Noctuidae	0.995809	Noctuinae	0.907666	Polia	0.687358
AMTPC014-15	Insecta	1	Lepidoptera	0.999951	Noctuidae	0.996242	Noctuinae	0.929466	Hadena	0.691733
AMTPC015-15	Insecta	1	Lepidoptera	0.999945	Noctuidae	0.996023	Noctuinae	0.928039	Hadena	0.676624
AMTPC035-15	Insecta	1	Lepidoptera	0.999915	Geometridae	0.998131	Larentiinae	0.971663	Entephria	0.940887
AMTPC036-15	Insecta	1	Lepidoptera	0.999935	Noctuidae	0.998632	Noctuinae	0.964673	Sideridis	0.867924
AMTPC037-15	Insecta	1	Lepidoptera	0.999961	Sphingidae	0.999289	Smerinthinae	0.996341	Laothoe	0.99582
AMTPC038-15	Insecta	1	Lepidoptera	0.99978	Sesiidae	0.999456	Sesiinae	0.999317	Synanthedon	0.997735
AMTPC039-15	Insecta	1	Lepidoptera	0.999954	Lasiocampidae	0.999349	Lasiocampinae	0.998856	Lasiocampa	0.998373
