ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus
ABK001-20	Arachnida	1.00	Araneae	1.00	Salticidae	0.84	dummy_Salticidae	0.84	Attulus	0.49
AMTPA069-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ctenopelmatinae	1.00	Lagarotis	1.00
AMTPA048-15	Insecta	1.00	Hymenoptera	0.86	Ichneumonidae	0.79	Ctenopelmatinae	0.23	Ctenochira	0.10
AGRID026-10	Insecta	1.00	Coleoptera	0.92	Elateridae	0.52	Elaterinae	0.50	Agriotes	0.38
AGRID027-10	Insecta	1.00	Coleoptera	0.87	Elateridae	0.53	Elaterinae	0.52	Agriotes	0.41
AMTPA1011-15	Insecta	1.00	Hymenoptera	0.93	Ichneumonidae	0.93	Orthocentrinae	0.31	Plectiscidea	0.14
AAHYM593-16	Insecta	0.94	Hymenoptera	0.61	Ichneumonidae	0.31	Phygadeuontinae	0.09	Gelis	0.04
AMTPA084-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	1.00	Ichneumon	0.93
AMTPA1611-15	Insecta	1.00	Hymenoptera	0.85	Ichneumonidae	0.81	Phygadeuontinae	0.21	Atractodes	0.07
AMTPA1715-15	Insecta	0.92	Hymenoptera	0.71	Braconidae	0.42	Aphidiinae	0.40	Aphidius	0.40
AMTPA2113-15	Insecta	0.96	Hymenoptera	0.43	Crabronidae	0.13	Crabroninae	0.11	Crossocerus	0.06
AMTPA1774-15	Insecta	0.89	Hymenoptera	0.61	Braconidae	0.30	Aphidiinae	0.30	Aphidius	0.30
AMTPA1762-15	Insecta	0.98	Hymenoptera	0.69	Braconidae	0.46	Exothecinae	0.39	Colastes	0.39
AMTPA2688-15	Insecta	1.00	Hymenoptera	1.00	Chrysididae	1.00	Chrysidinae	1.00	Chrysis	1.00
AMTPA2169-15	Insecta	1.00	Hymenoptera	0.62	Eulophidae	0.21	Eulophinae	0.16	Pnigalio	0.06
AMTPA2806-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00
AMTPA2809-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Gonatopodinae	1.00	Gonatopus	1.00
