ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus	species	Prob_species
AMTPA084-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	0.99	Ichneumon	0.92	Ichneumon_sarcitorius	0.78
AMTPA069-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ctenopelmatinae	1.00	Lagarotis	0.98	Lagarotis_semicaligata	0.61
AMTPA048-15	Insecta	1.00	Hymenoptera	0.89	Ichneumonidae	0.84	Ctenopelmatinae	0.17	Ctenochira	0.09	Ctenochira_pastoralis	0.05
ABK001-20	Arachnida	0.98	Araneae	0.98	Salticidae	0.79	dummy_Salticidae	0.79	Attulus	0.56	Attulus_floricola	0.48
AGRID027-10	Insecta	1.00	Coleoptera	0.89	Elateridae	0.55	Elaterinae	0.52	Agriotes	0.39	Agriotes_lineatus	0.22
AGRID026-10	Insecta	1.00	Coleoptera	0.89	Elateridae	0.56	Elaterinae	0.53	Agriotes	0.37	Agriotes_lineatus	0.26
AAHYM593-16	Insecta	0.99	Hymenoptera	0.67	Ichneumonidae	0.39	Phygadeuontinae	0.10	Stenobarichneumon	0.03	Stenobarichneumon_citator	0.03
AMTPA1611-15	Insecta	1.00	Hymenoptera	0.93	Ichneumonidae	0.90	Phygadeuontinae	0.23	Orthocentrus	0.11	Campodorus_liosternus	0.05
AMTPA1715-15	Insecta	0.89	Hymenoptera	0.71	Braconidae	0.38	Aphidiinae	0.37	Aphidius	0.37	Aphidius_eadyi	0.37
AMTPA2113-15	Insecta	0.98	Hymenoptera	0.45	Crabronidae	0.21	Crabroninae	0.20	Crossocerus	0.13	Psenulus_chevrieri	0.05
AMTPA1774-15	Insecta	0.91	Hymenoptera	0.67	Braconidae	0.43	Aphidiinae	0.41	Aphidius	0.41	Aphidius_eadyi	0.41
AMTPA1762-15	Insecta	0.95	Hymenoptera	0.56	Braconidae	0.37	Exothecinae	0.29	Colastes	0.29	Colastes_braconius	0.29
AMTPA2169-15	Insecta	1.00	Hymenoptera	0.52	Ichneumonidae	0.16	Eulophinae	0.08	Eulonchetron	0.06	Eulonchetron_torymoides	0.06
AMTPA2688-15	Insecta	1.00	Hymenoptera	1.00	Chrysididae	1.00	Chrysidinae	1.00	Chrysis	1.00	Chrysis_ruddii	1.00
