ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus	species	Prob_species
AMTPA048-15	Insecta	0.99	Hymenoptera	0.88	Ichneumonidae	0.84	Tryphoninae	0.21	Ctenochira	0.16	Ctenochira_pastoralis	0.08
AGRID026-10	Insecta	1.00	Coleoptera	0.89	Elateridae	0.58	Elaterinae	0.58	Agriotes	0.47	Agriotes_lineatus	0.35
AMTPA084-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	0.98	Ichneumon	0.89	Ichneumon_sarcitorius	0.76
ABK001-20	Arachnida	0.98	Araneae	0.98	Salticidae	0.75	dummy_Salticidae	0.75	Attulus	0.52	Attulus_floricola	0.40
AAHYM593-16	Insecta	0.93	Hymenoptera	0.62	Ichneumonidae	0.42	Ichneumoninae	0.10	Clubiona	0.04	Nysson_spinosus	0.02
AGRID027-10	Insecta	1.00	Coleoptera	0.92	Elateridae	0.65	Elaterinae	0.61	Agriotes	0.53	Agriotes_lineatus	0.38
AMTPA069-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ctenopelmatinae	1.00	Lagarotis	1.00	Lagarotis_semicaligata	0.69
AMTPA1611-15	Insecta	1.00	Hymenoptera	0.87	Ichneumonidae	0.87	Orthocentrinae	0.23	Orthocentrus	0.18	Orthocentrus_frontator	0.08
AMTPA1715-15	Insecta	0.93	Hymenoptera	0.77	Braconidae	0.43	Aphidiinae	0.43	Aphidius	0.43	Aphidius_eadyi	0.43
AMTPA2169-15	Insecta	0.99	Hymenoptera	0.43	Ichneumonidae	0.12	Eulophinae	0.10	Pnigalio	0.06	Pnigalio_agraules	0.05
AMTPA2113-15	Insecta	1.00	Hymenoptera	0.52	Crabronidae	0.24	Crabroninae	0.19	Crossocerus	0.09	Tachysphex_nitidus	0.04
AMTPA1774-15	Insecta	0.93	Hymenoptera	0.73	Braconidae	0.41	Aphidiinae	0.40	Aphidius	0.40	Aphidius_eadyi	0.40
AMTPA1762-15	Insecta	0.95	Hymenoptera	0.65	Braconidae	0.36	Exothecinae	0.29	Colastes	0.29	Colastes_braconius	0.29
AMTPA2688-15	Insecta	1.00	Hymenoptera	1.00	Chrysididae	1.00	Chrysidinae	1.00	Chrysis	1.00	Chrysis_ruddii	1.00
AMTPA2806-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00	Anteon_flavicorne	1.00
AMTPA493-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Campopleginae	1.00	Hyposoter	1.00	Hyposoter_inquinatus	1.00
AMTPA1011-15	Insecta	1.00	Hymenoptera	0.91	Ichneumonidae	0.88	Orthocentrinae	0.34	Plectiscidea	0.16	Plectiscidea_sp._1	0.16
AMTPA2809-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Gonatopodinae	1.00	Gonatopus	1.00	Gonatopus_bicolor	0.74
AMTPA861-15	Insecta	0.84	Diptera	0.30	Ichneumonidae	0.10	Pamphiliinae	0.06	Pamphilius	0.06	Estrandia_grandaeva	0.03
AMTPA677-15	Insecta	1.00	Hymenoptera	0.99	Ichneumonidae	0.94	Phygadeuontinae	0.35	Cubocephalus	0.12	Cubocephalus_associator	0.12
AMTPB005-15	Insecta	1.00	Hymenoptera	0.93	Ichneumonidae	0.88	Orthocentrinae	0.28	Plectiscus	0.07	Plectiscus_impurator	0.07
AMTPB1265-15	Insecta	0.99	Hymenoptera	0.67	Ichneumonidae	0.37	Phygadeuontinae	0.13	Campodorus	0.05	Campodorus_maculicollis	0.02
AMTPB017-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	1.00	Homotherus	1.00	Homotherus_locutor	1.00
AMTPB045-15	Insecta	1.00	Hymenoptera	0.57	Ichneumonidae	0.25	Eulophinae	0.11	Sympiesis	0.06	Mesopolobus_incultus	0.05
AMTPB1389-15	Insecta	1.00	Hymenoptera	0.95	Ichneumonidae	0.94	Phygadeuontinae	0.86	Aclastus	0.82	Aclastus_gracilis	0.71
AMTPB1674-15	Insecta	0.99	Hymenoptera	0.58	Eulophidae	0.20	Entedoninae	0.14	Achrysocharoides	0.08	Achrysocharoides_acerianus	0.08
AMTPB1733-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Orthocentrinae	1.00	Stenomacrus	1.00	Stenomacrus_minutissimus	1.00
AMTPB1422-15	Insecta	0.97	Hymenoptera	0.38	Ichneumonidae	0.12	Phygadeuontinae	0.06	Phygadeuon	0.02	Rhopalum_clavipes	0.02
AMTPB1910-15	Insecta	1.00	Hymenoptera	0.59	Ichneumonidae	0.24	Phygadeuontinae	0.07	Dolerus	0.03	Ctenochira_propinqua	0.02
AMTPB2066-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00	Anteon_albidicolle	1.00
