command	CPU	time	mem
"python3 ../crest4_utils/make_new_crest_db.py train_nt_4.tsv"	18%	0:09.33	56872
"makeblastdb -in train_nt_4.fasta -out train_nt_4 -dbtype nucl"	43%	0:01.49	12308
"blastn -query ../../data/test_nt.fasta -db train_nt_4/train_nt_4 -num_alignments 100 -outfmt 7 qseqid sseqid bitscore length nident -out crest4_test_nt_4/search.hits -strand plus -num_threads 4"	388%	48:23.43	371644
"crest4 --fasta ../../data/test_nt.fasta --search_db train_nt_4/ --search_hits crest4_test_nt_4/search.hits --num_threads 4 --output_dir crest4_test_nt_4"	92%	10:12.36	4130484
"blastn -query ../../data/testshort_nt.fasta -db train_nt_4/train_nt_4 -num_alignments 100 -outfmt 7 qseqid sseqid bitscore length nident -out crest4_testshort_nt_4/search.hits -strand plus -num_threads 4"	316%	23:50.67	375596
"crest4 --fasta ../../data/testshort_nt.fasta --search_db train_nt_4/ --search_hits crest4_testshort_nt_4/search.hits --num_threads 4 --output_dir crest4_testshort_nt_4"	99%	9:34.77	4106628
"python3 ../crest4_utils/make_new_crest_db.py train_aa_4.tsv"	123%	0:01.36	57072
"makeblastdb -in train_aa_4.fasta -out train_aa_4 -dbtype prot"	31%	0:01.87	12380
"blastp -query ../../data/test_aa.fasta -db train_aa_4/train_aa_4 -num_alignments 100 -outfmt 7 qseqid sseqid bitscore length nident -out crest4_test_aa_4/search.hits -num_threads 4"	391%	3:05:49	249216
"crest4 --fasta ../../data/test_aa.fasta --search_db train_aa_4/ --search_hits crest4_test_aa_4/search.hits --num_threads 4 --output_dir crest4_test_aa_4"	97%	7:29.58	3985176
"blastp -query ../../data/testshort_aa.fasta -db train_aa_4/train_aa_4 -num_alignments 100 -outfmt 7 qseqid sseqid bitscore length nident -out crest4_testshort_aa_4/search.hits -num_threads 4"	370%	2:23:27	373356
"crest4 --fasta ../../data/testshort_aa.fasta --search_db train_aa_4/ --search_hits crest4_testshort_aa_4/search.hits --num_threads 4 --output_dir crest4_testshort_aa_4"	97%	7:36.18	3966280
