ID	class	order	family	subfamily	tribe	genus	species
TACFI441-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI030-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI440-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI051-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO010-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI172-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI063-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY021-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ZYGMO232-10	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA181-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA310-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY020-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI059-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO931-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ZSMDB080-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA135-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY040-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
PSYCH068-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI176-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI196-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA249-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA199-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA042-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI106-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI276-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO240-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI435-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ULMCA013-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1295-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD360-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH039-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI397-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI057-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI157-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA264-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI055-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO1501-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO499-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI408-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
ZMBN1662-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SRCNC528-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI199-22	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI219-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMG509-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA063-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSH037-23	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRIFI1404-18	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI205-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SRDOC001-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI155-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSP634-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA030-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI464-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI188-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI015-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO183-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA248-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI159-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA041-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMH543-09	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI056-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI031-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI164-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDBA533-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA266-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI194-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRCBG224-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA168-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI035-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO374-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SYGEO127-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SATIP642-09	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSP872-19	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI613-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI174-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA257-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI446-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD363-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI037-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TIPSY038-08	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI204-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI466-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI447-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRCBG1489-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TANYT085-14	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO728-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA260-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TRCBG967-20	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TBGMI042-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA107-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA079-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO481-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI043-11	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
PSESC012-21	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNSA157-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SCINO339-15	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI574-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
RDNMD370-06	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA194-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
TACFI609-12	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA057-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
PYRG084-09	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
SMNKA237-16	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
