command	CPU	time	mem
"iqtree2 -s train_aa_4/train_outgroup_aa_aln.fasta -T 4 -fast -keep-ident --redo -m mtART+G4 -pre train_aa_4/train_aa"	375%	14:38:14	41794392
"epa-ng --tree train_aa_4/train_aa.treefile --ref-msa train_aa_4/train_outgroup_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_4/test --model mtART+G4{0.594} --threads 4 --redo"	397%	12:57:00	39501880
"gappa examine assign --jplace-path train_aa_4/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_4/test --file-suffix _test_aa_4 --per-query-results --threads 4 --allow-file-overwriting"	97%	0:53.61	115076
"epa-ng --tree train_aa_4/train_aa.treefile --ref-msa train_aa_4/train_outgroup_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_4/testshort --model mtART+G4{0.594} --threads 4 --redo"	397%	14:03:49	33167828
"gappa examine assign --jplace-path train_aa_4/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_4/testshort --file-suffix _testshort_aa_4 --per-query-results --threads 4 --allow-file-overwriting"	95%	1:06.34	87920
"iqtree2 -s train_nt_4/train_outgroup_nt_aln.fasta -T 4 -fast -keep-ident --redo -m GTR+G4 -pre train_nt_4/train_nt"	292%	4:49:57	38353036
"epa-ng --tree train_nt_4/train_nt.treefile --ref-msa train_nt_4/train_outgroup_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_4/test --model GTR{1.36676/8.20986/5.62754/1.51211/23.94100/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 4 --redo"	376%	13:24.25	36597496
"gappa examine assign --jplace-path train_nt_4/test/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_4/test --file-suffix _test_nt_4 --per-query-results --threads 4 --allow-file-overwriting"	99%	0:58.65	79400
"epa-ng --tree train_nt_4/train_nt.treefile --ref-msa train_nt_4/train_outgroup_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_4/testshort --model GTR{1.36676/8.20986/5.62754/1.51211/23.94100/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.415} --threads 4 --redo"	374%	10:53.32	30731504
"gappa examine assign --jplace-path train_nt_4/testshort/epa_result.jplace --taxon-file taxonomy.txt --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_4/testshort --file-suffix _testshort_nt_4 --per-query-results --threads 4 --allow-file-overwriting"	98%	0:59.20	80128
