ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TBGMI051-21	Insecta	1.000000	Coleoptera	1.000000	Scarabaeidae	1.000000	Dynastinae	0.999900	Oryctini	0.999900	Oryctes	0.999900	Oryctes_nasicornis	0.999900
TACFI196-12	Insecta	1.000000	Diptera	1.000000	Scathophagidae	0.691100	Scathophaginae	0.691100	Cordilurini	0.552900	Cordilura	0.552900	unk	0.552900
TACFI276-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	unk	0.936800	unk	0.936800	unk	0.936800
TACFI397-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	0.999000	Exoristinae	0.999000	Eryciini	0.999000	Hubneria	0.999000	Hubneria_affinis	0.999000
TACFI043-11	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Blondeliini	0.775500	unk	0.758290	unk	0.758290
TACFI603-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Blondeliini	1.000000	Meigenia	0.928600	unk	0.642870
TACFI469-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Eryciini	1.000000	Carcelia	0.998000	unk	0.600174
TACFI468-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Blondeliini	1.000000	Meigenia	0.928600	unk	0.642870
TACFI251-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Eryciini	1.000000	Carcelia	0.998000	unk	0.599574
TACFI223-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	0.999000	Exoristinae	0.999000	Eryciini	0.999000	Hubneria	0.999000	Hubneria_affinis	0.999000
TACFI265-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Eryciini	0.999600	Bactromyia	0.999600	Bactromyia_aurulenta	0.999600
TACFI263-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Goniini	0.993500	Myxexoristops	0.993500	Myxexoristops_stolida	0.993500
TACFI452-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Blondeliini	0.775500	unk	0.758290	unk	0.758290
GMGMK1438-14	Insecta	1.000000	Diptera	1.000000	Agromyzidae	0.961500	Phytomyzinae	0.945500	Phytomyzinae_dummy_tribe	0.945500	unk	0.876620	unk	0.876620
GMGMU703-20	Insecta	1.000000	Diptera	1.000000	unk	0.977630	unk	0.977630	unk	0.977630	unk	0.977630	unk	0.977630
GMGMB290-14	Insecta	1.000000	Diptera	1.000000	unk	0.888283	unk	0.888283	unk	0.888283	unk	0.888283	unk	0.888283
FBCHI003-14	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Goniini	1.000000	Gonia	0.714300	unk	0.571440
FIDIP2862-12	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Goniini	0.785300	Elodia	0.642900	Elodia_ambulatoria	0.642900
GMGMM1006-14	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Eryciini	1.000000	Pseudoperichaeta	0.997900	Pseudoperichaeta_nigrolineata	0.997900
BNSB012-21	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Phasiinae	0.624100	Cylindromyiini	0.624100	Cylindromyia	0.624100	Cylindromyia_interrupta	0.410300
FBCHI033-14	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Goniini	0.713300	Pales	0.713300	Pales_pavida	0.713300
FBTAC086-13	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Blondeliini	0.775500	unk	0.758290	unk	0.758290
GBMNC10298-20	Insecta	1.000000	Diptera	1.000000	Tachinidae	0.545000	Exoristinae	0.545000	unk	0.544967	unk	0.544967	unk	0.544967
