ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
FBSYR1147-13	Insecta	1.000000	Diptera	1.000000	Tachinidae	1.000000	Exoristinae	1.000000	Goniini	0.603500	Botria	0.515900	Botria_subalpina	0.515900
GBEPT806-14	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	Annitella	0.754800	Annitella_obscurata	0.754800
GBEPT809-14	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	unk	0.917988	unk	0.917988
GBEPT1408-14	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	Potamophylax	1.000000	Potamophylax_latipennis	0.762700
GBEPT2292-15	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	unk	0.724200	unk	0.724200
GBEPT791-14	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	Limnephilus	1.000000	Limnephilus_flavicornis	1.000000
GBEPT339-14	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	Limnephilus	1.000000	Limnephilus_marmoratus	0.998800
TRIFI1404-18	Insecta	1.000000	Trichoptera	1.000000	Limnephilidae	1.000000	Limnephilinae	1.000000	Limnephilinae_dummy_tribe	1.000000	Limnephilus	1.000000	Limnephilus_centralis	1.000000
FBAQU253-09	Insecta	1.000000	Trichoptera	1.000000	Apataniidae	1.000000	Apataniinae	1.000000	Apataniinae_dummy_tribe	1.000000	Apatania	1.000000	Apatania_dalecarlica	0.808600
GST329-15	Insecta	1.000000	Trichoptera	1.000000	Apataniidae	1.000000	Apataniinae	1.000000	Apataniinae_dummy_tribe	1.000000	Apatania	1.000000	Apatania_dalecarlica	0.807700
FBAQU1162-12	Insecta	1.000000	Trichoptera	1.000000	Brachycentridae	0.983800	Brachycentridae_dummy_subfamily	0.983800	Brachycentridae_dummy_tribe	0.983800	unk	0.836796	unk	0.836796
FBCAD053-10	Insecta	1.000000	Trichoptera	1.000000	Molannidae	1.000000	Molannidae_dummy_subfamily	1.000000	Molannidae_dummy_tribe	1.000000	Molanna	1.000000	Molanna_angustata	1.000000
FBAQU1513-13	Insecta	1.000000	Trichoptera	1.000000	Leptoceridae	1.000000	Leptocerinae	1.000000	Leptocerinae_dummy_tribe	1.000000	unk	0.886951	unk	0.886951
FBAQU1143-12	Insecta	1.000000	Trichoptera	1.000000	Leptoceridae	1.000000	Leptocerinae	1.000000	Leptocerinae_dummy_tribe	1.000000	unk	0.811483	unk	0.811483
FBAQU1378-13	Insecta	1.000000	Trichoptera	1.000000	Leptoceridae	1.000000	Leptocerinae	1.000000	Leptocerinae_dummy_tribe	1.000000	Ceraclea	1.000000	Ceraclea_senilis	1.000000
TBGMI008-21	Insecta	1.000000	Coleoptera	1.000000	Histeridae	0.660700	Abraeinae	0.339900	Plegaderini	0.339900	Plegaderus	0.339900	unk	0.338080
GMGMP2905-18	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Hydroptilinae	0.743700	Hydroptilinae_dummy_tribe	0.743700	unk	0.702380	unk	0.702380
GMGMU5545-20	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Orthotrichiinae	0.643300	Orthotrichiinae_dummy_tribe	0.643300	Orthotrichia	0.643300	unk	0.638378
GMGMP2386-18	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Orthotrichiinae	0.525300	Orthotrichiinae_dummy_tribe	0.525300	Orthotrichia	0.525300	unk	0.525300
GMGMP1523-18	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Hydroptilinae	0.775200	Hydroptilinae_dummy_tribe	0.775200	unk	0.752036	unk	0.752036
GMGMP1436-18	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	unk	0.563170	unk	0.563170	unk	0.563170	unk	0.563170
RDBA246-05	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Hydroptilinae	0.926300	Hydroptilinae_dummy_tribe	0.926300	Hydroptila	0.840800	unk	0.840796
EUBUG1189-12	Insecta	1.000000	unk	0.688690	unk	0.688690	unk	0.688690	unk	0.688690	unk	0.688690	unk	0.688690
GMGMD1359-14	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.807487	unk	0.807487	unk	0.807487	unk	0.807487
MJBRC128-17	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.766260	unk	0.766260	unk	0.766260	unk	0.766260
GMGMP7418-18	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.779400	unk	0.779400	unk	0.779400	unk	0.779400
GMGMV3395-20	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.771690	unk	0.771690	unk	0.771690	unk	0.771690
GMGMV4598-20	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.768830	unk	0.768830	unk	0.768830	unk	0.768830
GBMNB16808-20	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.879670	unk	0.879670	unk	0.879670	unk	0.879670
GBDTA9986-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Porricondylinae	1.000000	Porricondylini	1.000000	unk	0.999997	unk	0.999997
GBDTA10177-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.775390	unk	0.775390	unk	0.775390	unk	0.775390
GBDTA9957-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Porricondylinae	1.000000	Porricondylini	1.000000	unk	0.977920	unk	0.977920
GBDTA10122-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Porricondylinae	1.000000	Porricondylini	1.000000	unk	0.951134	unk	0.951134
GMGMP1297-18	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.824908	unk	0.824908	unk	0.824908	unk	0.824908
GMGMV2042-20	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.748600	unk	0.748600	unk	0.748600	unk	0.748600
GBDTA10291-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Porricondylinae	0.983500	Porricondylini	0.983500	unk	0.981368	unk	0.981368
GMGMP5593-18	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	unk	0.697700	unk	0.697700	unk	0.697700
MJBRC135-17	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	unk	0.741677	unk	0.741677	unk	0.741677
GMGMU344-20	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	unk	0.855900	unk	0.855900	unk	0.855900
GBDTA10736-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	Aprionini	0.982100	Aprionus	0.982100	unk	0.968780
GBDTA10781-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	Aprionini	0.799600	Aprionus	0.799600	unk	0.775090
GBDTA10770-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	Aprionini	0.588500	Aprionus	0.588500	unk	0.512179
GBDTA10242-21	Insecta	1.000000	unk	0.886095	unk	0.886095	unk	0.886095	unk	0.886095	unk	0.886095	unk	0.886095
GMGMP2418-18	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.818353	unk	0.818353	unk	0.818353	unk	0.818353
MJBRC066-17	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	1.000000	unk	0.923219	unk	0.923219	unk	0.923219
GBDTA10493-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	unk	0.822600	unk	0.822600	unk	0.822600	unk	0.822600
GBDTA10709-21	Insecta	1.000000	Diptera	1.000000	Cecidomyiidae	1.000000	Micromyinae	0.500000	Campylomyzini	0.500000	Campylomyza	0.500000	Campylomyza_dilatata	0.500000
FBAQU111-09	Insecta	1.000000	Trichoptera	1.000000	Ecnomidae	1.000000	Ecnomidae_dummy_subfamily	1.000000	Ecnomidae_dummy_tribe	1.000000	Ecnomus	1.000000	Ecnomus_tenellus	1.000000
FBCAD062-10	Insecta	1.000000	Trichoptera	1.000000	Philopotamidae	1.000000	unk	0.731500	unk	0.731500	unk	0.731500	unk	0.731500
GMGMP3818-18	Insecta	1.000000	unk	0.649580	unk	0.649580	unk	0.649580	unk	0.649580	unk	0.649580	unk	0.649580
SMNSP491-19	Insecta	1.000000	Hymenoptera	1.000000	Pteromalidae	0.808600	Pteromalinae	0.808600	Pteromalini	0.808600	unk	0.726970	unk	0.726970
GMGMU2072-20	Insecta	1.000000	Hymenoptera	1.000000	unk	0.840800	unk	0.840800	unk	0.840800	unk	0.840800	unk	0.840800
BCHYM4305-14	Insecta	1.000000	Hymenoptera	1.000000	Pteromalidae	0.993100	Pteromalinae	0.993100	Pteromalini	0.993100	unk	0.798750	unk	0.798750
BCHYM7989-15	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	1.000000	Entedoninae	1.000000	Entedoninae_dummy_tribe	1.000000	Chrysocharis	0.697000	unk	0.688372
GMGMU2694-20	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	1.000000	Entedoninae	1.000000	Entedoninae_dummy_tribe	1.000000	unk	0.959510	unk	0.959510
GMGMU2429-20	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	1.000000	Entedoninae	1.000000	Entedoninae_dummy_tribe	1.000000	Chrysocharis	0.992800	unk	0.967424
SMNSP921-19	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	0.634900	Eulophinae	0.568700	Eulophinae_dummy_tribe	0.568700	unk	0.366700	unk	0.366700
BCHYM8629-15	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	1.000000	Eulophinae	1.000000	Eulophinae_dummy_tribe	1.000000	Cirrospilus	1.000000	Cirrospilus_diallus	1.000000
SMNSP634-19	Insecta	1.000000	Hymenoptera	1.000000	unk	0.737000	unk	0.737000	unk	0.737000	unk	0.737000	unk	0.737000
BCHYM6081-15	Insecta	1.000000	Hymenoptera	1.000000	Eulophidae	0.500000	Tetrastichinae	0.500000	Tetrastichinae_dummy_tribe	0.500000	Baryscapus	0.500000	Baryscapus_pallidae	0.500000
BCHYM3055-14	Insecta	1.000000	Hymenoptera	1.000000	unk	0.606400	unk	0.606400	unk	0.606400	unk	0.606400	unk	0.606400
GMGMU4399-20	Insecta	1.000000	Hymenoptera	1.000000	unk	0.999023	unk	0.999023	unk	0.999023	unk	0.999023	unk	0.999023
GBSYM1319-12	Insecta	1.000000	Hymenoptera	1.000000	Siricidae	1.000000	Tremicinae	1.000000	Tremicinae_dummy_tribe	1.000000	Tremex	1.000000	Tremex_fuscicornis	1.000000
GMGMW976-20	Insecta	1.000000	Hymenoptera	1.000000	unk	0.871998	unk	0.871998	unk	0.871998	unk	0.871998	unk	0.871998
SMNSH036-23	Insecta	1.000000	Hymenoptera	1.000000	unk	0.757400	unk	0.757400	unk	0.757400	unk	0.757400	unk	0.757400
AMTPA2809-15	Insecta	1.000000	Hymenoptera	1.000000	Dryinidae	1.000000	Gonatopodinae	1.000000	Gonatopodinae_dummy_tribe	1.000000	Gonatopus	1.000000	unk	0.812900
FBLMZ595-12	Insecta	1.000000	Lepidoptera	1.000000	Micropterigidae	1.000000	Micropterigidae_dummy_subfamily	1.000000	Micropterigidae_dummy_tribe	1.000000	Micropterix	1.000000	unk	0.999944
GMGMP2481-18	Insecta	1.000000	unk	0.540000	unk	0.540000	unk	0.540000	unk	0.540000	unk	0.540000	unk	0.540000
RDBA247-05	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Orthotrichiinae	0.607200	Orthotrichiinae_dummy_tribe	0.607200	Orthotrichia	0.607200	unk	0.607200
FBACB270-11	Insecta	1.000000	Psocodea	0.831700	unk	0.831700	unk	0.831700	unk	0.831700	unk	0.831700	unk	0.831700
GMGMP5389-18	Insecta	1.000000	Trichoptera	1.000000	Hydroptilidae	1.000000	Orthotrichiinae	0.603700	Orthotrichiinae_dummy_tribe	0.603700	Orthotrichia	0.603700	unk	0.603700
FBAPC304-10	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.677359
GBACU789-12	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	0.993000	Andrenini	0.993000	Andrena	0.993000	unk	0.921260
GBACU3448-13	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.999999
GBACU2359-13	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.848460
FBAPB005-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.851500
FBHAP908-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.763013
FBAPB002-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	1.000000
FBAPD800-11	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.999808
FBAPD054-11	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	Andrena_similis	0.762200
FBAPD511-11	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.902115
FBHAP970-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	Andrena_haemorrhoa	0.500000
FBAPD075-11	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.799590
FBHAP889-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.784240
GBACU1340-12	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	1.000000	Andrenini	1.000000	Andrena	1.000000	unk	0.821020
FBHAP989-09	Insecta	1.000000	Hymenoptera	1.000000	Andrenidae	1.000000	Andreninae	0.997900	Andrenini	0.997900	Andrena	0.997900	unk	0.813949
FBAPD638-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Apinae	1.000000	Bombini	1.000000	Bombus	1.000000	Bombus_cryptarum	0.704300
FBHAP779-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Apinae	1.000000	Bombini	1.000000	Bombus	1.000000	unk	0.784100
FBAPD701-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Apinae	1.000000	Bombini	1.000000	Bombus	1.000000	unk	1.000000
GBACU1198-12	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Apinae	1.000000	Bombini	1.000000	Bombus	1.000000	unk	0.738700
FBAPC713-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Apinae	1.000000	Bombini	1.000000	Bombus	1.000000	unk	1.000000
FBAPB245-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.582070
GBCOU205-13	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	Nomada_armata	0.950200
FBAPB192-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	0.999800	Nomada	0.999800	unk	0.999788
FBAPB198-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	0.993100	Nomada	0.993100	unk	0.583930
FBAPB774-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.608436
FBAPC145-10	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.654740
FBAPB308-09	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.912647
FBAPD758-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.628200
FBAPD183-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	Nomada_leucophthalma	0.866700
GBACU1999-12	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.549400
FBAPD199-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	0.999900	Nomada	0.999900	unk	0.990090
FBAPC123-10	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	Nomada_fuscicornis	1.000000
GBACU1651-12	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	unk	0.717697
GBACU2007-12	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	Nomadinae	1.000000	Nomadini	1.000000	Nomada	1.000000	Nomada_lathburiana	0.770600
FBAPC520-11	Insecta	1.000000	Hymenoptera	1.000000	Apidae	1.000000	unk	0.972428	unk	0.972428	unk	0.972428	unk	0.972428
