command	CPU	time	mem
"iqtree2 -s ../../data/train_aa_aln.fasta -T 1 -fast -keep-ident --redo -m mtART+G4 -g ../../data/phylogenetic_constraints.tre -pre train_aa_1/train_aa"	99%	12:41:27	7223680
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_1/test --model mtART+G4{0.59} --threads 1 --redo"	98%	52:44:04	39339840
"gappa examine assign --jplace-path train_aa_1/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/test --file-suffix __aa_1 --per-query-results --threads 1 --allow-file-overwriting"	97%	0:39.70	372504
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_1/testshort --model mtART+G4{0.59} --threads 1 --redo"	99%	39:29:28	32748680
"gappa examine assign --jplace-path train_aa_1/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/testshort --file-suffix __aa_1 --per-query-results --threads 1 --allow-file-overwriting"	96%	0:44.00	374388
"iqtree2 -s ../../data/train_nt_aln.fasta -T 1 -fast -keep-ident --redo -m GTR+G4 -g ../../data/phylogenetic_constraints.tre -pre train_nt_1/train_nt"	99%	10:44:44	4046260
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_1/test --model GTR{1.36151/7.79996/5.46776/1.49888/24.79240/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.413} --threads 1 --redo"	98%	35:02.92	36606576
"gappa examine assign --jplace-path train_nt_1/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/test --file-suffix __nt_1 --per-query-results --threads 1 --allow-file-overwriting"	99%	0:35.59	366276
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_1/testshort --model GTR{1.36151/7.79996/5.46776/1.49888/24.79240/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.413} --threads 1 --redo"	98%	28:54.27	30689824
"gappa examine assign --jplace-path train_nt_1/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/testshort --file-suffix __nt_1 --per-query-results --threads 1 --allow-file-overwriting"	99%	0:42.71	368848
