command	CPU	time	mem
"gappa prepare taxonomy-tree --taxon-list-file ../../data/train_gappa.tax --out-dir /users/brfurnea/LifePlan/brendan/taxclass/coi/models/epang-taxtree --threads 1 --allow-file-overwriting"	90%	0:02.86	46832
"iqtree2 -s ../../data/train_aa_aln.fasta -T 1 -fast -keep-ident --redo -m mtART+G4 -g taxonomy_tree.newick -pre train_aa_1/train_aa"	99%	10:51:33	7574524
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/test_aa_aln.fasta --out-dir train_aa_1/test --model mtART+G4{0.59} --threads 1 --redo"	99%	47:57:33	39441232
"gappa examine assign --jplace-path train_aa_1/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/test --file-suffix _test_aa_1 --per-query-results --threads 1 --allow-file-overwriting"	98%	0:51.96	372396
"epa-ng --tree train_aa_1/train_aa.treefile --ref-msa ../../data/train_aa_aln.fasta --query ../../data/testshort_aa_aln.fasta --out-dir train_aa_1/testshort --model mtART+G4{0.59} --threads 1 --redo"	99%	45:50:28	32885796
"gappa examine assign --jplace-path train_aa_1/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_aa_1/testshort --file-suffix _testshort_aa_1 --per-query-results --threads 1 --allow-file-overwriting"	98%	0:35.23	374108
"iqtree2 -s ../../data/train_nt_aln.fasta -T 1 -fast -keep-ident --redo -m GTR+G4 -g taxonomy_tree.newick -pre train_nt_1/train_nt"	99%	12:31:39	4039520
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/test_nt_aln.fasta --out-dir train_nt_1/test --model GTR{1.40462/8.05764/5.64551/1.56000/25.50964/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.412} --threads 1 --redo"	99%	49:03.11	36588184
"gappa examine assign --jplace-path train_nt_1/test/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/test --file-suffix _test_nt_1 --per-query-results --threads 1 --allow-file-overwriting"	98%	0:57.10	366016
"epa-ng --tree train_nt_1/train_nt.treefile --ref-msa ../../data/train_nt_aln.fasta --query ../../data/testshort_nt_aln.fasta --out-dir train_nt_1/testshort --model GTR{1.40462/8.05764/5.64551/1.56000/25.50964/1.00000}+FU{0.303/0.162/0.152/0.383}+G4{0.412} --threads 1 --redo"	95%	35:51.83	30703300
"gappa examine assign --jplace-path train_nt_1/testshort/epa_result.jplace --taxon-file ../../data/train_gappa.tax --root-outgroup outgroup.txt --ranks-string class|order|family|subfamily|tribe|genus|species --out-dir train_nt_1/testshort --file-suffix _testshort_nt_1 --per-query-results --threads 1 --allow-file-overwriting"	98%	0:46.15	368592
