ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
TACFI276-12	Insecta	Diptera	Tachinidae	Exoristinae	unk	unk	unk	0.967	0.967	0.967	0.967	0.8382000000000001	0.8382000000000001	0.8382000000000001
TACFI265-12	Insecta	Diptera	Tachinidae	Exoristinae	Goniini	Allophorocera	unk	0.9712999999999999	0.9712999999999999	0.9712999999999999	0.9712999999999999	0.9358000000000001	0.5777000000000001	0.3738
GBEPT2292-15	Insecta	Trichoptera	Limnephilidae	unk	unk	unk	unk	0.9366000000000001	0.9366000000000001	0.9366000000000001	0.8119000000000001	0.8119000000000001	0.8119000000000001	0.8119000000000001
GBEPT799-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	unk	unk	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999
GBEPT809-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	unk	unk	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999	0.9604999999999999
GBEPT806-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Annitella	Annitella obscurata	0.9984	0.9984	0.9984	0.9984	0.9984	0.5315	0.5315
GBEPT2348-15	Insecta	Trichoptera	Limnephilidae	unk	unk	unk	unk	0.9569000000000001	0.9569000000000001	0.9569000000000001	0.9568000000000001	0.9568000000000001	0.9568000000000001	0.9568000000000001
GBMIX1688-15	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Hydatophylax	Hydatophylax infumatus	1	1	1	1	1	1	1
FBAQU350-09	Insecta	Trichoptera	Limnephilidae	unk	unk	unk	unk	1	1	1	0.5	0.5	0.5	0.5
GBEPT1408-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Potamophylax	Potamophylax latipennis	1	1	1	1	1	1	0.5237
HMCAD264-08	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Potamophylax	unk	1	1	1	1	1	1	0.5431
GTRI174-18	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Halesus	Halesus radiatus	1	1	1	1	1	1	0.9988
FBAQU1199-12	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus ignavus	0.9994999999999999	0.9994999999999999	0.9994999999999999	0.9994999999999999	0.9994999999999999	0.9994999999999999	0.7505
TRIFI1404-18	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus centralis	0.9991	0.9991	0.9991	0.9991	0.9991	0.9991	0.9991
TRIFI1403-18	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus centralis	1	1	1	1	1	1	1
GBEPT2260-15	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus auricula	1	1	1	1	1	1	0.8473
GBEPT774-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus sparsus	1	1	1	1	1	1	1
FBAQU1203-12	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus sparsus	1	1	1	1	1	1	1
GBEPT791-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus flavicornis	1	1	1	1	1	1	1
GBEPT339-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus marmoratus	1	1	1	1	1	1	0.9988
FBCAD018-10	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Glyphotaelius	Glyphotaelius pellucidus	1	1	1	1	1	1	1
GST329-15	Insecta	Trichoptera	Apataniidae	Apataniinae	dummy_Apataniinae	Apatania	Apatania dalecarlica	0.983	0.983	0.983	0.983	0.983	0.983	0.983
FBAQU253-09	Insecta	Trichoptera	Apataniidae	Apataniinae	dummy_Apataniinae	Apatania	Apatania dalecarlica	0.983	0.983	0.983	0.983	0.983	0.983	0.983
FBAQU380-09	Insecta	Trichoptera	Apataniidae	Apataniinae	dummy_Apataniinae	Apatania	Apatania cimbrica	0.9939	0.9939	0.9939	0.9939	0.9939	0.9939	0.909
FBCAD044-10	Insecta	Trichoptera	Goeridae	Goerinae	dummy_Goerinae	unk	unk	0.9573	0.9573	0.9573	0.9573	0.9573	0.9573	0.9573
