ID	class	order	family	subfamily	genus	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_genus
FBAPB977-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD029-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPB171-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD170-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPC298-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	0.9892	0.9892
FBAPB173-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPB170-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD511-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD068-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD069-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD067-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD046-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPC302-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPB020-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPC291-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD513-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD848-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD070-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPC292-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD179-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD177-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPD075-11	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	0.9916	0.9916
FBAPC299-10	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPB017-09	Insecta	Hymenoptera	Andrenidae	Andreninae	Andrena	1	1	1	1	1
FBAPC631-11	Insecta	Hymenoptera	Andrenidae	unk	unk	1	1	1	0.6036	0.6036
FBAPB765-09	Insecta	Hymenoptera	Andrenidae	unk	unk	1	1	1	0.6129	0.6129
FBAPD492-11	Insecta	Hymenoptera	Halictidae	unk	unk	1	1	1	0.8053	0.8053
FBAPB658-09	Insecta	Hymenoptera	Halictidae	Halictinae	Lasioglossum	1	1	1	0.7932999999999999	0.7078
FBAPB106-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPD728-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPC912-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPB085-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPC913-11	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPB087-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPC103-10	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPC104-10	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPB092-09	Insecta	Hymenoptera	Halictidae	Halictinae	Sphecodes	1	1	1	1	1
FBAPB342-09	Insecta	Hymenoptera	Halictidae	Halictinae	Halictus	1	1	1	1	0.5108
