ID	class	order	family	subfamily	tribe	genus	species	Prob_class	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
TACFI265-12	Insecta	Diptera	Tachinidae	Exoristinae	Eryciini	Drino	unk	1	1	1	1	0.7132999999999999	0.7132999999999999	0.7132999999999999
GBEPT2292-15	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	unk	unk	1	1	1	1	1	0.7231	0.7231
GBEPT791-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus_flavicornis	1	1	1	1	1	1	1
FBAQU1199-12	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus_ignavus	1	1	1	1	1	1	0.8630000000000001
TRIFI1403-18	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus_centralis	1	1	1	1	1	1	1
GBEPT774-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Limnephilus	Limnephilus_sparsus	1	1	1	1	1	1	1
HMCAD264-08	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Potamophylax	Potamophylax_latipennis	1	1	1	1	1	1	0.7316
GTRI174-18	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Halesus	Halesus_radiatus	1	1	1	1	1	1	0.9987
GBEPT806-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	Annitella	Annitella_obscurata	1	1	1	1	1	0.8150000000000001	0.8150000000000001
GBEPT799-14	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	unk	unk	1	1	1	1	1	0.8089000000000001	0.8089000000000001
GBEPT2348-15	Insecta	Trichoptera	Limnephilidae	Limnephilinae	dummy_Limnephilinae	unk	unk	1	1	1	1	1	0.989	0.989
GST329-15	Insecta	Trichoptera	Apataniidae	Apataniinae	dummy_Apataniinae	Apatania	unk	1	1	1	1	1	1	0.8932
FBAQU253-09	Insecta	Trichoptera	Apataniidae	Apataniinae	dummy_Apataniinae	Apatania	unk	1	1	1	1	1	1	0.8932
FBCAD044-10	Insecta	Trichoptera	Goeridae	Goerinae	dummy_Goerinae	unk	unk	1	1	0.9491	0.9491	0.9491	0.9490000000000001	0.9490000000000001
GST333-15	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	unk	unk	1	1	1	1	1	0.8613000000000001	0.8613000000000001
FBAQU1217-12	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	Oecetis	unk	1	1	1	1	1	0.9596000000000001	0.8794000000000001
FBAQU1513-13	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	unk	unk	1	1	1	1	1	0.9156000000000001	0.9156000000000001
FBAQU1143-12	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	unk	unk	1	1	1	1	1	0.8660000000000001	0.8660000000000001
FBAQU257-09	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	Ceraclea	Ceraclea_albimacula	1	1	1	1	1	1	1
FBAQU1491-13	Insecta	Trichoptera	Leptoceridae	Leptocerinae	dummy_Leptocerinae	Athripsodes	unk	1	1	1	1	1	1	0.607
GST359-15	Insecta	Trichoptera	Beraeidae	dummy_Beraeidae	dummy_Beraeidae	Beraea	Beraea_pullata	1	1	1	1	1	1	1
GBMIX1861-15	Insecta	Trichoptera	Beraeidae	dummy_Beraeidae	dummy_Beraeidae	Beraea	Beraea_pullata	1	1	1	1	1	1	1
TBGMI056-21	Insecta	Diptera	Keroplatidae	Macrocerinae	Macrocerini	Macrocera	unk	1	1	1	1	1	1	0.7051999999999999
TBGMI053-21	Insecta	Coleoptera	Byturidae	Byturinae	dummy_Byturinae	Byturus	unk	1	0.9528000000000001	0.7615	0.7615	0.7615	0.7615	0.5114
GST394-15	Insecta	Trichoptera	Psychomyiidae	Psychomyiinae	dummy_Psychomyiinae	Lype	Lype_reducta	1	1	1	1	1	1	1
GBEPT680-14	Insecta	Trichoptera	Philopotamidae	Chimarrinae	dummy_Chimarrinae	Chimarra	Chimarra_marginata	1	1	1	1	1	1	1
GBMIX1690-15	Insecta	Trichoptera	Hydropsychidae	Hydropsychinae	dummy_Hydropsychinae	Hydropsyche	unk	1	1	1	1	1	1	0.645
GTRI056-18	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	dummy_Hydroptilinae	Hydroptila	Hydroptila_simulans	1	1	1	1	1	1	1
FBCAD038-10	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	dummy_Hydroptilinae	Hydroptila	Hydroptila_tineoides	1	1	1	1	1	1	1
GMGMM393-14	Insecta	Trichoptera	Hydroptilidae	Orthotrichiinae	dummy_Orthotrichiinae	Orthotrichia	unk	1	1	1	0.771	0.771	0.41500000000000004	0.41500000000000004
