ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TACFI441-12	Insecta	1.0	Diptera	0.642	Calliphoridae	0.032	Calliphorinae	0.032	dummy_Calliphorinae	0.032	Bellardia	0.032	Bellardia_stricta	0.032
TBGMI030-21	Insecta	0.630	Diptera	0.304	Tachinidae	0.277	Dexiinae	0.276	Voriini	0.276	Thelaira	0.276	Thelaira_nigrina	0.276
TACFI440-12	Insecta	1.0	Diptera	0.691	Calliphoridae	0.054	Chrysomyinae	0.054	dummy_Chrysomyinae	0.054	Protocalliphora	0.034	Protocalliphora_azurea	0.026
TBGMI051-21	Insecta	0.463	Coleoptera	0.164	Cerylonidae	0.060	Ceryloninae	0.060	dummy_Ceryloninae	0.060	Cerylon	0.060	Cerylon_fagi	0.060
SYGEO010-19	Insecta	1.0	Diptera	0.644	Syrphidae	0.218	Eristalinae	0.174	Milesiini	0.067	Chalcosyrphus	0.039	Chalcosyrphus_valgus	0.039
TBGMI172-21	Arachnida	0.676	Sarcoptiformes	0.664	Oppiidae	0.350	dummy_Oppiidae	0.350	dummy_Oppiidae	0.350	Oppiella	0.332	Oppiella_subpectinata	0.267
TBGMI063-21	Insecta	0.994	Hemiptera	0.450	Tingidae	0.367	Tinginae	0.367	Tingini	0.367	Acalypta	0.252	Acalypta_carinata	0.097
TIPSY021-08	Insecta	0.795	Trichoptera	0.352	Glossosomatidae	0.302	Agapetinae	0.302	dummy_Agapetinae	0.302	Agapetus	0.302	Agapetus_ochripes	0.302
ZYGMO232-10	Insecta	1.0	Lepidoptera	0.877	Zygaenidae	0.592	Procridinae	0.592	Procridini	0.592	Rhagades	0.592	Rhagades_pruni	0.592
SMNKA181-16	Arachnida	1.0	Araneae	1.0	Linyphiidae	0.909	dummy_Linyphiidae	0.909	dummy_Linyphiidae	0.909	Hilaira	0.125	Hilaira_pervicax	0.079
SMNKA310-16	Arachnida	0.948	Araneae	0.919	Salticidae	0.422	dummy_Salticidae	0.422	dummy_Salticidae	0.422	Sibianor	0.234	Sibianor_larae	0.234
TIPSY020-08	Insecta	0.663	Lepidoptera	0.557	Psychidae	0.550	Naryciinae	0.546	dummy_Naryciinae	0.546	Dahlica	0.546	Dahlica_rupicolella	0.133
TBGMI059-21	Insecta	0.762	Diptera	0.132	Tachinidae	0.095	Dexiinae	0.092	Voriini	0.092	Thelaira	0.092	Thelaira_nigrina	0.092
SCINO931-15	Insecta	1.0	Diptera	0.693	Mycetophilidae	0.267	Mycetophilinae	0.208	Exechiini	0.068	Exechia	0.052	Exechia_confinis	0.033
ZSMDB080-16	Insecta	1.0	Coleoptera	0.703	Dytiscidae	0.438	Hydroporinae	0.182	Hygrotini	0.080	Clemnius	0.044	Clemnius_decoratus	0.044
SMNSA135-16	Arachnida	0.883	Araneae	0.870	Theridiidae	0.318	dummy_Theridiidae	0.318	dummy_Theridiidae	0.318	Thymoites	0.226	Thymoites_bellissimus	0.226
TIPSY040-08	Insecta	1.0	Lepidoptera	0.829	Psychidae	0.803	Naryciinae	0.774	dummy_Naryciinae	0.774	Dahlica	0.774	Dahlica_rupicolella	0.247
PSYCH068-11	Insecta	1.0	Lepidoptera	0.387	Psychidae	0.132	Naryciinae	0.112	dummy_Naryciinae	0.112	Diplodoma	0.091	Diplodoma_laichartingella	0.091
TBGMI176-21	Arachnida	0.992	Sarcoptiformes	0.984	Micreremidae	0.192	dummy_Micreremidae	0.192	dummy_Micreremidae	0.192	Micreremus	0.192	Micreremus_brevipes	0.192
TACFI196-12	Insecta	1.0	Diptera	0.642	Ceratopogonidae	0.032	Ceratopogoninae	0.032	Ceratopogonini	0.032	Brachypogon	0.032	Brachypogon_sociabilis	0.032
SMNKA249-16	Arachnida	1.0	Araneae	0.981	Liocranidae	0.573	dummy_Liocranidae	0.573	dummy_Liocranidae	0.573	Scotina	0.282	Scotina_palliardii	0.282
SMNKA199-16	Arachnida	1.0	Araneae	1.0	Linyphiidae	0.988	dummy_Linyphiidae	0.988	dummy_Linyphiidae	0.988	Gongylidium	0.131	Gongylidium_rufipes	0.131
SMNKA042-16	Arachnida	1.0	Araneae	1.0	Thomisidae	0.350	dummy_Thomisidae	0.350	dummy_Thomisidae	0.350	Ozyptila	0.268	Ozyptila_trux	0.128
TBGMI106-21	Insecta	0.713	Coleoptera	0.161	Staphylinidae	0.095	Tachyporinae	0.089	Tachyporini	0.089	Tachyporus	0.089	Tachyporus_chrysomelinus	0.089
TACFI276-12	Insecta	1.0	Diptera	0.819	Tachinidae	0.549	Exoristinae	0.537	Goniini	0.389	Elodia	0.069	Elodia_ambulatoria	0.069
SYGEO240-19	Insecta	1.0	Diptera	0.715	Syrphidae	0.120	Syrphinae	0.074	Syrphini	0.074	Syrphus	0.037	Syrphus_torvus	0.037
TACFI435-12	Insecta	1.0	Diptera	0.803	Tachinidae	0.306	Exoristinae	0.270	Eryciini	0.176	Drino	0.058	Drino_bohemica	0.058
ULMCA013-19	Insecta	1.0	Diptera	0.686	Sarcophagidae	0.050	Miltogramminae	0.050	Metopiaini	0.050	Metopia	0.026	Metopia_staegerii	0.026
SCINO1295-16	Insecta	1.0	Diptera	0.635	Sciaridae	0.344	dummy_Sciaridae	0.344	dummy_Sciaridae	0.344	Sciara	0.159	Sciara_bryophila	0.159
RDNMD360-06	Insecta	1.0	Lepidoptera	0.956	Noctuidae	0.522	Noctuinae	0.429	dummy_Noctuinae	0.308	Mniotype	0.038	Mniotype_satura	0.038
SMNSH039-23	Insecta	0.389	Hymenoptera	0.262	Ichneumonidae	0.180	Phygadeuontinae	0.104	dummy_Phygadeuontinae	0.104	Aclastus	0.034	Aclastus_borealis	0.034
TACFI397-12	Insecta	1.0	Diptera	0.703	Tachinidae	0.361	Exoristinae	0.361	Eryciini	0.250	Aplomya	0.068	Aplomya_confinis	0.068
TBGMI057-21	Insecta	0.423	Diptera	0.148	Empididae	0.057	Ragadinae	0.057	dummy_Ragadinae	0.057	Ragas	0.057	Ragas_unica	0.057
