ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TACFI441-12	Insecta	0.968	Diptera	0.968	Tachinidae	0.968	Phasiinae	0.968	Phasiini	0.968	Phasia	0.968	Phasia_obesa	0.906
TBGMI030-21	Insecta	0.241	Hymenoptera	0.022	Vespidae	0.011	Vespinae	0.011	Vespinae_tribe_incertae_sedis	0.011	Vespula	0.011	Vespula_austriaca	0.011
TACFI440-12	Insecta	0.575	Diptera	0.575	Tachinidae	0.173	Phasiinae	0.114	Phasiini	0.090	Phasia	0.090	Phasia_barbifrons	0.053
TBGMI051-21	Insecta	0.254	Coleoptera	0.097	Sphindidae	0.020	Sphindinae	0.020	Sphindinae_tribe_incertae_sedis	0.020	Aspidiphorus	0.020	Aspidiphorus_orbiculatus	0.020
SYGEO010-19	Insecta	0.588	Diptera	0.561	Syrphidae	0.457	Syrphinae	0.365	Syrphini	0.279	Paragus	0.218	Paragus_pecchiolii	0.218
TBGMI172-21	Insecta	0.160	Diptera	0.049	Sciaridae	0.014	Sciaridae_subfamily_incertae_sedis	0.014	Sciaridae_tribe_incertae_sedis	0.014	Corynoptera	0.011	Corynoptera_trepida	0.011
TBGMI063-21	Insecta	0.317	Diptera	0.143	Chironomidae	0.042	Chironominae	0.039	Tanytarsini	0.029	Stempellinella	0.020	Stempellinella_edwardsi	0.020
TIPSY021-08	Insecta	0.405	Lepidoptera	0.139	Gelechiidae	0.031	Gelechiinae	0.024	Gelechiinae_tribe_incertae_sedis	0.024	Gelechia	0.016	Gelechia_hippophaella	0.016
ZYGMO232-10	Insecta	1.0	Lepidoptera	1.0	Zygaenidae	1.0	Procridinae	1.0	Procridini	1.0	Rhagades	1.0	Rhagades_pruni	1.0
SMNKA181-16	Arachnida	0.538	Araneae	0.538	Linyphiidae	0.520	Linyphiidae_subfamily_incertae_sedis	0.520	Linyphiidae_tribe_incertae_sedis	0.520	Agyneta	0.482	Agyneta_mossica	0.373
SMNKA310-16	Arachnida	0.387	Araneae	0.387	Cybaeidae	0.077	Cybaeidae_subfamily_incertae_sedis	0.077	Cybaeidae_tribe_incertae_sedis	0.077	Cryphoeca	0.077	Cryphoeca_silvicola	0.077
TIPSY020-08	Insecta	0.924	Lepidoptera	0.924	Psychidae	0.924	Naryciinae	0.924	Naryciinae_tribe_incertae_sedis	0.924	Dahlica	0.924	Dahlica_lichenella	0.852
TBGMI059-21	Insecta	0.234	Odonata	0.011	Coenagrionidae	0.011	Coenagrioninae	0.011	Coenagrioninae_tribe_incertae_sedis	0.011	Erythromma	0.011	Erythromma_najas	0.011
SCINO931-15	Insecta	0.463	Diptera	0.417	Sciaridae	0.370	Sciaridae_subfamily_incertae_sedis	0.370	Sciaridae_tribe_incertae_sedis	0.370	Claustropyga	0.091	Claustropyga_acanthostyla	0.078
ZSMDB080-16	Insecta	0.895	Coleoptera	0.895	Dytiscidae	0.895	Colymbetinae	0.895	Colymbetini	0.895	Colymbetes	0.895	Colymbetes_paykulli	0.895
SMNSA135-16	Arachnida	0.455	Araneae	0.455	Oxyopidae	0.032	Oxyopidae_subfamily_incertae_sedis	0.032	Oxyopidae_tribe_incertae_sedis	0.032	Oxyopes	0.032	Oxyopes_ramosus	0.032
TIPSY040-08	Insecta	1.0	Lepidoptera	1.0	Psychidae	1.0	Naryciinae	1.0	Naryciinae_tribe_incertae_sedis	1.0	Dahlica	1.0	Dahlica_listerella	1.0
PSYCH068-11	Insecta	1.0	Lepidoptera	1.0	Psychidae	1.0	Naryciinae	1.0	Naryciinae_tribe_incertae_sedis	1.0	Diplodoma	1.0	Diplodoma_laichartingella	1.0
TBGMI176-21	Arachnida	0.167	Sarcoptiformes	0.154	Tectocepheidae	0.012	Tectocepheidae_subfamily_incertae_sedis	0.012	Tectocepheidae_tribe_incertae_sedis	0.012	Tectocepheus	0.012	Tectocepheus_velatus	0.012
TACFI196-12	Insecta	0.603	Diptera	0.598	Syrphidae	0.043	Eristalinae	0.043	Brachyopini	0.043	Lejogaster	0.043	Lejogaster_tarsata	0.043
SMNKA249-16	Arachnida	0.965	Araneae	0.965	Liocranidae	0.965	Liocranidae_subfamily_incertae_sedis	0.965	Liocranidae_tribe_incertae_sedis	0.965	Agroeca	0.965	Agroeca_proxima	0.965
SMNKA199-16	Arachnida	0.457	Araneae	0.457	Linyphiidae	0.399	Linyphiidae_subfamily_incertae_sedis	0.399	Linyphiidae_tribe_incertae_sedis	0.399	Erigone	0.055	Erigone_welchi	0.055
SMNKA042-16	Arachnida	0.414	Araneae	0.414	Thomisidae	0.229	Thomisidae_subfamily_incertae_sedis	0.229	Thomisidae_tribe_incertae_sedis	0.229	Ozyptila	0.173	Ozyptila_atomaria	0.100
TBGMI106-21	Insecta	0.284	Hemiptera	0.113	Rhyparochromidae	0.041	Rhyparochrominae	0.041	Myodochini	0.012	Ligyrocoris	0.012	Ligyrocoris_sylvestris	0.012
TACFI276-12	Insecta	0.592	Diptera	0.532	Tachinidae	0.285	Exoristinae	0.260	Goniini	0.175	Pales	0.066	Pales_pavida	0.066
SYGEO240-19	Insecta	1.0	Diptera	1.0	Syrphidae	1.0	Syrphinae	1.0	Syrphini	1.0	Sphaerophoria	1.0	Sphaerophoria_taeniata	0.433
TACFI435-12	Insecta	0.981	Diptera	0.981	Tachinidae	0.981	Exoristinae	0.981	Blondeliini	0.981	Medina	0.981	Medina_collaris	0.981
ULMCA013-19	Insecta	0.964	Coleoptera	0.964	Nitidulidae	0.964	Carpophilinae	0.964	Carpophilinae_tribe_incertae_sedis	0.964	Carpophilus	0.964	Carpophilus_marginellus	0.964
SCINO1295-16	Insecta	0.376	Diptera	0.299	Sciaridae	0.243	Sciaridae_subfamily_incertae_sedis	0.243	Sciaridae_tribe_incertae_sedis	0.243	Cratyna	0.069	Cratyna_nobilis	0.069
RDNMD360-06	Insecta	1.0	Lepidoptera	1.0	Noctuidae	1.0	Plusiinae	1.0	Plusiini	1.0	Polychrysia	1.0	Polychrysia_moneta	1.0
SMNSH039-23	Insecta	0.349	Hymenoptera	0.279	Ichneumonidae	0.166	Campopleginae	0.028	Campopleginae_tribe_incertae_sedis	0.028	Meloboris	0.018	Meloboris_collector	0.018
TACFI397-12	Insecta	0.958	Diptera	0.958	Tachinidae	0.958	Exoristinae	0.958	Eryciini	0.958	Hubneria	0.958	Hubneria_affinis	0.958
TBGMI057-21	Insecta	0.303	Coleoptera	0.139	Elmidae	0.022	Elminae	0.022	Elminae_tribe_incertae_sedis	0.022	Oulimnius	0.022	Oulimnius_tuberculatus	0.022
TBGMI157-21	Insecta	0.144	Hymenoptera	0.045	Formicidae	0.045	Myrmicinae	0.045	Crematogastrini	0.045	Tetramorium	0.045	Tetramorium_atratulum	0.045
SMNKA264-16	Arachnida	0.404	Araneae	0.404	Linyphiidae	0.381	Linyphiidae_subfamily_incertae_sedis	0.381	Linyphiidae_tribe_incertae_sedis	0.381	Erigonella	0.029	Erigonella_hiemalis	0.023
