ID	order	family	subfamily	tribe	genus	species	Prob_order	Prob_family	Prob_subfamily	Prob_tribe	Prob_genus	Prob_species
TACFI441-12	Diptera	Tachinidae	Azeliinae	Culisetini	Phasia	Phasia_obesa	0.9994222	0.8064825	0.22881468	0.2821729	0.3620229	0.21875548
TBGMI030-21	Psocodea	Mesopsocidae	Liposcelidinae	Psocini	Aroga	Psocus_bipunctatus	0.99894625	0.24861057	0.5954625	0.4077335	0.08553666	0.06201558
TACFI440-12	Diptera	Panorpidae	Azeliinae	Culisetini	Thaumatomyia	Pseudopachystylum_gonioides	0.8027988	0.51932895	0.5100725	0.24552266	0.21308744	0.10319237
TBGMI051-21	Psocodea	Philopteridae	Liposcelidinae	Mordellini	Caecilius	Scaphidema_metallicum	0.9870554	0.16194399	0.21971601	0.12156205	0.17927177	0.07932016
SYGEO010-19	Diptera	Chironomidae	Chironominae	Chironomini	Culiseta	Aedes_communis	1.0	0.7008676	0.80824405	0.5671254	0.31758863	0.12786278
TBGMI172-21	Sarcoptiformes	Licneremaeidae	Liposcelidinae	Mordellini	Coranus	Lasionhada_proxima	0.9561134	0.19506815	0.33198395	0.2597804	0.09313306	0.06257818
TBGMI063-21	Diptera	Sciaridae	Mycetophilinae	Thrypticini	Platurocypta	Polypedilum_amoenum	0.8894397	0.67380327	0.37443173	0.20875168	0.12559688	0.08661969
TIPSY021-08	Coleoptera	Carabidae	Erotinae	Odacanthini	Eana	Patrobus_australis	0.9705537	0.20313723	0.1474826	0.09977957	0.10068266	0.2886472
ZYGMO232-10	Lepidoptera	Zygaenidae	Procridinae	Procridini	Rhagades	Rhagades_pruni	0.9999994	0.29949397	0.673573	0.9333407	0.66431123	0.57926005
SMNKA181-16	Araneae	Linyphiidae	Gelechiinae	Pentaneurini	Polopeustis	Carterocephalus_palaemon	0.9999963	0.99148613	0.3388808	0.11081127	0.18418632	0.14609164
SMNKA310-16	Araneae	Dictynidae	Tanypodinae	Procladiini	Neomida	Carcinops_pumilio	0.9999893	0.73523504	0.66761005	0.65977466	0.09339245	0.068764366
TIPSY020-08	Lepidoptera	Psychidae	Naryciinae	Cochylini	Dahlica	Dahlica_lichenella	0.9999945	0.7488955	0.9719016	0.70786864	0.68585384	0.842638
TBGMI059-21	Sarcoptiformes	Mesopsocidae	Liposcelidinae	Byctiscini	Berdeniella	Dissoleucas_niveirostris	0.95958436	0.3067088	0.15787287	0.21003549	0.035562873	0.045573395
SCINO931-15	Diptera	Sciaridae	Mycetophilinae	Chironomini	Corynoptera	Zygomyia_vara	0.99973434	0.9063405	0.7348524	0.31837738	0.1461982	0.11956686
ZSMDB080-16	Diptera	Mordellidae	Colymbetinae	Colymbetini	Colymbetes	Colymbetes_paykulli	0.9277383	0.12093266	0.46314764	0.86859185	0.7863248	0.22714907
SMNSA135-16	Araneae	Clubionidae	Limoniinae	Simuliini	Valenzuela	Valenzuela_gynapterus	0.99921846	0.2865406	0.15134074	0.33867398	0.3230979	0.06834265
TIPSY040-08	Lepidoptera	Psychidae	Naryciinae	Macrocerini	Dahlica	Dahlica_lichenella	0.96877444	0.8997399	0.58682203	0.37389606	0.51105446	0.054443084
PSYCH068-11	Hymenoptera	Psychidae	Naryciinae	Leptopsyllini	Corynoptera	Diplodoma_laichartingella	0.733037	0.6069352	0.17998876	0.16924156	0.17601766	0.07886853
TBGMI176-21	Sarcoptiformes	Scutoverticidae	Liposcelidinae	Epiphanini	Xylocoris	Synchita_humeralis	1.0	0.23103319	0.14499053	0.43833336	0.13695285	0.0850224
TACFI196-12	Diptera	Pterophoridae	Phorinae	Winnertziini	Chrysobothris	Leptopa_filiformis	0.9999993	0.19019607	0.6383626	0.14430597	0.043269247	0.032670263
SMNKA249-16	Araneae	Liocranidae	Sciophilinae	Natarsiini	Xanthochlorus	Agroeca_proxima	0.9994443	0.34724596	0.77299327	0.27923447	0.27057168	0.07582084
SMNKA199-16	Araneae	Theridiidae	Sehirinae	Aphidiini	Macrocera	Macrocera_centralis	0.9999993	0.38172624	0.2698132	0.13985181	0.15038207	0.15524317
SMNKA042-16	Araneae	Tetragnathidae	Chrysidinae	Crabronini	Cerapteryx	Neriene_clathrata	1.0	0.7062057	0.22939816	0.46880603	0.15960403	0.3930665
TBGMI106-21	Diptera	Dolichopodidae	Limnophilinae	Chironomini	Peodes	Peodes_petsamoensis	0.99922216	0.5622305	0.16251929	0.15328932	0.12105137	0.11433169
TACFI276-12	Diptera	Tachinidae	Cylindrotominae	Hydrophorini	Brachicheta	Diogma_glabrata	0.9999993	0.4604119	0.26622584	0.28031078	0.33128318	0.47536618
SYGEO240-19	Diptera	Culicidae	Culicinae	Aedini	Limnophora	Limnophora_triangula	0.9999999	0.18526612	0.25375062	0.39529666	0.45134956	0.08809983
TACFI435-12	Diptera	Odiniidae	Odiniinae	Aedini	Stempellina	Aedes_intrudens	0.9999999	0.2452991	0.18847644	0.17062482	0.063094	0.037397765
ULMCA013-19	Diptera	Silphidae	Cetoniinae	Athetini	Carpophilus	Cetonia_aurata	0.8167888	0.29055116	0.65697294	0.6310123	0.1470071	0.31718454
SCINO1295-16	Diptera	Sciaridae	Mycetophilinae	Chironomini	Valenzuela	Claustropyga_corticis	0.9999691	0.78241855	0.83152014	0.5825471	0.19244163	0.1299868
RDNMD360-06	Lepidoptera	Notodontidae	Gnoristinae	Plusiini	Polychrysia	Exoteleia_dodecella	0.9997296	0.38567773	0.3886434	0.8177874	0.53708524	0.33681053
SMNSH039-23	Hymenoptera	Ichneumonidae	Xyelinae	Rophitini	Nomada	Hypoponera_punctatissima	0.9999484	0.18092692	0.0774801	0.18433763	0.112808675	0.0666058
TACFI397-12	Diptera	Mycetophilidae	Sciophilinae	Limnophorini	Dicranomyia	Delina_nigrita	0.9999999	0.4283799	0.26047885	0.31241924	0.14611326	0.07192582
TBGMI057-21	Diptera	Mycetophilidae	Mycetophilinae	Mycetophilini	Xanthoperla	Culiseta_bergrothi	0.61785	0.2193737	0.16744454	0.25261924	0.08187543	0.031307206
TBGMI157-21	Sarcoptiformes	Nothridae	Delphacinae	Prosternini	Suctobelbella	Nothrus_borussicus	0.9999931	0.4677731	0.5735591	0.46330675	0.18112542	0.16799238
