ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TACFI441-12	Insecta	1.000000	Diptera	0.999903	Tachinidae	0.999286	Phasiinae	0.998878	Phasiini	0.997085	Phasia	0.997082	Phasia_obesa	0.787854
TBGMI030-21	unk	0.999889	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI440-12	Insecta	1.000000	Diptera	0.957931	Anthomyiidae	0.315919	Anthomyiidae_subfamily_incertae_sedis	0.304745	Anthomyiidae_tribe_incertae_sedis	0.295380	unk	0.289258	NA	0.000000
TBGMI051-21	unk	0.994612	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SYGEO010-19	Insecta	1.000000	Diptera	0.968028	Syrphidae	0.652005	Syrphinae	0.592028	Syrphini	0.506569	unk	0.504779	NA	0.000000
TBGMI172-21	unk	0.998266	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI063-21	Insecta	0.631320	unk	0.608211	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TIPSY021-08	Insecta	0.999966	unk	0.346677	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
ZYGMO232-10	Insecta	1.000000	Lepidoptera	0.999969	Zygaenidae	0.999796	Procridinae	0.999454	Procridini	0.998754	Rhagades	0.998723	Rhagades_pruni	0.997356
SMNKA181-16	Arachnida	1.000000	Araneae	0.987336	Linyphiidae	0.504506	Linyphiidae_subfamily_incertae_sedis	0.443051	Linyphiidae_tribe_incertae_sedis	0.345824	unk	0.345670	NA	0.000000
SMNKA310-16	Arachnida	0.999803	unk	0.715523	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TIPSY020-08	Insecta	1.000000	Lepidoptera	0.999958	Psychidae	0.999739	Naryciinae	0.998654	Naryciinae_tribe_incertae_sedis	0.998549	Dahlica	0.998520	Dahlica_lichenella	0.940211
TBGMI059-21	unk	0.999976	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SCINO931-15	Insecta	1.000000	Diptera	0.880311	unk	0.672178	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
ZSMDB080-16	Insecta	1.000000	Coleoptera	0.999925	Dytiscidae	0.999454	Colymbetinae	0.997864	Colymbetini	0.997712	Colymbetes	0.997578	Colymbetes_paykulli	0.689239
SMNSA135-16	Arachnida	0.999996	Araneae	0.668461	unk	0.645813	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TIPSY040-08	Insecta	1.000000	Lepidoptera	0.999960	Psychidae	0.999834	Naryciinae	0.999192	Naryciinae_tribe_incertae_sedis	0.999130	Dahlica	0.999120	Dahlica_listerella	0.990346
PSYCH068-11	Insecta	1.000000	Lepidoptera	0.999973	Psychidae	0.999849	Naryciinae	0.999190	Naryciinae_tribe_incertae_sedis	0.999128	Diplodoma	0.999118	Diplodoma_laichartingella	0.998685
TBGMI176-21	unk	0.824481	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI196-12	Insecta	1.000000	Diptera	0.932202	Scathophagidae	0.230276	Scathophaginae	0.199068	Microprosopini	0.115214	unk	0.112571	NA	0.000000
SMNKA249-16	Arachnida	1.000000	Araneae	0.999974	Liocranidae	0.999974	Liocranidae_subfamily_incertae_sedis	0.999974	Liocranidae_tribe_incertae_sedis	0.999974	Agroeca	0.999935	Agroeca_proxima	0.998878
SMNKA199-16	Arachnida	1.000000	Araneae	0.871420	unk	0.822050	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SMNKA042-16	Arachnida	1.000000	Araneae	0.872096	unk	0.828246	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI106-21	unk	0.997875	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI276-12	Insecta	1.000000	Diptera	0.927926	Tachinidae	0.300542	Exoristinae	0.178437	unk	0.118198	NA	0.000000	NA	0.000000
SYGEO240-19	Insecta	1.000000	Diptera	0.999933	Syrphidae	0.999657	Syrphinae	0.999481	Syrphini	0.999409	Sphaerophoria	0.999361	Sphaerophoria_chongjini	0.526036
TACFI435-12	Insecta	1.000000	Diptera	0.999934	Tachinidae	0.999637	Exoristinae	0.999397	Blondeliini	0.997732	Medina	0.997625	Medina_collaris	0.994841
ULMCA013-19	Insecta	1.000000	Coleoptera	0.999962	Nitidulidae	0.999809	Carpophilinae	0.999368	Carpophilinae_tribe_incertae_sedis	0.999318	Carpophilus	0.999311	Carpophilus_marginellus	0.978683
SCINO1295-16	Insecta	1.000000	Diptera	0.834887	unk	0.712623	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
RDNMD360-06	Insecta	1.000000	Lepidoptera	0.999975	Noctuidae	0.999838	Plusiinae	0.998738	Plusiini	0.998300	Polychrysia	0.998288	Polychrysia_moneta	0.996922
SMNSH039-23	unk	0.928073	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI397-12	Insecta	1.000000	Diptera	0.999920	Tachinidae	0.999559	Exoristinae	0.999237	Eryciini	0.996831	Hubneria	0.996659	Hubneria_affinis	0.988639
TBGMI057-21	unk	0.989759	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI157-21	unk	0.997948	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SMNKA264-16	Arachnida	0.999998	Araneae	0.711846	unk	0.705305	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI055-21	unk	0.989759	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SCINO1501-16	Insecta	0.999970	unk	0.513535	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SCINO499-15	Insecta	0.997379	unk	0.849215	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI408-12	Insecta	1.000000	Diptera	0.999928	Tachinidae	0.999378	Tachininae	0.999208	Ernestiini	0.995270	Panzeria	0.995259	Panzeria_rudis	0.718973
ZMBN1662-20	Insecta	1.000000	Hemiptera	0.999964	Saldidae	0.999666	Saldinae	0.999597	Saldoidini	0.999491	Saldula	0.999481	Saldula_palustris	0.703598
SRCNC528-16	Insecta	1.000000	Diptera	0.999929	Syrphidae	0.999508	Eristalinae	0.999393	Rhingiini	0.998603	Pelecocera	0.998577	Pelecocera_scaevoides	0.977163
TBGMI199-22	Insecta	0.948660	unk	0.867895	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI219-12	Insecta	1.000000	Diptera	0.971157	Tachinidae	0.744351	Exoristinae	0.648351	Winthemiini	0.325887	unk	0.266440	NA	0.000000
RDNMG509-08	Insecta	1.000000	Lepidoptera	0.999964	Noctuidae	0.999667	Noctuinae	0.998154	Tholerini	0.995534	Cerapteryx	0.995376	Cerapteryx_graminis	0.995238
SMNSA063-16	Arachnida	1.000000	Araneae	0.925927	unk	0.830063	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SMNSH037-23	Insecta	0.580356	unk	0.567287	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TRIFI1404-18	Insecta	1.000000	Trichoptera	0.999971	Limnephilidae	0.999879	Limnephilinae	0.999565	Limnephilinae_tribe_incertae_sedis	0.999484	Limnephilus	0.999416	Limnephilus_centralis	0.937249
TACFI205-12	Insecta	1.000000	Diptera	0.999363	Tachinidae	0.993100	Exoristinae	0.988688	Exoristini	0.944214	Phorocera	0.939170	unk	0.935152
SRDOC001-15	Insecta	0.999999	Diptera	0.799841	unk	0.752017	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI155-21	Arachnida	1.000000	Sarcoptiformes	0.999953	Gustaviidae	0.999693	Gustaviidae_subfamily_incertae_sedis	0.999612	Gustaviidae_tribe_incertae_sedis	0.999503	Gustavia	0.999500	Gustavia_microcephala	0.996146
