ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TACFI441-12	Insecta	1.000000	Diptera	0.999804	Tachinidae	0.999242	Phasiinae	0.991459	Phasiini	0.973973	Phasia	0.973621	Phasia_obesa	0.576149
TBGMI030-21	unk	0.988216	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TACFI440-12	Insecta	0.999995	Diptera	0.948015	Anthomyiidae	0.305126	Anthomyiidae_dummy_subfamily	0.302943	Anthomyiidae_dummy_tribe	0.295732	Hylemyza	0.054176	unk	0.042840
TBGMI051-21	unk	0.884348	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SYGEO010-19	Insecta	0.999995	Diptera	0.964772	Syrphidae	0.800028	Syrphinae	0.651166	Syrphini	0.417770	Paragus	0.181935	unk	0.144123
TBGMI172-21	unk	0.931773	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TBGMI063-21	Insecta	0.749630	unk	0.434091	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
TIPSY021-08	Insecta	0.997523	Diptera	0.418039	Syrphidae	0.112755	Eristalinae	0.070730	Merodontini	0.035864	unk	0.022197	NA	0.000000
ZYGMO232-10	Insecta	1.000000	Lepidoptera	0.999976	Zygaenidae	0.999909	Procridinae	0.999774	Procridini	0.999004	Rhagades	0.998309	Rhagades_pruni	0.994943
SMNKA181-16	Arachnida	0.999993	Araneae	0.998416	Linyphiidae	0.997523	Linyphiidae_dummy_subfamily	0.989745	Linyphiidae_dummy_tribe	0.955928	Agyneta	0.740827	unk	0.573085
SMNKA310-16	Arachnida	0.992556	Araneae	0.823414	Cybaeidae	0.179806	Cybaeidae_dummy_subfamily	0.119641	Cybaeidae_dummy_tribe	0.063771	unk	0.041694	NA	0.000000
TIPSY020-08	Insecta	1.000000	Lepidoptera	0.999972	Psychidae	0.999969	Naryciinae	0.999870	Naryciinae_dummy_tribe	0.998884	Dahlica	0.998735	Dahlica_lichenella	0.823823
TBGMI059-21	unk	0.994627	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
SCINO931-15	Insecta	0.999937	Diptera	0.977796	Sciaridae	0.953780	Sciaridae_dummy_subfamily	0.907537	Sciaridae_dummy_tribe	0.829017	Claustropyga	0.249423	unk	0.244795
ZSMDB080-16	Insecta	1.000000	Coleoptera	0.999968	Dytiscidae	0.999966	Colymbetinae	0.999359	Colymbetini	0.997998	Colymbetes	0.997590	Colymbetes_paykulli	0.985549
