ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus	species	Prob_species
AAHYM593-16	Insecta	0.905993	unk	0.592698	unk	0.592698	unk	0.592698	unk	0.592698	unk	0.592698
ABK001-20	Arachnida	0.999973	Araneae	0.983358	Salticidae	0.938515	dummy_Salticidae	0.937019	Attulus	0.417368	unk	0.412427
AGRID026-10	Insecta	0.999136	Coleoptera	0.824381	Elateridae	0.482138	Elaterinae	0.435844	unk	0.189326	unk	0.189326
AGRID027-10	Insecta	0.999136	Coleoptera	0.824381	Elateridae	0.482138	Elaterinae	0.435844	unk	0.189326	unk	0.189326
AMTPA048-15	Insecta	0.996748	Hymenoptera	0.736789	unk	0.467454	unk	0.467454	unk	0.467454	unk	0.467454
AMTPA069-15	Insecta	1	Hymenoptera	0.999984	Ichneumonidae	0.999983	Ctenopelmatinae	0.999939	Lagarotis	0.529154	Lagarotis_semicaligata	0.326796
AMTPA084-15	Insecta	1	Hymenoptera	0.99987	Ichneumonidae	0.999832	Ichneumoninae	0.991377	Ichneumon	0.678955	Ichneumon_sarcitorius	0.314615
AMTPA1011-15	Insecta	0.999999	Hymenoptera	0.998588	Ichneumonidae	0.996856	Orthocentrinae	0.853324	Plectiscidea	0.586252	unk	0.569219
AMTPA1611-15	Insecta	0.998687	Hymenoptera	0.826089	Ichneumonidae	0.467699	Orthocentrinae	0.237253	unk	0.071799	unk	0.071799
AMTPA1715-15	Insecta	0.999997	Hymenoptera	0.998607	Braconidae	0.995254	Aphidiinae	0.980519	Aphidius	0.891527	unk	0.884009
AMTPA1762-15	Insecta	0.999795	Hymenoptera	0.923556	Braconidae	0.807222	Exothecinae	0.470603	Colastes	0.330952	unk	0.330498
AMTPA1774-15	Insecta	0.999996	Hymenoptera	0.99837	Braconidae	0.994515	Aphidiinae	0.979234	Aphidius	0.884156	unk	0.877365
AMTPA2113-15	Insecta	0.718944	unk	0.57917	unk	0.57917	unk	0.57917	unk	0.57917	unk	0.57917
AMTPA2169-15	Insecta	0.95231	unk	0.595278	unk	0.595278	unk	0.595278	unk	0.595278	unk	0.595278
AMTPA2688-15	Insecta	1	Hymenoptera	0.999969	Chrysididae	0.999967	Chrysidinae	0.999964	Chrysis	0.999827	Chrysis_ruddii	0.977878
AMTPA2806-15	Insecta	1	Hymenoptera	1	Dryinidae	1	Anteoninae	0.999989	Anteon	0.998956	Anteon_flavicorne	0.983256
AMTPA2809-15	Insecta	1	Hymenoptera	0.999777	Dryinidae	0.999732	Gonatopodinae	0.99971	Gonatopus	0.998729	Gonatopus_helleni	0.50148
AMTPA493-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999999	Campopleginae	0.999653	Hyposoter	0.990596	Hyposoter_inquinatus	0.977438
AMTPA677-15	Insecta	0.999847	Hymenoptera	0.952538	Ichneumonidae	0.857045	Phygadeuontinae	0.455429	Theroscopus	0.126717	unk	0.126335
AMTPA861-15	unk	0.641669	unk	0.641669	unk	0.641669	unk	0.641669	unk	0.641669	unk	0.641669
AMTPB005-15	Insecta	0.999696	Hymenoptera	0.922597	Ichneumonidae	0.765657	Orthocentrinae	0.289656	Aperileptus	0.078271	unk	0.078188
AMTPB017-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999999	Ichneumoninae	0.998735	Homotherus	0.995834	Homotherus_locutor	0.980016
AMTPB045-15	Insecta	0.935944	unk	0.634543	unk	0.634543	unk	0.634543	unk	0.634543	unk	0.634543
AMTPB1265-15	unk	0.58941	unk	0.58941	unk	0.58941	unk	0.58941	unk	0.58941	unk	0.58941
AMTPB1389-15	Insecta	0.999999	Hymenoptera	0.998394	Ichneumonidae	0.997709	Phygadeuontinae	0.989901	Aclastus	0.953038	unk	0.772197
AMTPB1422-15	unk	0.99859	unk	0.99859	unk	0.99859	unk	0.99859	unk	0.99859	unk	0.99859
AMTPB1674-15	Insecta	0.968258	unk	0.546428	unk	0.546428	unk	0.546428	unk	0.546428	unk	0.546428
AMTPB1733-15	Insecta	1	Hymenoptera	0.999982	Ichneumonidae	0.999981	Orthocentrinae	0.999171	Stenomacrus	0.996742	Stenomacrus_minutissimus	0.983354
AMTPB1789-15	Insecta	1	Hymenoptera	0.998777	Ichneumonidae	0.998338	Campopleginae	0.968921	Campoletis	0.881691	unk	0.533554
AMTPB1804-15	Insecta	1	Hymenoptera	0.999954	Tenthredinidae	0.999951	Allantinae	0.998359	Ametastegia	0.997633	Ametastegia_perla	0.978387
AMTPB1910-15	unk	0.991895	unk	0.991895	unk	0.991895	unk	0.991895	unk	0.991895	unk	0.991895
AMTPB1989-15	Insecta	0.859709	unk	0.577643	unk	0.577643	unk	0.577643	unk	0.577643	unk	0.577643
AMTPB2066-15	Insecta	1	Hymenoptera	0.999981	Dryinidae	0.99998	Anteoninae	0.999979	Anteon	0.99991	Anteon_albidicolle	0.984313
AMTPB2170-15	Insecta	1	Hymenoptera	0.999998	Eulophidae	0.999998	Eulophinae	0.999855	Pnigalio	0.997223	Pnigalio_soemius	0.978103
AMTPB274-15	Insecta	0.999723	Hymenoptera	0.916565	Braconidae	0.76166	Exothecinae	0.415558	Colastes	0.266852	unk	0.266594
AMTPB755-15	Insecta	0.999932	Hymenoptera	0.96658	Ichneumonidae	0.91721	Campopleginae	0.567996	Olesicampe	0.134235	unk	0.133612
AMTPB768-15	unk	0.986641	unk	0.986641	unk	0.986641	unk	0.986641	unk	0.986641	unk	0.986641
AMTPC001-15	Insecta	1	Lepidoptera	0.999894	Noctuidae	0.998663	Noctuinae	0.967495	Polia	0.71029	Polia_bombycina	0.669397
AMTPC002-15	Insecta	1	Lepidoptera	0.99989	Noctuidae	0.998605	Noctuinae	0.966852	Polia	0.709407	Polia_bombycina	0.667309
AMTPC003-15	Insecta	1	Lepidoptera	0.999894	Noctuidae	0.998663	Noctuinae	0.967495	Polia	0.71029	Polia_bombycina	0.669397
