ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus	species	Prob_species
AAHYM593-16	Insecta	0.724425	unk	0.597843	unk	0.597843	unk	0.597843	unk	0.597843	unk	0.597843
ABK001-20	Arachnida	0.999962	Araneae	0.980453	Salticidae	0.905168	dummy_Salticidae	0.903218	Attulus	0.401978	unk	0.398279
AGRID026-10	Insecta	0.983419	Coleoptera	0.417555	unk	0.276473	unk	0.276473	unk	0.276473	unk	0.276473
AGRID027-10	Insecta	0.983419	Coleoptera	0.417555	unk	0.276473	unk	0.276473	unk	0.276473	unk	0.276473
AMTPA048-15	Insecta	0.961796	unk	0.556983	unk	0.556983	unk	0.556983	unk	0.556983	unk	0.556983
AMTPA069-15	Insecta	1	Hymenoptera	0.999986	Ichneumonidae	0.999985	Ctenopelmatinae	0.99997	Lagarotis	0.573822	Lagarotis_semicaligata	0.39312
AMTPA084-15	Insecta	1	Hymenoptera	0.999826	Ichneumonidae	0.999776	Ichneumoninae	0.994203	Ichneumon	0.691448	Ichneumon_sarcitorius	0.288741
AMTPA1011-15	Insecta	0.999998	Hymenoptera	0.9983	Ichneumonidae	0.995936	Orthocentrinae	0.876386	Plectiscidea	0.572724	unk	0.559574
AMTPA1611-15	Insecta	0.997112	Hymenoptera	0.759393	unk	0.463699	unk	0.463699	unk	0.463699	unk	0.463699
AMTPA1715-15	Insecta	1	Hymenoptera	0.999749	Braconidae	0.99922	Aphidiinae	0.995965	Aphidius	0.961378	unk	0.932529
AMTPA1762-15	Insecta	0.999594	Hymenoptera	0.892354	Braconidae	0.703953	Exothecinae	0.386279	Colastes	0.229653	unk	0.229482
AMTPA1774-15	Insecta	0.999999	Hymenoptera	0.999664	Braconidae	0.998947	Aphidiinae	0.995137	Aphidius	0.954783	unk	0.931286
AMTPA2113-15	Insecta	0.644765	unk	0.553627	unk	0.553627	unk	0.553627	unk	0.553627	unk	0.553627
AMTPA2169-15	Insecta	0.999168	Hymenoptera	0.890423	Eulophidae	0.579425	Tetrastichinae	0.470363	unk	0.30232	unk	0.30232
AMTPA2688-15	Insecta	1	Hymenoptera	0.999966	Chrysididae	0.999963	Chrysidinae	0.99996	Chrysis	0.99982	Chrysis_ruddii	0.974343
AMTPA2806-15	Insecta	1	Hymenoptera	1	Dryinidae	1	Anteoninae	0.999987	Anteon	0.9987	Anteon_flavicorne	0.979459
AMTPA2809-15	Insecta	1	Hymenoptera	0.999678	Dryinidae	0.999603	Gonatopodinae	0.999575	Gonatopus	0.998115	Gonatopus_helleni	0.43072
AMTPA493-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999999	Campopleginae	0.999915	Hyposoter	0.994602	Hyposoter_inquinatus	0.983464
AMTPA677-15	Insecta	0.999462	Hymenoptera	0.896196	Ichneumonidae	0.667961	Phygadeuontinae	0.4138	Theroscopus	0.091502	unk	0.091361
AMTPA861-15	unk	0.614325	unk	0.614325	unk	0.614325	unk	0.614325	unk	0.614325	unk	0.614325
AMTPB005-15	Insecta	0.999781	Hymenoptera	0.945937	Ichneumonidae	0.820275	Orthocentrinae	0.454334	Plectiscidea	0.145951	unk	0.145767
AMTPB017-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999999	Ichneumoninae	0.999679	Homotherus	0.998252	Homotherus_locutor	0.979279
AMTPB045-15	Insecta	0.997287	Hymenoptera	0.791848	unk	0.46974	unk	0.46974	unk	0.46974	unk	0.46974
AMTPB1265-15	unk	0.625054	unk	0.625054	unk	0.625054	unk	0.625054	unk	0.625054	unk	0.625054
AMTPB1389-15	Insecta	0.999999	Hymenoptera	0.997574	Ichneumonidae	0.996237	Phygadeuontinae	0.989172	Aclastus	0.948165	unk	0.838667
AMTPB1422-15	unk	0.989261	unk	0.989261	unk	0.989261	unk	0.989261	unk	0.989261	unk	0.989261
AMTPB1674-15	Insecta	0.993662	Hymenoptera	0.648728	unk	0.405197	unk	0.405197	unk	0.405197	unk	0.405197
AMTPB1733-15	Insecta	1	Hymenoptera	0.999986	Ichneumonidae	0.999985	Orthocentrinae	0.99983	Stenomacrus	0.998284	Stenomacrus_minutissimus	0.984848
AMTPB1789-15	Insecta	0.999998	Hymenoptera	0.996365	Ichneumonidae	0.99411	Campopleginae	0.964955	Campoletis	0.804264	unk	0.67522
AMTPB1804-15	Insecta	1	Hymenoptera	0.999953	Tenthredinidae	0.99995	Allantinae	0.998431	Ametastegia	0.99782	Ametastegia_perla	0.972984
AMTPB1910-15	unk	0.993031	unk	0.993031	unk	0.993031	unk	0.993031	unk	0.993031	unk	0.993031
AMTPB1989-15	Insecta	0.74165	unk	0.57543	unk	0.57543	unk	0.57543	unk	0.57543	unk	0.57543
AMTPB2066-15	Insecta	1	Hymenoptera	0.999982	Dryinidae	0.99998	Anteoninae	0.999979	Anteon	0.999912	Anteon_albidicolle	0.986435
AMTPB2170-15	Insecta	1	Hymenoptera	0.999998	Eulophidae	0.999998	Eulophinae	0.999815	Pnigalio	0.995816	Pnigalio_soemius	0.980634
AMTPB274-15	Insecta	0.999001	Hymenoptera	0.835403	Braconidae	0.503141	Exothecinae	0.235808	unk	0.131452	unk	0.131452
AMTPB755-15	Insecta	0.999947	Hymenoptera	0.974123	Ichneumonidae	0.933912	Campopleginae	0.76407	Campoletis	0.192804	unk	0.191332
AMTPB768-15	unk	0.998151	unk	0.998151	unk	0.998151	unk	0.998151	unk	0.998151	unk	0.998151
AMTPC001-15	Insecta	1	Lepidoptera	0.999933	Noctuidae	0.999008	Noctuinae	0.973706	Polia	0.762591	Polia_bombycina	0.712096
AMTPC002-15	Insecta	1	Lepidoptera	0.999933	Noctuidae	0.999008	Noctuinae	0.973706	Polia	0.762591	Polia_bombycina	0.712096
AMTPC003-15	Insecta	1	Lepidoptera	0.999933	Noctuidae	0.999008	Noctuinae	0.973706	Polia	0.762591	Polia_bombycina	0.712096
AMTPC014-15	Insecta	1	Lepidoptera	0.999962	Noctuidae	0.999167	Noctuinae	0.980459	Hadena	0.757264	Hadena_perplexa	0.723271
AMTPC015-15	Insecta	1	Lepidoptera	0.999957	Noctuidae	0.999117	Noctuinae	0.979988	Hadena	0.74276	Hadena_perplexa	0.705392
AMTPC035-15	Insecta	1	Lepidoptera	0.999934	Geometridae	0.99967	Larentiinae	0.992652	Entephria	0.96662	Entephria_flavicinctata	0.881138
AMTPC036-15	Insecta	1	Lepidoptera	0.999951	Noctuidae	0.999734	Noctuinae	0.992345	Sideridis	0.9075	Sideridis_rivularis	0.896776
AMTPC037-15	Insecta	1	Lepidoptera	0.99997	Sphingidae	0.999886	Smerinthinae	0.999359	Laothoe	0.998947	Laothoe_populi	0.987364
AMTPC038-15	Insecta	1	Lepidoptera	0.999813	Sesiidae	0.999774	Sesiinae	0.999762	Synanthedon	0.998514	Synanthedon_formicaeformis	0.850266
AMTPC039-15	Insecta	1	Lepidoptera	0.999962	Lasiocampidae	0.999879	Lasiocampinae	0.99983	Lasiocampa	0.999466	Lasiocampa_quercus	0.979773
AMTPC040-15	Insecta	1	Lepidoptera	0.999973	Sphingidae	0.999948	Macroglossinae	0.999869	Hemaris	0.999688	Hemaris_fuciformis	0.985091
AMTPC044-15	Insecta	1	Lepidoptera	0.999953	Pieridae	0.99989	Pierinae	0.999215	Pieris	0.998735	Pieris_napi	0.972159
AMTPC053-15	Insecta	1	Lepidoptera	0.999974	Noctuidae	0.999654	Cuculliinae	0.99212	Cucullia	0.992055	Cucullia_lucifuga	0.919722
AMTPC064-15	Insecta	1	Lepidoptera	0.999949	Crambidae	0.999812	Pyraustinae	0.998849	Anania	0.996099	Anania_fuscalis	0.979567
AMTPC066-15	Insecta	1	Lepidoptera	0.99993	Crambidae	0.999779	Spilomelinae	0.996995	Udea	0.996468	Udea_lutealis	0.948348
AMTPC074-15	Insecta	1	Lepidoptera	0.99993	Crambidae	0.999432	Pyraustinae	0.995241	Anania	0.985761	Anania_crocealis	0.970636
