"ID" "Class" "Order" "Family" "Subfamily" "Genus" "Prob_Class" "Prob_Order" "Prob_Family" "Prob_Subfamily" "Prob_Genus"
"1" "AAHYM593-16" "Arachnida" "Araneae" "Theridiidae" "dummy_Theridiidae" "Dipoena" 0.28 0.28 0.27 0.27 0.27
"2" "ABK001-20" "Arachnida" "Araneae" "Lycosidae" "dummy_Lycosidae" "Aulonia" 0.99 0.99 0.14 0.14 0.14
"3" "AGRID026-10" "Insecta" "Coleoptera" "Elateridae" "Agrypninae" "Agrypnus" 1 0.83 0.44 0.28 0.28
"4" "AGRID027-10" "Insecta" "Coleoptera" "Elateridae" "Agrypninae" "Agrypnus" 1 0.83 0.44 0.28 0.28
"5" "AMTPA048-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Ichneumoninae" "Spilothyrateles" 1 0.98 0.94 0.33 0.25
"6" "AMTPA069-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Ctenopelmatinae" "Lagarotis" 1 1 1 1 1
"7" "AMTPA084-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Ichneumoninae" "Ichneumon" 1 1 1 0.99 0.69
"8" "AMTPA1011-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Orthocentrinae" "Plectiscidea" 1 1 1 0.61 0.48
"9" "AMTPA1611-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Orthocentrinae" "Orthocentrus" 1 0.99 0.98 0.36 0.26
"10" "AMTPA1715-15" "Insecta" "Hymenoptera" "Braconidae" "Aphidiinae" "Aphidius" 1 1 0.99 0.95 0.95
"11" "AMTPA1762-15" "Insecta" "Hymenoptera" "Braconidae" "Alysiinae" "Chorebus" 1 1 1 0.83 0.83
"12" "AMTPA1774-15" "Insecta" "Hymenoptera" "Braconidae" "Aphidiinae" "Aphidius" 0.99 0.99 0.98 0.95 0.95
"13" "AMTPA2113-15" "Insecta" "Hymenoptera" "Cynipidae" "Cynipinae" "Synergus" 0.99 0.97 0.61 0.61 0.61
"14" "AMTPA2169-15" "Insecta" "Hymenoptera" "Eulophidae" "Tetrastichinae" "Baryscapus" 1 0.88 0.41 0.33 0.33
"15" "AMTPA2688-15" "Insecta" "Hymenoptera" "Chrysididae" "Chrysidinae" "Chrysis" 1 1 1 1 1
"16" "AMTPA2806-15" "Insecta" "Hymenoptera" "Dryinidae" "Anteoninae" "Anteon" 1 1 1 1 1
"17" "AMTPA2809-15" "Insecta" "Hymenoptera" "Dryinidae" "Gonatopodinae" "Gonatopus" 1 1 1 1 1
"18" "AMTPA493-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Campopleginae" "Hyposoter" 1 1 1 1 1
"19" "AMTPA677-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Phygadeuontinae" "Theroscopus" 1 1 1 0.82 0.51
"20" "AMTPA861-15" "Insecta" "Hymenoptera" "Braconidae" "Rhysipolinae" "Rhysipolis" 0.9 0.6 0.22 0.16 0.16
"21" "AMTPB005-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Orthocentrinae" "Plectiscidea" 1 1 1 0.95 0.91
"22" "AMTPB017-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Ichneumoninae" "Homotherus" 1 1 1 1 1
"23" "AMTPB045-15" "Insecta" "Hymenoptera" "Eulophidae" "Tetrastichinae" "Baryscapus" 1 0.83 0.43 0.38 0.38
"24" "AMTPB1265-15" "Insecta" "Hymenoptera" "Diapriidae" "Belytinae" "Aclista" 1 0.92 0.51 0.51 0.51
"25" "AMTPB1389-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Phygadeuontinae" "Aclastus" 1 1 1 1 0.95
"26" "AMTPB1422-15" "Insecta" "Hymenoptera" "Braconidae" "Alysiinae" "Chorebus" 0.87 0.63 0.2 0.18 0.18
"27" "AMTPB1674-15" "Insecta" "Hymenoptera" "Eulophidae" "Tetrastichinae" "Baryscapus" 0.98 0.94 0.67 0.27 0.27
"28" "AMTPB1733-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Orthocentrinae" "Stenomacrus" 1 1 1 1 1
"29" "AMTPB1789-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Campopleginae" "Campoletis" 1 1 1 0.95 0.89
"30" "AMTPB1804-15" "Insecta" "Hymenoptera" "Tenthredinidae" "Allantinae" "Ametastegia" 1 1 1 0.99 0.99
"31" "AMTPB1910-15" "Insecta" "Hymenoptera" "Scelionidae" "Telenominae" "Telenomus" 0.99 0.85 0.56 0.56 0.56
"32" "AMTPB1989-15" "Insecta" "Hymenoptera" "Braconidae" "Rhysipolinae" "Rhysipolis" 0.84 0.52 0.21 0.05 0.05
"33" "AMTPB2066-15" "Insecta" "Hymenoptera" "Dryinidae" "Anteoninae" "Anteon" 1 1 1 1 1
"34" "AMTPB2170-15" "Insecta" "Hymenoptera" "Eulophidae" "Eulophinae" "Pnigalio" 1 1 1 1 1
"35" "AMTPB274-15" "Insecta" "Hymenoptera" "Braconidae" "Alysiinae" "Chorebus" 1 1 0.93 0.84 0.84
"36" "AMTPB755-15" "Insecta" "Hymenoptera" "Ichneumonidae" "Campopleginae" "Campoletis" 1 1 0.99 0.66 0.26
"37" "AMTPB768-15" "Insecta" "Hymenoptera" "Cynipidae" "Cynipinae" "Synergus" 1 0.59 0.32 0.32 0.32
"38" "AMTPC001-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Polia" 1 1 1 1 1
"39" "AMTPC002-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Polia" 1 1 1 1 1
"40" "AMTPC003-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Polia" 1 1 1 1 1
"41" "AMTPC014-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Hadena" 1 1 1 1 1
"42" "AMTPC015-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Hadena" 1 1 1 1 1
"43" "AMTPC035-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Entephria" 1 1 1 1 1
"44" "AMTPC036-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Sideridis" 1 1 1 1 1
"45" "AMTPC037-15" "Insecta" "Lepidoptera" "Sphingidae" "Smerinthinae" "Laothoe" 1 1 1 1 1
"46" "AMTPC038-15" "Insecta" "Lepidoptera" "Sesiidae" "Sesiinae" "Synanthedon" 1 1 1 1 1
"47" "AMTPC039-15" "Insecta" "Lepidoptera" "Lasiocampidae" "Lasiocampinae" "Lasiocampa" 1 1 1 1 1
"48" "AMTPC040-15" "Insecta" "Lepidoptera" "Sphingidae" "Macroglossinae" "Hemaris" 1 1 1 1 1
"49" "AMTPC044-15" "Insecta" "Lepidoptera" "Pieridae" "Pierinae" "Pieris" 1 1 1 1 1
"50" "AMTPC053-15" "Insecta" "Lepidoptera" "Noctuidae" "Cuculliinae" "Cucullia" 1 1 1 1 1
"51" "AMTPC064-15" "Insecta" "Lepidoptera" "Crambidae" "Pyraustinae" "Anania" 1 1 1 1 1
"52" "AMTPC066-15" "Insecta" "Lepidoptera" "Crambidae" "Spilomelinae" "Udea" 1 1 1 1 1
"53" "AMTPC074-15" "Insecta" "Lepidoptera" "Crambidae" "Pyraustinae" "Anania" 1 1 1 1 0.98
"54" "AMTPC075-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Triphosa" 1 1 1 1 1
"55" "AMTPC078-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Cosmorhoe" 1 0.99 0.67 0.66 0.36
"56" "AMTPC080-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Antitype" 1 1 1 1 1
"57" "AMTPC082-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Anarta" 1 1 0.99 0.99 0.58
"58" "AMTPC086-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Colostygia" 1 1 1 0.99 0.93
"59" "AMTPC088-15" "Insecta" "Lepidoptera" "Tortricidae" "Tortricinae" "Cnephasia" 1 1 1 1 1
"60" "AMTPC089-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.93 0.7 0.68 0.58
"61" "AMTPC090-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Erebia" 1 0.92 0.67 0.66 0.55
"62" "AMTPC091-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Antitype" 1 1 1 1 1
"63" "AMTPC093-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Thera" 1 1 1 1 1
"64" "AMTPC101-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"65" "AMTPC105-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Hydriomena" 1 1 1 1 1
"66" "AMTPC107-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Colostygia" 1 1 1 0.99 0.95
"67" "AMTPC117-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Psodos" 1 0.99 0.53 0.49 0.24
"68" "AMTPC119-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Yezognophos" 1 0.98 0.93 0.88 0.42
"69" "AMTPC121-15" "Insecta" "Lepidoptera" "Geometridae" "Ennominae" "Psodos" 1 1 0.89 0.89 0.63
"70" "AMTPC123-15" "Insecta" "Lepidoptera" "Nymphalidae" "Satyrinae" "Lasiommata" 1 1 1 1 1
"71" "AMTPC125-15" "Insecta" "Lepidoptera" "Nymphalidae" "Nymphalinae" "Aglais" 1 1 1 1 1
"72" "AMTPC130-15" "Insecta" "Lepidoptera" "Hesperiidae" "Pyrginae" "Pyrgus" 1 1 1 1 1
"73" "AMTPC131-15" "Insecta" "Lepidoptera" "Hesperiidae" "Hesperiinae" "Ochlodes" 1 1 1 1 1
"74" "AMTPC142-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"75" "AMTPC143-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"76" "AMTPC144-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"77" "AMTPC145-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"78" "AMTPC147-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Chloroclysta" 1 1 1 1 1
"79" "AMTPC148-15" "Insecta" "Lepidoptera" "Geometridae" "Larentiinae" "Perizoma" 1 1 1 1 1
"80" "AMTPC155-15" "Insecta" "Lepidoptera" "Noctuidae" "Noctuinae" "Sideridis" 1 1 1 1 1
