ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TACFI441-12	Insecta	1.0	Diptera	1.0	Tachinidae	1.0	Phasiinae	1.0	Phasiini	1.0	Phasia	1.0	Phasia_obesa	0.97
TBGMI030-21	Insecta	0.99	Diptera	0.53	Chironomidae	0.18	Orthocladiinae	0.16	dummy_Orthocladiinae	0.16	Psectrocladius	0.1	Psectrocladius_oxyura	0.1
TACFI440-12	Insecta	1.0	Diptera	1.0	Tachinidae	0.52	Phasiinae	0.46	Phasiini	0.46	Phasia	0.46	Phasia_barbifrons	0.28
TBGMI051-21	Insecta	1.0	Siphonaptera	0.14	Ceratophyllidae	0.14	Ceratophyllinae	0.14	dummy_Ceratophyllinae	0.14	Ceratophyllus	0.14	Ceratophyllus_maculatus	0.12
SYGEO010-19	Insecta	1.0	Diptera	1.0	Syrphidae	0.95	Syrphinae	0.94	Syrphini	0.77	Paragus	0.7	Paragus_pecchiolii	0.68
TBGMI172-21	Insecta	0.81	Diptera	0.38	Chironomidae	0.06	Chironominae	0.06	Tanytarsini	0.06	Tanytarsus	0.06	Tanytarsus_pallidicornis	0.06
TBGMI063-21	Insecta	1.0	Diptera	0.6	Syrphidae	0.09	Eristalinae	0.07	Brachyopini	0.07	Brachyopa	0.07	Brachyopa_zhelochovtsevi	0.07
TIPSY021-08	Insecta	1.0	Diptera	0.69	Syrphidae	0.21	Eristalinae	0.2	Merodontini	0.15	Eumerus	0.15	Eumerus_flavitarsis	0.15
ZYGMO232-10	Insecta	1.0	Lepidoptera	1.0	Zygaenidae	1.0	Procridinae	1.0	Procridini	1.0	Rhagades	1.0	Rhagades_pruni	1.0
SMNKA181-16	Arachnida	1.0	Araneae	1.0	Linyphiidae	1.0	dummy_Linyphiidae	1.0	dummy_Linyphiidae	1.0	Agyneta	0.93	Agyneta_mossica	0.54
SMNKA310-16	Arachnida	0.96	Araneae	0.96	Dictynidae	0.25	dummy_Dictynidae	0.25	dummy_Dictynidae	0.25	Argyroneta	0.2	Argyroneta_aquatica	0.2
TIPSY020-08	Insecta	1.0	Lepidoptera	1.0	Psychidae	1.0	Naryciinae	1.0	dummy_Naryciinae	1.0	Dahlica	1.0	Dahlica_lichenella	1.0
TBGMI059-21	Insecta	0.98	Diptera	0.45	Bombyliidae	0.1	Bombyliinae	0.1	Bombyliini	0.1	Bombylius	0.1	Bombylius_major	0.1
SCINO931-15	Insecta	1.0	Diptera	0.97	Sciaridae	0.92	dummy_Sciaridae	0.92	dummy_Sciaridae	0.92	Claustropyga	0.37	Claustropyga_acanthostyla	0.29
ZSMDB080-16	Insecta	1.0	Coleoptera	1.0	Dytiscidae	1.0	Colymbetinae	1.0	Colymbetini	1.0	Colymbetes	1.0	Colymbetes_paykulli	1.0
SMNSA135-16	Arachnida	0.98	Araneae	0.98	Gnaphosidae	0.2	dummy_Gnaphosidae	0.2	dummy_Gnaphosidae	0.2	Phaeocedus	0.13	Phaeocedus_braccatus	0.13
