ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TBGMI172-21		Insecta	0.75	Diptera	0.28	Eremaeidae	0.07	dummy_Eremaeidae	0.07	dummy_Eremaeidae	0.07	Eueremaeus	0.07	Eueremaeus_silvestris	0.07
TBGMI030-21		Insecta	1.00	Diptera	0.33	Mycetophilidae	0.10	Mycetophilinae	0.08	dummy_Limnephilinae	0.07	Limnephilus	0.03	Limnephilus_flavicornis	0.03
TBGMI051-21		Insecta	0.98	Diptera	0.33	Tachinidae	0.06	Gnoristinae	0.05	dummy_Gnoristinae	0.05	Boletina	0.05	Boletina_bidenticulata	0.03
TBGMI063-21		Insecta	1.00	Diptera	0.60	Chironomidae	0.13	Chironominae	0.08	Simuliini	0.07	Simulium	0.07	Brachycampta_czernyi	0.03
SYGEO010-19		Insecta	1.00	Diptera	0.98	Syrphidae	0.75	Syrphinae	0.70	Syrphini	0.66	Paragus	0.62	Paragus_pecchiolii	0.48
TACFI441-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	1.00
TACFI440-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.63	Phasiinae	0.45	Phasiini	0.43	Phasia	0.43	Phasia_barbifrons	0.15
TIPSY021-08		Insecta	1.00	Lepidoptera	0.49	Tachinidae	0.25	Olethreutinae	0.12	Eryciini	0.08	Senometopia	0.06	Paracolax_tristalis	0.03
SMNKA181-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Agyneta	0.99	Agyneta_mossica	0.69
SMNKA310-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.27	dummy_Linyphiidae	0.27	dummy_Linyphiidae	0.27	Cryphoeca	0.09	Cryphoeca_silvicola	0.09
ZYGMO232-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
TBGMI059-21		Insecta	0.99	Coleoptera	0.35	Mycetophilidae	0.07	Mycetophilinae	0.05	dummy_Phryganeinae	0.03	Entephria	0.03	Entephria_byssata	0.03
TIPSY020-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
ZSMDB080-16		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Colymbetinae	1.00	Colymbetini	1.00	Colymbetes	1.00	Colymbetes_paykulli	1.00
SMNSA135-16		Arachnida	0.76	Araneae	0.76	Linyphiidae	0.11	dummy_Linyphiidae	0.11	dummy_Linyphiidae	0.11	Gnaphosa	0.06	Myrmarachne_formicaria	0.04
SCINO931-15		Insecta	1.00	Diptera	0.84	Sciaridae	0.57	dummy_Sciaridae	0.57	dummy_Sciaridae	0.57	Claustropyga	0.12	Claustropyga_acanthostyla	0.09
TBGMI176-21		Insecta	0.68	Sarcoptiformes	0.28	Staphylinidae	0.09	dummy_Eremaeidae	0.05	dummy_Eremaeidae	0.05	Eueremaeus	0.05	Eueremaeus_silvestris	0.05
TIPSY040-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_listerella	1.00
PSYCH068-11		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Diplodoma	1.00	Diplodoma_laichartingella	1.00
SMNKA249-16		Arachnida	1.00	Araneae	1.00	Liocranidae	1.00	dummy_Liocranidae	1.00	dummy_Liocranidae	1.00	Agroeca	1.00	Agroeca_proxima	1.00
SMNKA199-16		Arachnida	0.98	Araneae	0.98	Linyphiidae	0.90	dummy_Linyphiidae	0.90	dummy_Linyphiidae	0.90	Walckenaeria	0.26	Walckenaeria_cuspidata	0.13
SMNKA042-16		Arachnida	1.00	Araneae	1.00	Thomisidae	0.70	dummy_Thomisidae	0.70	dummy_Thomisidae	0.70	Ozyptila	0.51	Ozyptila_atomaria	0.21
TBGMI106-21		Insecta	1.00	Hemiptera	0.22	Tenthredinidae	0.10	Rhyparochrominae	0.08	dummy_Sciaridae	0.07	Bradysia	0.06	Pterotmetus_staphyliniformis	0.03
TACFI196-12		Insecta	1.00	Diptera	0.92	Tachinidae	0.30	Exoristinae	0.25	dummy_Anthomyiidae	0.15	Meigenia	0.11	Meigenia_dorsalis	0.06
ULMCA013-19		Insecta	1.00	Coleoptera	1.00	Nitidulidae	1.00	Carpophilinae	1.00	dummy_Carpophilinae	1.00	Carpophilus	1.00	Carpophilus_marginellus	1.00
TACFI276-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.86	Exoristinae	0.81	Goniini	0.59	Myxexoristops	0.15	Cyzenis_jucunda	0.12
SYGEO240-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Sphaerophoria	1.00	Sphaerophoria_chongjini	0.67
TACFI435-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Medina	1.00	Medina_collaris	1.00
SCINO1295-16		Insecta	1.00	Diptera	0.81	Sciaridae	0.63	dummy_Sciaridae	0.63	dummy_Sciaridae	0.63	Cratyna	0.22	Cratyna_nobilis	0.22
RDNMD360-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Plusiinae	1.00	Plusiini	1.00	Polychrysia	1.00	Polychrysia_moneta	1.00
SMNSH039-23		Insecta	0.98	Hymenoptera	0.32	Ichneumonidae	0.16	Chloropinae	0.05	dummy_Larentiinae	0.05	Colletes	0.03	Mydaea_humeralis	0.03
TACFI397-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Hubneria	1.00	Hubneria_affinis	1.00
TBGMI157-21		Insecta	0.68	Sarcoptiformes	0.30	Trhypochthoniidae	0.08	dummy_Trhypochthoniidae	0.08	dummy_Trhypochthoniidae	0.08	Trhypochthoniellus	0.08	Trhypochthoniellus_longiseta	0.08
SMNKA264-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.96	dummy_Linyphiidae	0.96	dummy_Linyphiidae	0.96	Walckenaeria	0.15	Floronia_bucculenta	0.11
TBGMI057-21		Insecta	0.99	Coleoptera	0.42	Staphylinidae	0.14	Mycetophilinae	0.09	Mycetophilini	0.06	Mycetophila	0.04	Dicranomyia_ponojensis	0.02
TBGMI055-21		Insecta	0.99	Coleoptera	0.46	Staphylinidae	0.22	Aleocharinae	0.07	dummy_Steninae	0.05	Stenus	0.05	Lathrobium_fulvipenne	0.03
SCINO1501-16		Insecta	1.00	Diptera	0.60	Sciaridae	0.33	dummy_Sciaridae	0.33	dummy_Sciaridae	0.33	Bradysia	0.08	Bradysia_excelsa	0.07
SCINO499-15		Insecta	1.00	Diptera	0.69	Sciaridae	0.29	dummy_Sciaridae	0.29	dummy_Sciaridae	0.29	Scatopsciara	0.10	Scatopsciara_pusilla	0.08
ZMBN1662-20		Insecta	1.00	Hemiptera	1.00	Saldidae	1.00	Saldinae	1.00	Saldoidini	1.00	Saldula	1.00	Saldula_palustris	0.58
TACFI408-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_rudis	1.00
TBGMI199-22		Insecta	0.98	Diptera	0.45	Staphylinidae	0.08	Aleocharinae	0.07	Athetini	0.06	Atheta	0.06	Atheta_strandiella	0.04
SRCNC528-16		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Rhingiini	1.00	Pelecocera	1.00	Pelecocera_scaevoides	1.00
TACFI219-12		Insecta	1.00	Diptera	0.97	Tachinidae	0.84	Exoristinae	0.75	Winthemiini	0.68	Nemorilla	0.66	Nemorilla_maculosa	0.66
RDNMG509-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Tholerini	1.00	Cerapteryx	1.00	Cerapteryx_graminis	1.00
SMNSA063-16		Arachnida	0.90	Araneae	0.90	Theridiidae	0.46	dummy_Theridiidae	0.46	dummy_Theridiidae	0.46	Theridion	0.22	Theridion_varians	0.15
TRIFI1404-18		Insecta	1.00	Trichoptera	1.00	Limnephilidae	1.00	Limnephilinae	1.00	dummy_Limnephilinae	1.00	Limnephilus	1.00	Limnephilus_centralis	1.00
SMNSH037-23		Insecta	0.98	Hymenoptera	0.36	Ichneumonidae	0.17	dummy_Crabronidae	0.05	Mycetophilini	0.05	Mycetophila	0.04	Euclidia_glyphica	0.03
TACFI205-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Exoristinae	0.99	Exoristini	0.94	Phorocera	0.90	Phorocera_obscura	0.90
TBGMI155-21		Arachnida	1.00	Sarcoptiformes	1.00	Gustaviidae	1.00	dummy_Gustaviidae	1.00	dummy_Gustaviidae	1.00	Gustavia	1.00	Gustavia_microcephala	1.00
