ID	class	Prob_class	order	Prob_order	family	Prob_family	 subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	 species	Prob_species
TACFI441-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	0.99
ZSMDB080-16		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Colymbetinae	1.00	Colymbetini	1.00	Colymbetes	1.00	Colymbetes_paykulli	1.00
TACFI440-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.43	Phasiinae	0.26	Phasiini	0.26	Phasia	0.26	Phasia_barbifrons	0.09
SCINO931-15		Insecta	1.00	Diptera	0.86	Sciaridae	0.69	dummy_Sciaridae	0.69	dummy_Sciaridae	0.69	Claustropyga	0.33	Claustropyga_acanthostyla	0.30
TBGMI051-21		Insecta	1.00	Diptera	0.38	Chironomidae	0.08	Coleophorinae	0.05	dummy_Coleophorinae	0.05	Coleophora	0.05	Sympherobius_fuscescens	0.03
SYGEO010-19		Insecta	1.00	Diptera	0.99	Syrphidae	0.71	Syrphinae	0.63	Syrphini	0.54	Paragus	0.43	Paragus_pecchiolii	0.43
ZYGMO232-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
TBGMI030-21		Insecta	0.99	Diptera	0.41	Chironomidae	0.20	Orthocladiinae	0.14	dummy_Orthocladiinae	0.14	Tokunagaia	0.04	Tokunagaia_parexcellens	0.04
SMNKA181-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.99	dummy_Linyphiidae	0.99	dummy_Linyphiidae	0.99	Agyneta	0.95	Agyneta_mossica	0.60
TBGMI059-21		Insecta	0.98	Coleoptera	0.54	Staphylinidae	0.18	Aleocharinae	0.12	Alticini	0.08	Longitarsus	0.07	Longitarsus_luridus	0.06
SMNKA310-16		Arachnida	0.95	Araneae	0.95	Linyphiidae	0.32	dummy_Linyphiidae	0.32	dummy_Linyphiidae	0.32	Dictyna	0.09	Cryphoeca_silvicola	0.08
TBGMI063-21		Insecta	1.00	Diptera	0.53	Chironomidae	0.09	Chironominae	0.07	dummy_Larentiinae	0.05	Eupeodes	0.04	Palloptera_umbellatarum	0.03
TBGMI172-21		Insecta	0.90	Coleoptera	0.35	Chironomidae	0.11	Orthocladiinae	0.04	dummy_Orthocladiinae	0.04	Mordellistena	0.04	Mordellistena_pumila	0.04
SMNSA135-16		Arachnida	0.98	Araneae	0.98	Gnaphosidae	0.19	dummy_Gnaphosidae	0.19	dummy_Gnaphosidae	0.19	Gnaphosa	0.11	Nuctenea_silvicultrix	0.08
TIPSY021-08		Insecta	1.00	Diptera	0.45	Tortricidae	0.16	Eristalinae	0.09	Archipini	0.05	Eumerus	0.05	Eumerus_flavitarsis	0.05
TIPSY020-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_lichenella	1.00
TBGMI176-21		Insecta	0.63	Sarcoptiformes	0.29	Staphylinidae	0.07	dummy_Ceratozetidae	0.07	dummy_Ceratozetidae	0.07	Galumna	0.04	Galumna_elimata	0.04
TIPSY040-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_listerella	1.00
PSYCH068-11		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Diplodoma	1.00	Diplodoma_laichartingella	1.00
TACFI435-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Medina	1.00	Medina_collaris	1.00
TACFI397-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Hubneria	1.00	Hubneria_affinis	1.00
SMNKA249-16		Arachnida	1.00	Araneae	1.00	Liocranidae	1.00	dummy_Liocranidae	1.00	dummy_Liocranidae	1.00	Agroeca	1.00	Agroeca_proxima	1.00
TACFI276-12		Insecta	1.00	Diptera	0.97	Tachinidae	0.60	Exoristinae	0.49	Goniini	0.37	Pales	0.24	Pales_pavida	0.24
SCINO1295-16		Insecta	1.00	Diptera	0.79	Sciaridae	0.61	dummy_Sciaridae	0.61	dummy_Sciaridae	0.61	Cratyna	0.28	Cratyna_nobilis	0.28
TACFI196-12		Insecta	1.00	Diptera	1.00	Scathophagidae	0.29	Scathophaginae	0.29	Brachyopini	0.17	Lejogaster	0.16	Lejogaster_tarsata	0.16
SYGEO240-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Sphaerophoria	1.00	Sphaerophoria_chongjini	0.47
RDNMD360-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Plusiinae	1.00	Plusiini	1.00	Polychrysia	1.00	Polychrysia_moneta	1.00
ULMCA013-19		Insecta	1.00	Coleoptera	1.00	Nitidulidae	1.00	Carpophilinae	1.00	dummy_Carpophilinae	1.00	Carpophilus	1.00	Carpophilus_marginellus	1.00
SMNKA264-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.92	dummy_Linyphiidae	0.92	dummy_Linyphiidae	0.92	Walckenaeria	0.20	Mecynargus_sphagnicola	0.18
SMNKA199-16		Arachnida	0.94	Araneae	0.94	Linyphiidae	0.86	dummy_Linyphiidae	0.86	dummy_Linyphiidae	0.86	Walckenaeria	0.29	Walckenaeria_cuspidata	0.19
TBGMI057-21		Insecta	0.98	Coleoptera	0.48	Staphylinidae	0.17	Orthocladiinae	0.13	dummy_Orthocladiinae	0.13	Calathus	0.06	Calathus_ambiguus	0.04
SMNKA042-16		Arachnida	0.97	Araneae	0.97	Thomisidae	0.52	dummy_Thomisidae	0.52	dummy_Thomisidae	0.52	Ozyptila	0.36	Ozyptila_atomaria	0.18
SMNSH039-23		Insecta	1.00	Hymenoptera	0.30	Ichneumonidae	0.12	Polycentropodinae	0.05	dummy_Polycentropodinae	0.05	Polycentropus	0.04	Polycentropus_flavomaculatus	0.04
TBGMI157-21		Insecta	0.81	Coleoptera	0.38	Formicidae	0.10	Myrmicinae	0.10	Crematogastrini	0.09	Tetramorium	0.09	Tetramorium_atratulum	0.09
TBGMI106-21		Insecta	1.00	Hymenoptera	0.33	Tenthredinidae	0.19	Selandriinae	0.08	dummy_Selandriinae	0.07	Strongylogaster	0.07	Strongylogaster_multifasciata	0.04
TACFI408-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_rudis	0.92
SCINO499-15		Insecta	1.00	Diptera	0.45	Sciaridae	0.18	dummy_Sciaridae	0.18	dummy_Sciaridae	0.18	Leptosciarella	0.03	Myxexoristops_abietis	0.02
SCINO1501-16		Insecta	1.00	Diptera	0.43	Sciaridae	0.19	dummy_Sciaridae	0.19	dummy_Sciaridae	0.19	Prosciara	0.07	Prosciara_prosciaroides	0.07
TBGMI055-21		Insecta	0.99	Coleoptera	0.50	Staphylinidae	0.14	Silphinae	0.08	dummy_Silphinae	0.08	Thanatophilus	0.08	Thanatophilus_rugosus	0.06
TACFI219-12		Insecta	1.00	Diptera	0.92	Tachinidae	0.58	Exoristinae	0.55	Winthemiini	0.52	Nemorilla	0.49	Nemorilla_maculosa	0.49
SRCNC528-16		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Rhingiini	1.00	Pelecocera	1.00	Pelecocera_scaevoides	1.00
RDNMG509-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Tholerini	1.00	Cerapteryx	1.00	Cerapteryx_graminis	1.00
TBGMI199-22		Insecta	0.99	Diptera	0.52	Chironomidae	0.11	Mycetophilinae	0.07	Mycetophilini	0.07	Phronia	0.06	Phronia_humeralis	0.06
TACFI205-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Exoristini	0.99	Phorocera	0.97	Phorocera_obscura	0.97
TRIFI1404-18		Insecta	1.00	Trichoptera	1.00	Limnephilidae	1.00	Limnephilinae	1.00	dummy_Limnephilinae	1.00	Limnephilus	1.00	Limnephilus_centralis	1.00
SMNSA063-16		Arachnida	0.89	Araneae	0.89	Theridiidae	0.54	dummy_Theridiidae	0.54	dummy_Theridiidae	0.54	Yunohamella	0.16	Yunohamella_palmgreni	0.16
ZMBN1662-20		Insecta	1.00	Hemiptera	1.00	Saldidae	1.00	Saldinae	1.00	Saldoidini	1.00	Saldula	1.00	Saldula_pallipes	0.57
SRDOC001-15		Insecta	1.00	Diptera	0.71	Mycetophilidae	0.29	Gnoristinae	0.21	dummy_Gnoristinae	0.21	Boletina	0.17	Boletina_moravica	0.09
TBGMI155-21		Arachnida	1.00	Sarcoptiformes	1.00	Gustaviidae	1.00	dummy_Gustaviidae	1.00	dummy_Gustaviidae	1.00	Gustavia	1.00	Gustavia_microcephala	1.00
SMNSH037-23		Insecta	1.00	Hymenoptera	0.47	Ichneumonidae	0.29	Orthocentrinae	0.06	dummy_Orthocentrinae	0.06	Phyllonorycter	0.05	Plectiscus_ridibundus	0.04
SMNSP634-19		Insecta	0.97	Hymenoptera	0.70	Eulophidae	0.34	Eulophinae	0.21	dummy_Eulophinae	0.21	Pnigalio	0.15	Eulonchetron_torymoides	0.11
TACFI464-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_puparum	1.00
TBGMI188-21		Arachnida	1.00	Sarcoptiformes	1.00	Tenuialidae	1.00	dummy_Tenuialidae	1.00	dummy_Tenuialidae	1.00	Hafenrefferia	1.00	Hafenrefferia_gilvipes	1.00
SYGEO183-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	0.99	Volucellini	0.99	Volucella	0.99	Volucella_pellucens	0.99
TBGMI015-21		Insecta	0.97	Coleoptera	0.47	Staphylinidae	0.17	Aleocharinae	0.10	Athetini	0.08	Atheta	0.04	Hydnobius_septentrionalis	0.03
SMNKA030-16		Arachnida	0.91	Araneae	0.91	Linyphiidae	0.48	dummy_Linyphiidae	0.48	dummy_Linyphiidae	0.48	Tallusia	0.15	Tallusia_experta	0.15
