LR994329 Fungi
KY678279 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_oxysporum
HQ696886 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_proliferatum
MN521923 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium
MK072728 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_fujikuroi
OP497870 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Bionectriaceae|Clonostachys
OR858887 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_verticillioides
MW314769 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_pseudocircinatum
MN521657 Fungi|Ascomycota|Sordariomycetes|Glomerellales|Plectosphaerellaceae|Plectosphaerella
OQ699233 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_foetens
MH120872 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_brevicatenulatum
HM629971 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_solani
KJ591724 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae
ON954532 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_circinatum
MW668472 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_palustre
OK481074 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_pseudograminearum
MF099868 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_equiseti
MG654677 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_acuminatum
KT269092 Fungi|Ascomycota|Sordariomycetes|Hypocreales
MN521634 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_avenaceum
OM117609 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_torreyae
MT134973 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_tricinctum
OR461402 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_acutatum
MH379637 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_concentricum
LC131344 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_mangiferae
MW027269 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_sacchari
KC895513 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_lateritium
UDB035181 Fungi|Ascomycota|Pezizomycotina_cls_Incertae_sedis_Phialoarthrobotryum|Pezizomycotina_ord_Incertae_sedis_Phialoarthrobotryum|Pezizomycotina_fam_Incertae_sedis_Phialoarthrobotryum|Phialoarthrobotryum|Phialoarthrobotryum_brasiliense
UDB03048100 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Gibberella
AF220973 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Curvicladiella|Curvicladiella_cignea
JQ347275 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Calonectria|Calonectria_quinqueseptata
OL639693 Fungi|Ascomycota|Sordariomycetes|Xylariales|Microdochiaceae|Microdochium|Microdochium_nivale
FJ205449 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Dactylonectria|Dactylonectria_macrodidyma
OK298449 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Dactylonectria|Dactylonectria_pauciseptata
UDB02046871 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Neonectria
OR654962 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_bambusarum
HM629969 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_poae
EF682110 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_sporotrichioides
MN153756 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_beomiforme
JX491082 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_polyphialidicum
OM417243 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_algeriense
KR778788 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_chlamydosporum
MW314762 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_pernambucanum
MZ948828 Fungi|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium|Fusarium_luffae
MW308558 Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Botryosphaeria|Botryosphaeria_dothidea
MW530309 Fungi|Ascomycota|Sordariomycetes
