ID	kingdom	Prob_kingdom	phylum	Prob_phylum	 class	Prob_class	order	Prob_order	 family	Prob_family	genus	Prob_genus	species	Prob_species
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum;100.000	1.0
LT222023	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Agaricales	1.0	Tricholomataceae	1.0	Tricholoma	1.0	Tricholoma_olivaceotinctum;95.628	1.0
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri;100.000	1.0
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae;100.000	1.0
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha;100.000	1.0
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri;100.000	1.0
KM108370	Fungi	1.0	Ascomycota	1.0	Leotiomycetes	1.0	Phacidiales	1.0	Phacidiaceae	1.0	Phacidium	1.0	Phacidium_lacerum;91.391	1.0
KM108374	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Botryosphaeriales	1.0	Botryosphaeriaceae	1.0	Diplodia	1.0	Diplodia_rosulata;90.854	1.0
KM108378	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Botryosphaeriales	1.0	Botryosphaeriaceae	1.0	Sphaeropsis	1.0	Sphaeropsis_citrigena;96.273	1.0
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii;100.000	1.0
JN942657	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Debaryomycetaceae	1.0	Debaryomyces	1.0	Debaryomyces_prosopidis;100.000	1.0
EF141551	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Russulaceae	1.0	Lactarius	1.0	Lactarius_subdulcis;90.681	1.0
