ID	kingdom	phylum	class	order	family	genus	species
KJ720198	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MH861482	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Scytinostroma	Scytinostroma_alutum
LT222023	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	unclassified	unclassified
AB385698	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JF735264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri
KX287385	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia_cynarae
JN684766	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
FJ914915	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea_polymorpha
JF735288	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri
KM108370	Fungi	Ascomycota	Leotiomycetes	unclassified	unclassified	unclassified	unclassified
KM108374	Fungi	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KM108378	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	unclassified	unclassified
KY102361	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	Hyphopichia	Hyphopichia_rhagii
JN942657	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis
EF141551	Fungi	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
KJ780507	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
HQ260334	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_intestinalis
UDB038245	Fungi	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KM591585	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MT477069	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KP272110	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
KU845985	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	unclassified	unclassified
JQ989328	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JN000071	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	unclassified	unclassified
MT477071	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
JN942681	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
EU514225	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Uwebraunia	Uwebraunia_musae
KU847232	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striaticonidium	Striaticonidium_brachysporum
KU847240	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	unclassified	unclassified
