ID	kingdom	phylum	class	order	family	genus	species
KJ720198	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MH861482	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
LT222023	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
AB385698	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JF735264	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KX287385	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JN684766	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
FJ914915	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JF735288	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KM108370	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KM108374	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KM108378	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KY102361	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JN942657	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
EF141551	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KJ780507	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
HQ260334	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
UDB038245	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KM591585	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MT477069	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KP272110	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU845985	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JQ989328	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JN000071	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MT477071	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JN942681	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
EU514225	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU847232	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU847240	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
LC259095	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MN537723	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KF251156	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KX820250	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU847252	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
HQ599386	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JQ627125	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MW694951	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MN250204	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JX867675	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KF251172	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OK057148	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
OK057159	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MK229175	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
HE962445	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
AJ969625	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
JN388972	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KY633514	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MH872962	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KP859039	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KP336763	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
AY905554	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
UDB000418	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KP336774	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
DQ366699	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU846463	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MH784817	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KU597793	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
AB304152	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
NR_156313	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KY827270	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MK050431	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KX234735	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KT949904	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KT949907	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KY827281	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MH855021	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
FN185976	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
MN218820	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KT949912	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KT949914	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
HM241692	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
KM039135	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
