ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	order	Prob_order	family	Prob_family	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	0.252	Basidiomycota	0.244	Agaricomycetes	0.238	Agaricales	0.169	Nidulariaceae	0.033	Nidularia	0.033	Nidularia_deformis	0.033
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum	1.0
LT222023	Fungi	0.589	Basidiomycota	0.589	Agaricomycetes	0.589	Agaricales	0.589	Tricholomataceae	0.573	Tricholoma	0.573	Tricholoma_olivaceotinctum	0.573
AB385698	Fungi	0.179	Ascomycota	0.133	Dothideomycetes	0.088	Venturiales	0.075	Sympoventuriaceae	0.075	Tetracoccosporium	0.062	Tetracoccosporium_aerium	0.062
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	0.975
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae	1.0
JN684766	Fungi	0.184	Basidiomycota	0.104	Tremellomycetes	0.039	Tremellales	0.022	Rhynchogastremaceae	0.010	Papiliotrema	0.010	Papiliotrema_pseudoalba	0.010
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha	0.912
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	0.973	Ilyonectria_liriodendri	0.891
KM108370	Fungi	0.459	Ascomycota	0.459	Leotiomycetes	0.431	Phacidiales	0.357	Phacidiaceae	0.357	Phacidium	0.357	Phacidium_lacerum	0.357
KM108374	Fungi	0.524	Ascomycota	0.524	Dothideomycetes	0.520	Botryosphaeriales	0.449	Botryosphaeriaceae	0.439	Lasiodiplodia	0.183	Lasiodiplodia_gonubiensis	0.183
KM108378	Fungi	0.774	Ascomycota	0.774	Dothideomycetes	0.774	Botryosphaeriales	0.774	Botryosphaeriaceae	0.774	Sphaeropsis	0.309	Sphaeropsis_citrigena	0.309
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii	0.981
