ID	phylum	class	order	family	genus	species	Prob_phylum	Prob_class	Prob_order	Prob_family	Prob_genus	Prob_species
KJ720198	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Yarrowia_yakushimensis	0.7741261	0.7412366	0.57701254	0.21586746	0.19300838	0.035064004
MH861482	Basidiomycota	Saccharomycetes	Atractiellales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Ramularia_cynarae	0.9975061	0.21623686	0.08406733	0.17006142	0.12393363	0.07037552
LT222023	Basidiomycota	Tremellomycetes	Thelebolales	Bulleribasidiaceae	Clavispora	Candida_pseudoflosculorum	0.72634244	0.09922164	0.102493845	0.17310251	0.05071431	0.03624488
AB385698	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Dinemasporium	Brettanomyces_nanus	0.9999943	0.79593664	0.6951124	0.3094233	0.039222162	0.02809344
JF735264	Ascomycota	Tremellomycetes	Tremellales	Nectriaceae	Cylindrodendrum	Gliocephalotrichum_cylindrosporum	0.99180543	0.4687013	0.33171165	0.22603531	0.048997268	0.0252343
KX287385	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia_cynarae	0.9997819	0.8837295	0.9368639	0.65614367	0.8428272	0.6205082
JN684766	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Clavispora	Candida_wancherniae	0.999019	0.1977203	0.13594821	0.05756043	0.07482026	0.05353571
FJ914915	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Kregervanrija_delftensis	0.99992216	0.89876926	0.86638534	0.55838186	0.05236459	0.032656025
JF735288	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_lusitanica	0.9992435	0.30428	0.42432508	0.6678924	0.5626272	0.21230032
KM108370	Ascomycota	Saccharomycetes	Phacidiales	Phacidiaceae	Phacidium	Phacidium_lacerum	0.99998116	0.180852	0.17285663	0.13448708	0.0973071	0.115313604
KM108374	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Lasiodiplodia_gonubiensis	0.99996674	0.38488275	0.45549297	0.60585123	0.11901113	0.03970571
KM108378	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia_rosulata	0.99998486	0.89098626	0.8709994	0.6378206	0.33835128	0.15176758
KY102361	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Hyphopichia_rhagii	0.9976078	0.18083964	0.14337179	0.20031624	0.14859946	0.09569059
JN942657	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Groenewaldozyma	Debaryomyces_prosopidis	0.99996793	0.88290006	0.8798485	0.2284082	0.1707006	0.19041009
EF141551	Ascomycota	Tremellomycetes	Orbiliales	Orbiliaceae	Parachaetomium	Parachaetomium_inaequale	0.9892671	0.11614445	0.05437793	0.036631983	0.01759581	0.025213711
KJ780507	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zasmidium	Parazalerion_indica	0.9998617	0.83597785	0.12072547	0.04325354	0.1561514	0.042211644
HQ260334	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Danielozyma	Kazachstania_intestinalis	0.9999752	0.96096164	0.93669695	0.09281724	0.06831531	0.04184414
UDB038245	Basidiomycota	Saccharomycetes	Saccharomycetales	Phanerochaetaceae	Geotrichum	Geotrichum_phurueaensis	0.51702106	0.50300777	0.42575142	0.1600632	0.067526005	0.03226225
KM591585	Ascomycota	Dothideomycetes	Pezizales	Cryptococcaceae	Volucrispora	Pseudoanungitea_syzygii	0.999987	0.15305462	0.07900076	0.0759237	0.024471493	0.021681005
MT477069	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Yarrowia	Yarrowia_galli	0.9999571	0.22967453	0.24207418	0.05055699	0.040268186	0.02156116
KP272110	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Yarrowia	Yarrowia_divulgata	0.9997805	0.5691144	0.47866762	0.11481733	0.066763766	0.08556828
KU845985	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis_Stilbella	Kwoniella	Fusarium_heterosporum	0.9997942	0.79151535	0.63448626	0.17636384	0.030868914	0.041396957
JQ989328	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Blastobotrys	Yarrowia_divulgata	0.96821254	0.6698516	0.6011747	0.08557826	0.068292	0.034149725
JN000071	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Metschnikowia_rubicola	0.99881774	0.8400835	0.8242421	0.6525056	0.6936552	0.030198518
MT477071	Ascomycota	Sordariomycetes	Sordariales	Pezizomycotina_fam_Incertae_sedis_Arthrobotryum	Myxocephala	Myxocephala_albida	0.99995744	0.4083216	0.24878712	0.04474895	0.045256298	0.033991843
JN942681	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Vishniacozyma	Candida_hispaniensis	0.8999766	0.37726372	0.28893015	0.128037	0.13452715	0.02141467
EU514225	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	Hyphopichia	Uwebraunia_musae	0.9997315	0.68855286	0.5875042	0.21773443	0.1054998	0.07557762
KU847232	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striaticonidium	Striaticonidium_brachysporum	0.9998969	0.57253045	0.38064274	0.17665401	0.11898425	0.114826545
KU847240	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Striaticonidium	Striaticonidium_brachysporum	0.9999654	0.7545904	0.57846886	0.5572847	0.1532121	0.06137775
LC259095	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Diutina	Lipomyces	Candida_haemuloni	0.98944116	0.77691877	0.741726	0.12834078	0.07943916	0.039154332
MN537723	Ascomycota	Saccharomycetes	Tremellales	Saccharomycetales_fam_Incertae_sedis_Diutina	Yarrowia	Yarrowia_divulgata	0.9998827	0.5088454	0.32379928	0.05731075	0.0950791	0.053913504
KF251156	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Yarrowia	Sugiyamaella_bullrunensis	0.9997507	0.34548396	0.36430883	0.05526242	0.06981917	0.035637215
KX820250	Ascomycota	Saccharomycetes	Saccharomycetales	Clypeophysalosporaceae	Clypeophysalospora	Clypeophysalospora_latitans	0.9999844	0.48396277	0.49046934	0.123835824	0.19624418	0.1524017
KU847252	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Xepicula	Xepicula_leucotricha	0.999984	0.684406	0.72211194	0.30113548	0.20193496	0.078014225
HQ599386	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Lipomyces	Lipomyces_kononenkoae	0.9853335	0.5567962	0.37973934	0.11930727	0.04732508	0.040477395
JQ627125	Ascomycota	Tremellomycetes	Tremellales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Fibulobasidium	Yarrowia_galli	0.99404377	0.45140684	0.4543324	0.06443888	0.044115387	0.048065472
MW694951	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Aspergillus_clavatonanicus	0.9971667	0.9288161	0.7392586	0.8584401	0.8605929	0.067084745
MN250204	Ascomycota	Eurotiomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Dactylodendron	Aspergillus_avenaceus	0.9995863	0.31989443	0.2241309	0.0519902	0.035261083	0.01871166
JX867675	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Yarrowia	Yarrowia_yakushimensis	0.90709966	0.7781618	0.741967	0.109374255	0.1030737	0.02386179
KF251172	Ascomycota	Tremellomycetes	Saccharomycetales	Phaeosphaeriaceae	Ascoidea	Papiliotrema_terrestris	0.99749964	0.30939308	0.3112648	0.06373299	0.02908262	0.016404325
OK057148	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Trichomonascus_apis	0.99810517	0.9344937	0.89156294	0.3723558	0.38615283	0.034141406
OK057159	Basidiomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Metschnikowia_agaves	0.9071913	0.44109097	0.24507856	0.14856414	0.07806915	0.053676262
MK229175	Ascomycota	Sordariomycetes	Hypocreales	Orbiliaceae	Clonostachys	Juglanconis_juglandina	0.999974	0.86519927	0.71702385	0.07577725	0.044362266	0.019304479
HE962445	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Starmera	Metschnikowia_rubicola	0.9877006	0.8538342	0.7999766	0.5202642	0.19418004	0.07309738
AJ969625	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Candida_wancherniae	0.9997073	0.60162747	0.6617282	0.117020875	0.059569705	0.051076367
JN388972	Ascomycota	Saccharomycetes	Tremellales	Metschnikowiaceae	Komagataella	Penicillium_pimiteouiense	0.9955917	0.11939088	0.08784932	0.15294525	0.036165386	0.023874464
KY633514	Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	Phacidium	Phacidium_lacerum	0.99989283	0.37501273	0.29021245	0.23751274	0.1465268	0.2588164
MH872962	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Yarrowia	Yarrowia	Yarrowia_deformans	0.999616	0.8009904	0.7969497	0.12906955	0.17735982	0.032565694
KP859039	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Aspergillus_raperi	0.99986875	0.1420025	0.15138645	0.057484567	0.037061952	0.032744564
KP336763	Ascomycota	Saccharomycetes	Sordariales	Chaetomiaceae	Ovatospora	Hyalosphaerella_fragilis	0.99993193	0.2891156	0.8429344	0.51447624	0.24592218	0.09721987
AY905554	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum_mangiferae	0.9997055	0.94199735	0.6351981	0.32001922	0.29318625	0.090452656
UDB000418	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Pseudocercospora_araliae	0.56176805	0.73699254	0.35208872	0.21015817	0.18700762	0.10571474
KP336774	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Parachaetomium	Parachaetomium_inaequale	0.99997497	0.5164694	0.9326253	0.8892597	0.29833838	0.5709837
DQ366699	Ascomycota	Saccharomycetes	Saccharomycetales	Nectriaceae	Gliocephalotrichum	Gliocephalotrichum_microchlamydosporum	0.9990803	0.32962176	0.23444319	0.32112297	0.2608526	0.08622328
KU846463	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Diutina	Bulbithecium_arxii	0.9999645	0.6315488	0.46387553	0.12028814	0.025891855	0.024768954
MH784817	Mucoromycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_fructus	0.73393774	0.72604156	0.5399763	0.11109882	0.091297016	0.037359364
