ID	phylum	class	order	family	genus	species	Prob_phylum	Prob_class	Prob_order	Prob_family	Prob_genus	Prob_species
KJ720198	Ascomycota	Saccharomycetes	Pleosporales	Lentitheciaceae	Phaeosphaeria	Metschnikowia_chrysomelidarum	0.5786786	0.16343012	0.18994965	0.108300105	0.035419174	0.064795375
MH861482	Basidiomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Myxozyma	Scytinostroma_alutum	0.9496652	0.25413075	0.28352147	0.14033177	0.073805384	0.041039605
LT222023	Basidiomycota	Agaricomycetes	Agaricales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_globispora	0.99922633	0.23647526	0.41600338	0.069467865	0.13704479	0.105253614
AB385698	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Diutina	Martiniozyma_asiatica	0.9999906	0.92217034	0.92306197	0.19350474	0.15756877	0.029569156
JF735264	Ascomycota	Leotiomycetes	Thelebolales	Pezizomycotina_fam_Incertae_sedis_Heimiodora	Heimiodora	Ilyonectria_liriodendri	0.99999547	0.23018333	0.1287904	0.07971114	0.057815313	0.06428951
KX287385	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia_cynarae	0.9999957	0.96702164	0.7193424	0.9099962	0.33374885	0.3108314
JN684766	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Metschnikowia	Metschnikowia_orientalis	0.9961571	0.84381855	0.78872097	0.18947335	0.085917786	0.02338073
FJ914915	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea_dorogensis	0.9999578	0.94271195	0.84053546	0.862218	0.22238545	0.050943773
JF735288	Ascomycota	Eurotiomycetes	Mycosphaerellales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri	0.9999974	0.2688432	0.12730049	0.4323801	0.47814628	0.14642486
KM108370	Ascomycota	Ascomycota_cls_Incertae_sedis_Everhartia	Ascomycota_ord_Incertae_sedis_Everhartia	Ascomycota_fam_Incertae_sedis_Everhartia	Everhartia	Everhartia_lignatilis	0.9999995	0.15306135	0.22514772	0.1029079	0.10413296	0.071961924
KM108374	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis	0.9999999	0.36926755	0.40214378	0.12934163	0.12580676	0.039657384
KM108378	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_gonubiensis	1.0	0.84168315	0.8355682	0.81872195	0.46134415	0.37936518
KY102361	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	Hyphopichia	Hyphopichia_rhagii	0.999203	0.2996247	0.26025137	0.08589852	0.057541173	0.09508901
JN942657	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii	0.99996316	0.9294928	0.8933076	0.36338016	0.24080893	0.11764986
EF141551	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Sympodioclathra	Trypetheliales	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	Wickerhamiella	Pezicula_rubi	0.5257918	0.07518388	0.05609098	0.062681526	0.035572667	0.017465135
KJ780507	Ascomycota	Dothideomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Fagicola	Candida_dajiaensis	0.74543	0.27231652	0.18202949	0.20998468	0.040425025	0.016886184
HQ260334	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Dipodascus_carabidarus	0.9999746	0.9786022	0.95556563	0.13298342	0.111733116	0.048274446
UDB038245	Basidiomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Candida_haemuloni	0.76531076	0.41613573	0.4451455	0.14590295	0.058910035	0.0332805
KM591585	Basidiomycota	Exobasidiomycetes	Robbauerales	Robbaueraceae	Robbauera	Robbauera_albescens	0.9920773	0.44067267	0.10882473	0.06279136	0.039098136	0.023660129
MT477069	Ascomycota	Saccharomycetes	Saccharomycetales	Trigonopsidaceae	Dipodascus	Clavispora_opuntiae	0.9999201	0.28293806	0.3790512	0.074574284	0.03283226	0.017154125
KP272110	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Everhartia_lignatilis	0.9999993	0.73525673	0.7856562	0.1265101	0.07099082	0.025656108
KU845985	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Alfaria	Macroconia_gigas	0.99999964	0.805871	0.13304535	0.19089359	0.09162652	0.073134616
JQ989328	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_opuntiae	0.8603194	0.6759287	0.70829505	0.21739958	0.095267355	0.05544269
JN000071	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Candida	Candida	Saturnispora_serradocipensis	0.5937296	0.31947288	0.1993486	0.1616396	0.10600264	0.019752808
MT477071	Ascomycota	Saccharomycetes	Saccharomycetales	Taphrinaceae	Taphrina	Corynesporopsis_iberica	0.9999982	0.18975608	0.18271837	0.06785524	0.07753083	0.026430916
