ID	phylum	class	order	family	genus	species	Prob_phylum	Prob_class	Prob_order	Prob_family	Prob_genus	Prob_species
KJ720198	Basidiomycota	Agaricomycetes	Umbelopsidales	Umbelopsidaceae	Trechispora	Myriococcum_thermophilum	0.7667202	0.9074755	0.56677836	0.31145623	0.39077568	0.300428
MH861482	Basidiomycota	Agaricomycetes	Hymenochaetales	Spiculogloeaceae	Absidia	Scytinostroma_caudisporum	0.66334987	0.60353327	0.5802172	0.122304894	0.11648802	0.06494528
LT222023	Mucoromycota	Mucoromycetes	Geminibasidiales	Malasseziaceae	Lichtheimia	Pilaira_anomala	0.9280525	0.40116343	0.12696344	0.16511779	0.088378616	0.18824533
AB385698	Ascomycota	Cystobasidiomycetes	Venturiales	Kappamycetaceae	Corynesporopsis	Cylindrosympodium_lauri	0.9530499	0.16073385	0.32620266	0.123149194	0.1085059	0.26707426
JF735264	Ascomycota	Dothideomycetes	Pezizomycotina_ord_Incertae_sedis_Trichosporiella	Ascomycota_fam_Incertae_sedis_Septogloeum	Septogloeum	Gliocephalotrichum_cylindrosporum	0.9999999	0.7833175	0.19785641	0.16437252	0.12772702	0.20505692
KX287385	Ascomycota	Dothideomycetes	Mycosphaerellales	Pezizomycotina_fam_Incertae_sedis_Staheliella	Korunomyces	Exopassalora_zambiae	1.0	0.7689367	0.23370531	0.1449291	0.09662494	0.25587547
JN684766	Ascomycota	Ascomycota_cls_Incertae_sedis_Everhartia	Ascomycota_ord_Incertae_sedis_Ceratocladium	Pezizomycotina_fam_Incertae_sedis_Beauveriphora	Hasegawaea	Sarea_resinae	0.99999833	0.254186	0.12106658	0.19138566	0.22989322	0.114398755
FJ914915	Chytridiomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Absidia	Candida_rishiriensis	0.7097504	0.5875656	0.57220703	0.7805568	0.20367074	0.64437354
JF735288	Ascomycota	Dothideomycetes	Pezizomycotina_ord_Incertae_sedis_Beauveriphora	Myrotheciomycetaceae	Septogloeum	Parasarocladium_gamsii	0.99999857	0.5301238	0.21240488	0.14781088	0.070651	0.34957144
KM108370	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Korunomyces	Pyxidiophorales	Protomycetaceae	Korunomyces	Coniothyrina_agaves	0.9999927	0.12886253	0.17967983	0.11298777	0.3035033	0.2710843
KM108374	Ascomycota	Dothideomycetes	Pezizomycotina_ord_Incertae_sedis_Heimiodora	Metschnikowiaceae	Corynesporopsis	Everhartia_lignatilis	1.0	0.92694414	0.25094566	0.09788125	0.37720576	0.0841382
KM108378	Ascomycota	Dothideomycetes	Ascomycota_ord_Incertae_sedis_Coniothyrina	Pezizomycotina_fam_Incertae_sedis_Heimiodora	Coniothyrina	Arxiella_terrestris	1.0	0.8913551	0.15874876	0.08936232	0.13490117	0.20856252
KY102361	Ascomycota	Dothideomycetes	Ascomycota_ord_Incertae_sedis_Corynesporopsis	Pezizomycotina_fam_Incertae_sedis_Trichosporiella	Septogloeum	Mycosylva_setosa	0.99999905	0.20902087	0.15060249	0.24956933	0.13448279	0.12353061
JN942657	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Middelhovenomyces_tepae	0.88203734	0.5644014	0.17623025	0.42735705	0.19439656	0.09002033
EF141551	Ascomycota	Ascomycota_cls_Incertae_sedis_Culicinomyces	Saccharomycetales	Orbiliaceae	Lepisticola	Lactarius_subdulcis	0.9864183	0.14176896	0.09654945	0.09983937	0.19840237	0.31480232
KJ780507	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Xylona	Cryptendoxyla_hypophloia	0.6529334	0.2826796	0.35127455	0.043773543	0.05717894	0.07550196
HQ260334	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis_Wickerhamia	Saccharomycopsis	Middelhovenomyces_tepae	0.9988815	0.9335269	0.78019917	0.2532943	0.10197207	0.16846603
UDB038245	Basidiomycota	Agaricomycetes	Geminibasidiales	Phaffomycetaceae	Repetobasidium	Candida_vaughaniae	0.98258936	0.96467805	0.3642646	0.081383504	0.18132669	0.069143824
KM591585	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Arcuadendron	Pezizomycotina_ord_Incertae_sedis_Arcuadendron	Saccharomycodaceae	Venturia	Venturia_pyrina	0.99912995	0.29587	0.25946143	0.1089429	0.075562805	0.20961863
MT477069	Ascomycota	Sordariomycetes	Pezizomycotina_ord_Incertae_sedis_Arcuadendron	Ophiostomataceae	Culicinomyces	Raffaelea_santoroi	1.0	0.28380167	0.13962485	0.09072074	0.22665337	0.3242576
KP272110	Mucoromycota	Mucoromycetes	Umbelopsidales	Mycotyphaceae	Absidia	Mycotypha_indica	0.9996861	0.90580034	0.83628654	0.71698105	0.57320786	0.3416482
KU845985	Ascomycota	Sordariomycetes	Pezizomycotina_ord_Incertae_sedis_Phialoarthrobotryum	Pezizomycotina_fam_Incertae_sedis_Phialoarthrobotryum	Alfaria	Phialoarthrobotryum_triseptatum	0.9952259	0.57370955	0.14678554	0.17369714	0.08537787	0.1807281
JQ989328	Ascomycota	Pezizomycotina_cls_Incertae_sedis_Lepisticola	Ascomycota_ord_Incertae_sedis_Volucrispora	Ascomycota_fam_Incertae_sedis_Volucrispora	Xylona	Yarrowia_hollandica	0.9850559	0.20046046	0.14690994	0.10100775	0.094230205	0.22063515
JN000071	Basidiomycota	Microbotryomycetes	Agaricostilbales	Trechisporales_fam_Incertae_sedis_Sertulicium	Malassezia	Microbotryum_vinosum	0.9999058	0.50575656	0.21895538	0.16418573	0.08704412	0.08503016
