ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
MH861482	Fungi	1.000000	Basidiomycota	1.000000	Agaricomycetes	1.000000	Russulales	1.000000	Lachnocladiaceae	1.000000	Scytinostroma	1.000000	Scytinostroma_alutum	1.000000
LT222023	Fungi	1.000000	Basidiomycota	0.999000	Agaricomycetes	0.998000	Agaricales	0.996000	Tricholomataceae	0.985000	Tricholoma	0.657000	unk	0.657000
AB385698	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
JF735264	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	1.000000	Ilyonectria	0.988000	Ilyonectria_liriodendri	0.988000
KX287385	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Mycosphaerellales	1.000000	Mycosphaerellaceae	1.000000	Ramularia	0.997000	Ramularia_cynarae	0.994000
JN684766	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
FJ914915	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Pichiaceae	1.000000	Ogataea	1.000000	Ogataea_polymorpha	1.000000
JF735288	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	1.000000	Ilyonectria	0.959000	Ilyonectria_liriodendri	0.958000
KM108370	Fungi	1.000000	Ascomycota	1.000000	Leotiomycetes	0.997000	Phacidiales	0.991000	Phacidiaceae	0.990000	Phacidium	0.638000	unk	0.638000
KM108374	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	0.997000	Botryosphaeriales	0.994000	Botryosphaeriaceae	0.982000	Alanphillipsia	0.249000	unk	0.249000
KM108378	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Botryosphaeriales	1.000000	Botryosphaeriaceae	0.998000	Sphaeropsis	0.380000	unk	0.373000
KY102361	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.000000	Hyphopichia	1.000000	Hyphopichia_rhagii	1.000000
JN942657	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Debaryomycetaceae	1.000000	Debaryomyces	0.999000	Debaryomyces_prosopidis	0.999000
EF141551	Fungi	1.000000	Basidiomycota	0.998000	Agaricomycetes	0.994000	Russulales	0.991000	Russulaceae	0.989000	unk	0.670000	NA	0.000000
KJ780507	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
HQ260334	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Saccharomycetaceae	0.994000	Kazachstania	0.969000	Kazachstania_intestinalis	0.969000
UDB038245	Fungi	1.000000	Basidiomycota	0.875000	Agaricomycetes	0.661000	Polyporales	0.521000	Phanerochaetaceae	0.270000	unk	0.270000	NA	0.000000
KM591585	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
MT477069	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
KP272110	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
KU845985	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	0.945000	Hypocreales	0.944000	Stachybotryaceae	0.943000	Alfaria	0.933000	unk	0.930000
JQ989328	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
JN000071	Fungi	1.000000	Basidiomycota	0.961000	Microbotryomycetes	0.889000	Microbotryales	0.862000	Microbotryaceae	0.838000	unk	0.828000	NA	0.000000
MT477071	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
JN942681	Fungi	1.000000	unk	0.566000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
EU514225	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Mycosphaerellales	1.000000	Dissoconiaceae	1.000000	Uwebraunia	0.999000	Uwebraunia_musae	0.999000
KU847232	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Stachybotryaceae	0.998000	Striaticonidium	0.997000	Striaticonidium_brachysporum	0.997000
