ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	1.000000	unk	0.624000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
MH861482	Fungi	1.000000	Basidiomycota	1.000000	Agaricomycetes	1.000000	Russulales	1.000000	Lachnocladiaceae	0.999000	Scytinostroma	0.999000	Scytinostroma_alutum	0.998000
LT222023	Fungi	1.000000	Basidiomycota	0.999000	Agaricomycetes	0.998000	Agaricales	0.985000	Tricholomataceae	0.904000	Tricholoma	0.904000	unk	0.878000
AB385698	Fungi	1.000000	unk	0.624000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
JF735264	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	0.997000	Ilyonectria	0.974000	Ilyonectria_liriodendri	0.951000
KX287385	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Mycosphaerellales	1.000000	Mycosphaerellaceae	1.000000	Ramularia	0.999000	Ramularia_cynarae	0.997000
JN684766	Fungi	1.000000	unk	0.624000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000	NA	0.000000
FJ914915	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Pichiaceae	0.999000	Ogataea	0.999000	Ogataea_polymorpha	0.927000
JF735288	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	0.999000	Ilyonectria	0.932000	Ilyonectria_liriodendri	0.794000
KM108370	Fungi	1.000000	Ascomycota	1.000000	Leotiomycetes	0.998000	Phacidiales	0.976000	Phacidiaceae	0.971000	Phacidium	0.971000	unk	0.954000
KM108374	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	0.997000	Botryosphaeriales	0.991000	Botryosphaeriaceae	0.910000	Alanphillipsia	0.237000	unk	0.232000
KM108378	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Botryosphaeriales	0.999000	Botryosphaeriaceae	0.979000	Sphaeropsis	0.330000	Sphaeropsis_citrigena	0.311000
KY102361	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	0.999000	Hyphopichia	0.999000	Hyphopichia_rhagii	0.963000
JN942657	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Debaryomycetaceae	0.997000	Debaryomyces	0.995000	Debaryomyces_prosopidis	0.978000
