ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
KJ720198	Fungi	1.000000	Basidiomycota	1.000000	Agaricomycetes	0.970000	Agaricales	0.680000	Mycenaceae	0.340000	Mycena	0.330000	Mycena_citrinomarginata	0.140000
MH861482	Fungi	1.000000	Basidiomycota	1.000000	Agaricomycetes	1.000000	Russulales	1.000000	Lachnocladiaceae	1.000000	Scytinostroma	1.000000	Scytinostroma_alutum	1.000000
LT222023	Fungi	1.000000	Basidiomycota	1.000000	Agaricomycetes	1.000000	Agaricales	1.000000	Tricholomataceae	1.000000	Tricholoma	1.000000	Tricholoma_olivaceotinctum	1.000000
AB385698	Fungi	1.000000	Ascomycota	0.980000	Dothideomycetes	0.860000	Venturiales	0.860000	Sympoventuriaceae	0.860000	Tetracoccosporium	0.540000	Tetracoccosporium_aerium	0.540000
JF735264	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	1.000000	Ilyonectria	1.000000	Ilyonectria_liriodendri	1.000000
KX287385	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Mycosphaerellales	1.000000	Mycosphaerellaceae	1.000000	Ramularia	1.000000	Ramularia_cynarae	1.000000
JN684766	Fungi	1.000000	Basidiomycota	0.960000	Agaricomycetes	0.900000	Russulales	0.820000	Peniophoraceae	0.700000	Vararia	0.250000	Vararia_parmastoi	0.040000
FJ914915	Fungi	1.000000	Ascomycota	1.000000	Saccharomycetes	1.000000	Saccharomycetales	1.000000	Pichiaceae	1.000000	Ogataea	1.000000	Ogataea_polymorpha	1.000000
JF735288	Fungi	1.000000	Ascomycota	1.000000	Sordariomycetes	1.000000	Hypocreales	1.000000	Nectriaceae	1.000000	Ilyonectria	1.000000	Ilyonectria_liriodendri	1.000000
KM108370	Fungi	1.000000	Ascomycota	1.000000	Leotiomycetes	1.000000	Phacidiales	1.000000	Phacidiaceae	1.000000	Phacidium	1.000000	Phacidium_lacerum	1.000000
KM108374	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Botryosphaeriales	1.000000	Botryosphaeriaceae	1.000000	Lasiodiplodia	0.440000	Lasiodiplodia_gonubiensis	0.440000
KM108378	Fungi	1.000000	Ascomycota	1.000000	Dothideomycetes	1.000000	Botryosphaeriales	1.000000	Botryosphaeriaceae	1.000000	Sphaeropsis	0.490000	Sphaeropsis_citrigena	0.490000
