ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	order	Prob_order	family	Prob_family	genus	Prob_genus	species	Prob_species
KJ720198	Fungi	1.0	Basidiomycota	0.89	Agaricomycetes	0.85	Agaricales	0.57	Nidulariaceae	0.08	Nidularia	0.08	Nidularia_deformis	0.08
MH861482	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Lachnocladiaceae	1.0	Scytinostroma	1.0	Scytinostroma_alutum	1.0
LT222023	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Agaricales	1.0	Tricholomataceae	0.99	Tricholoma	0.99	Tricholoma_olivaceotinctum	0.99
AB385698	Fungi	1.0	Ascomycota	0.84	Dothideomycetes	0.75	Venturiales	0.72	Sympoventuriaceae	0.72	Tetracoccosporium	0.5	Tetracoccosporium_aerium	0.5
JF735264	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	1.0
KX287385	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Mycosphaerellales	1.0	Mycosphaerellaceae	1.0	Ramularia	1.0	Ramularia_cynarae	1.0
JN684766	Fungi	1.0	Basidiomycota	0.61	Agaricomycetes	0.43	Agaricomycetes_ord_Incertae_sedis_Repetobasidium	0.01	Agaricomycetes_fam_Incertae_sedis_Repetobasidium	0.01	Repetobasidium	0.01	Repetobasidium_glaucocanum	0.01
FJ914915	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Pichiaceae	1.0	Ogataea	1.0	Ogataea_polymorpha	1.0
JF735288	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	1.0	Hypocreales	1.0	Nectriaceae	1.0	Ilyonectria	1.0	Ilyonectria_liriodendri	1.0
KM108370	Fungi	1.0	Ascomycota	1.0	Leotiomycetes	0.95	Phacidiales	0.3	Phacidiaceae	0.3	Phacidium	0.3	Phacidium_lacerum	0.3
KM108374	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	0.99	Botryosphaeriales	0.98	Botryosphaeriaceae	0.96	Neodeightonia	0.52	Neodeightonia_phoenicum	0.52
KM108378	Fungi	1.0	Ascomycota	1.0	Dothideomycetes	1.0	Botryosphaeriales	1.0	Botryosphaeriaceae	1.0	Sphaeropsis	0.71	Sphaeropsis_citrigena	0.71
KY102361	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.0	Hyphopichia	1.0	Hyphopichia_rhagii	1.0
JN942657	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Debaryomycetaceae	1.0	Debaryomyces	1.0	Debaryomyces_prosopidis	1.0
EF141551	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Russulales	1.0	Russulaceae	1.0	Lactarius	1.0	Lactarius_subdulcis	1.0
KJ780507	Fungi	1.0	Basidiomycota	0.56	Agaricomycetes	0.44	Russulales	0.12	Stereaceae	0.04	Amylostereum	0.04	Amylostereum_areolatum	0.04
HQ260334	Fungi	1.0	Ascomycota	1.0	Saccharomycetes	1.0	Saccharomycetales	1.0	Saccharomycetaceae	1.0	Kazachstania	1.0	Kazachstania_intestinalis	1.0
UDB038245	Fungi	1.0	Basidiomycota	1.0	Agaricomycetes	1.0	Polyporales	0.97	Phanerochaetaceae	0.77	Phaeophlebiopsis	0.43	Phaeophlebiopsis_ravenelii	0.43
KM591585	Fungi	1.0	Basidiomycota	0.65	Exobasidiomycetes	0.14	Robbauerales	0.14	Robbaueraceae	0.14	Robbauera	0.14	Robbauera_albescens	0.14
MT477069	Fungi	1.0	Ascomycota	0.91	Sordariomycetes	0.75	Hypocreales	0.6	Hypocreaceae	0.28	Trichoderma	0.14	Trichoderma_alutaceum	0.06
KP272110	Fungi	1.0	Ascomycota	0.62	Xylonomycetes	0.15	Symbiotaphrinales	0.12	Symbiotaphrinaceae	0.12	Symbiotaphrina	0.12	Symbiotaphrina_sanguinea	0.04
KU845985	Fungi	1.0	Ascomycota	1.0	Sordariomycetes	0.99	Hypocreales	0.99	Stachybotryaceae	0.99	Alfaria	0.99	Alfaria_terrestris	0.74
JQ989328	Fungi	1.0	Ascomycota	0.85	Pezizomycetes	0.57	Pezizales	0.57	Pyronemataceae	0.57	Tricharina	0.32	Tricharina_praecox	0.22
