ID	kingdom	Prob_kingdom	phylum	Prob_phylum	class	Prob_class	 order	Prob_order	family	Prob_family	genus	Prob_genus	 species	Prob_species
KM108374		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Lasiodiplodia	0.47	Lasiodiplodia_gonubiensis	0.47
JF735288		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
MH861482		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Lachnocladiaceae	1.00	Scytinostroma	1.00	Scytinostroma_alutum	1.00
JF735264		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Nectriaceae	1.00	Ilyonectria	1.00	Ilyonectria_liriodendri	1.00
KM108370		Fungi	1.00	Ascomycota	1.00	Leotiomycetes	1.00	Phacidiales	0.98	Phacidiaceae	0.98	Phacidium	0.98	Phacidium_lacerum	0.98
FJ914915		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Pichiaceae	1.00	Ogataea	1.00	Ogataea_polymorpha	1.00
JN942657		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Debaryomycetaceae	1.00	Debaryomyces	1.00	Debaryomyces_prosopidis	1.00
LT222023		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Agaricales	1.00	Tricholomataceae	1.00	Tricholoma	1.00	Tricholoma_olivaceotinctum	1.00
KY102361		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetales_fam_Incertae_sedis_Hyphopichia	1.00	Hyphopichia	1.00	Hyphopichia_rhagii	1.00
KX287385		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Mycosphaerellaceae	1.00	Ramularia	1.00	Ramularia_cynarae	1.00
KM108378		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Botryosphaeriales	1.00	Botryosphaeriaceae	1.00	Sphaeropsis	0.66	Sphaeropsis_citrigena	0.66
KJ720198		Fungi	1.00	Basidiomycota	0.99	Agaricomycetes	0.98	Agaricales	0.65	Typhulaceae	0.23	Typhula	0.23	Typhula_sclerotioides	0.23
EF141551		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	1.00	Russulales	1.00	Russulaceae	1.00	Lactarius	1.00	Lactarius_subdulcis	1.00
HQ260334		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Saccharomycetaceae	1.00	Kazachstania	1.00	Kazachstania_intestinalis	1.00
JN684766		Fungi	1.00	Basidiomycota	0.87	Agaricomycetes	0.71	Russulales	0.41	Peniophoraceae	0.31	Baltazaria	0.12	Baltazaria_galactina	0.10
AB385698		Fungi	1.00	Ascomycota	0.94	Dothideomycetes	0.84	Venturiales	0.84	Sympoventuriaceae	0.83	Tetracoccosporium	0.60	Tetracoccosporium_aerium	0.60
KJ780507		Fungi	1.00	Ascomycota	0.55	Agaricomycetes	0.40	Russulales	0.23	Peniophoraceae	0.13	Venturia	0.09	Venturia_pyrina	0.09
KU845985		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Alfaria	1.00	Alfaria_terrestris	0.80
UDB038245		Fungi	1.00	Basidiomycota	1.00	Agaricomycetes	0.99	Polyporales	0.96	Phanerochaetaceae	0.79	Phaeophlebiopsis	0.36	Phaeophlebiopsis_ravenelii	0.36
JQ989328		Fungi	1.00	Ascomycota	1.00	Pezizomycetes	0.78	Pezizales	0.78	Pyronemataceae	0.78	Tricharina	0.65	Tricharina_hiemalis	0.33
KU847232		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_brachysporum	1.00
KP272110		Fungi	1.00	Ascomycota	0.92	Xylonomycetes	0.31	Xylonales	0.16	Xylonaceae	0.16	Xylona	0.16	Xylona_heveae	0.16
KU847240		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Striaticonidium	1.00	Striaticonidium_synnematum	0.67
JN000071		Fungi	1.00	Basidiomycota	1.00	Microbotryomycetes	1.00	Microbotryales	1.00	Microbotryaceae	1.00	Microbotryum	1.00	Microbotryum_vinosum	1.00
MT477069		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.90	Hypocreales	0.60	Hypocreaceae	0.26	Trichoderma	0.14	Trichoderma_alutaceum	0.10
KU847252		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Hypocreales	1.00	Stachybotryaceae	1.00	Xepicula	1.00	Xepicula_leucotricha	1.00
EU514225		Fungi	1.00	Ascomycota	1.00	Dothideomycetes	1.00	Mycosphaerellales	1.00	Dissoconiaceae	1.00	Uwebraunia	1.00	Uwebraunia_musae	1.00
MT477071		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	0.94	Hypocreales	0.46	Ophiostomataceae	0.35	Sporothrix	0.31	Sporothrix_ghanensis	0.20
KX820250		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	1.00	Clypeophysalosporaceae	1.00	Clypeophysalospora	1.00	Clypeophysalospora_latitans	1.00
KM591585		Fungi	1.00	Ascomycota	0.55	Agaricomycetes	0.22	Robbauerales	0.14	Robbaueraceae	0.14	Robbauera	0.14	Robbauera_albescens	0.14
KF251156		Fungi	1.00	Ascomycota	1.00	Sordariomycetes	1.00	Amphisphaeriales	0.55	Sporocadaceae	0.33	Discosia	0.18	Discosia_yakushimensis	0.18
LC259095		Fungi	1.00	Ascomycota	1.00	Saccharomycetes	1.00	Saccharomycetales	1.00	Lipomycetaceae	1.00	Lipomyces	1.00	Lipomyces_yarrowii	0.68
