ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus
AAHYM593-16	Insecta	0.999631	unk	0.587432	unk	0.587432	unk	0.587432	unk	0.587432
ABK001-20	Arachnida	1	Araneae	0.984862	Salticidae	0.879762	dummy_Salticidae	0.874757	Attulus	0.379852
AGRID026-10	Insecta	1	Coleoptera	0.834194	Elateridae	0.399882	Elaterinae	0.323533	unk	0.145243
AGRID027-10	Insecta	1	Coleoptera	0.834194	Elateridae	0.399882	Elaterinae	0.323533	unk	0.145243
AMTPA048-15	Insecta	1	Hymenoptera	0.77159	unk	0.4807	unk	0.4807	unk	0.4807
AMTPA069-15	Insecta	1	Hymenoptera	0.999982	Ichneumonidae	0.999971	Ctenopelmatinae	0.999255	Lagarotis	0.526727
AMTPA084-15	Insecta	1	Hymenoptera	0.999858	Ichneumonidae	0.999645	Ichneumoninae	0.966062	Ichneumon	0.64109
AMTPA1011-15	Insecta	1	Hymenoptera	0.998552	Ichneumonidae	0.993763	Orthocentrinae	0.772126	Plectiscidea	0.502207
AMTPA1611-15	Insecta	1	Hymenoptera	0.847483	Ichneumonidae	0.456123	Orthocentrinae	0.167019	unk	0.052513
AMTPA1715-15	Insecta	1	Hymenoptera	0.998565	Braconidae	0.990609	Aphidiinae	0.929599	Aphidius	0.834065
AMTPA1762-15	Insecta	1	Hymenoptera	0.990563	Braconidae	0.967175	Alysiinae	0.563786	Chorebus	0.512021
AMTPA1774-15	Insecta	1	Hymenoptera	0.998315	Braconidae	0.98938	Aphidiinae	0.928359	Aphidius	0.826569
AMTPA2113-15	Insecta	0.999983	Hymenoptera	0.548053	unk	0.414479	unk	0.414479	unk	0.414479
AMTPA2169-15	Insecta	0.99999	unk	0.49086	unk	0.49086	unk	0.49086	unk	0.49086
AMTPA2688-15	Insecta	1	Hymenoptera	0.999965	Chrysididae	0.999942	Chrysidinae	0.999908	Chrysis	0.999719
AMTPA2806-15	Insecta	1	Hymenoptera	1	Dryinidae	0.999999	Anteoninae	0.999952	Anteon	0.998416
AMTPA2809-15	Insecta	1	Hymenoptera	0.999767	Dryinidae	0.999515	Gonatopodinae	0.999273	Gonatopus	0.997998
AMTPA493-15	Insecta	1	Hymenoptera	0.999999	Ichneumonidae	0.999997	Campopleginae	0.9983	Hyposoter	0.986458
