ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	genus	Prob_genus
AMTPA069-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ctenopelmatinae	1.00	Lagarotis	1.00
AGRID026-10	Insecta	1.00	Coleoptera	0.88	Elateridae	0.55	Elaterinae	0.50	Agriotes	0.41
AGRID027-10	Insecta	1.00	Coleoptera	0.88	Elateridae	0.50	Elaterinae	0.48	Agriotes	0.40
AMTPA048-15	Insecta	1.00	Hymenoptera	0.88	Ichneumonidae	0.82	Ctenopelmatinae	0.19	Ctenochira	0.09
AAHYM593-16	Insecta	0.97	Hymenoptera	0.63	Ichneumonidae	0.32	Ichneumoninae	0.06	Lestica	0.03
AMTPA084-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	0.99	Ichneumon	0.88
ABK001-20	Arachnida	1.00	Araneae	1.00	Salticidae	0.84	dummy_Salticidae	0.84	Attulus	0.49
AMTPA1715-15	Insecta	0.97	Hymenoptera	0.80	Braconidae	0.53	Aphidiinae	0.52	Aphidius	0.52
AMTPA1611-15	Insecta	1.00	Hymenoptera	0.88	Ichneumonidae	0.84	Orthocentrinae	0.23	Orthocentrus	0.16
AMTPA1774-15	Insecta	0.96	Hymenoptera	0.65	Braconidae	0.39	Aphidiinae	0.37	Aphidius	0.37
AMTPA1762-15	Insecta	0.96	Hymenoptera	0.60	Braconidae	0.33	Exothecinae	0.21	Colastes	0.21
AMTPA2113-15	Insecta	0.98	Hymenoptera	0.42	Crabronidae	0.16	Crabroninae	0.15	Crossocerus	0.11
AMTPA2169-15	Insecta	1.00	Hymenoptera	0.55	Ichneumonidae	0.18	Eulophinae	0.09	Eulonchetron	0.05
AMTPA1011-15	Insecta	1.00	Hymenoptera	0.85	Ichneumonidae	0.84	Orthocentrinae	0.27	Plectiscidea	0.09
AMTPA2809-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Gonatopodinae	1.00	Gonatopus	1.00
AMTPA493-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Campopleginae	1.00	Hyposoter	1.00
AMTPA677-15	Insecta	1.00	Hymenoptera	0.98	Ichneumonidae	0.92	Phygadeuontinae	0.36	Theroscopus	0.13
AMTPA861-15	Insecta	0.91	Hymenoptera	0.34	Ichneumonidae	0.16	Harpalinae	0.06	Pamphilius	0.05
AMTPA2806-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00
AMTPA2688-15	Insecta	1.00	Hymenoptera	1.00	Chrysididae	1.00	Chrysidinae	1.00	Chrysis	1.00
AMTPB005-15	Insecta	1.00	Hymenoptera	0.96	Ichneumonidae	0.90	Orthocentrinae	0.24	Plectiscidea	0.08
AMTPB017-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Ichneumoninae	1.00	Homotherus	1.00
AMTPB1265-15	Insecta	0.97	Hymenoptera	0.68	Ichneumonidae	0.30	Ctenopelmatinae	0.07	Crossocerus	0.04
AMTPB045-15	Insecta	1.00	Hymenoptera	0.45	Ichneumonidae	0.16	Megachilinae	0.07	Pnigalio	0.06
AMTPB1422-15	Insecta	0.97	Hymenoptera	0.32	Ichneumonidae	0.13	Phygadeuontinae	0.05	Eridolius	0.02
AMTPB1389-15	Insecta	1.00	Hymenoptera	0.99	Ichneumonidae	0.99	Phygadeuontinae	0.97	Aclastus	0.89
AMTPB1789-15	Insecta	1.00	Hymenoptera	0.96	Ichneumonidae	0.95	Campopleginae	0.64	Campoletis	0.54
AMTPB1804-15	Insecta	1.00	Hymenoptera	1.00	Tenthredinidae	1.00	Allantinae	1.00	Ametastegia	1.00
AMTPB1910-15	Insecta	1.00	Hymenoptera	0.54	Tenthredinidae	0.20	Selandriinae	0.05	Telenomus	0.05
AMTPB1989-15	Insecta	0.96	Hymenoptera	0.53	Ichneumonidae	0.21	Crabroninae	0.13	Pholetesor	0.09
AMTPB2066-15	Insecta	1.00	Hymenoptera	1.00	Dryinidae	1.00	Anteoninae	1.00	Anteon	1.00
AMTPB2170-15	Insecta	1.00	Hymenoptera	1.00	Eulophidae	1.00	Eulophinae	1.00	Pnigalio	1.00
AMTPB1674-15	Insecta	1.00	Hymenoptera	0.61	Eulophidae	0.23	Entedoninae	0.12	Chrysocharis	0.06
AMTPB768-15	Insecta	1.00	Hymenoptera	0.48	Ichneumonidae	0.23	Tryphoninae	0.05	Synergus	0.05
AMTPB274-15	Insecta	0.99	Hymenoptera	0.61	Braconidae	0.25	Exothecinae	0.11	Colastes	0.11
AMTPB755-15	Insecta	1.00	Hymenoptera	0.91	Ichneumonidae	0.86	Campopleginae	0.27	Olesicampe	0.10
AMTPB1733-15	Insecta	1.00	Hymenoptera	1.00	Ichneumonidae	1.00	Orthocentrinae	1.00	Stenomacrus	1.00
AMTPC001-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC002-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC003-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Polia	1.00
AMTPC015-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00
AMTPC035-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Entephria	1.00
AMTPC036-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Sideridis	1.00
AMTPC038-15	Insecta	1.00	Lepidoptera	1.00	Sesiidae	1.00	Sesiinae	1.00	Synanthedon	1.00
AMTPC039-15	Insecta	1.00	Lepidoptera	1.00	Lasiocampidae	1.00	Lasiocampinae	1.00	Lasiocampa	1.00
AMTPC040-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Macroglossinae	1.00	Hemaris	1.00
AMTPC014-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Hadena	1.00
AMTPC044-15	Insecta	1.00	Lepidoptera	1.00	Pieridae	1.00	Pierinae	1.00	Pieris	1.00
AMTPC037-15	Insecta	1.00	Lepidoptera	1.00	Sphingidae	1.00	Smerinthinae	1.00	Laothoe	1.00
AMTPC053-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Cuculliinae	1.00	Cucullia	1.00
AMTPC064-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00
AMTPC066-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Spilomelinae	1.00	Udea	1.00
AMTPC074-15	Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	Anania	1.00
AMTPC075-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Triphosa	1.00
AMTPC080-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00
AMTPC078-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.51	Larentiinae	0.45	Eupithecia	0.09
AMTPC082-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	0.99	Noctuinae	0.99	Anarta	0.70
AMTPC088-15	Insecta	1.00	Lepidoptera	1.00	Tortricidae	1.00	Tortricinae	1.00	Cnephasia	1.00
AMTPC086-15	Insecta	1.00	Lepidoptera	0.99	Geometridae	0.97	Larentiinae	0.97	Colostygia	0.91
AMTPC090-15	Insecta	1.00	Lepidoptera	0.99	Nymphalidae	0.84	Satyrinae	0.83	Erebia	0.48
AMTPC089-15	Insecta	1.00	Lepidoptera	0.97	Nymphalidae	0.85	Satyrinae	0.81	Erebia	0.47
AMTPC093-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Thera	1.00
AMTPC091-15	Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Antitype	1.00
AMTPC101-15	Insecta	1.00	Lepidoptera	1.00	Geometridae	1.00	Larentiinae	1.00	Perizoma	1.00
AMTPC117-15	Insecta	1.00	Lepidoptera	0.98	Geometridae	0.60	Ennominae	0.51	Psodos	0.36
AMTPC123-15	Insecta	1.00	Lepidoptera	1.00	Nymphalidae	1.00	Satyrinae	1.00	Lasiommata	1.00
