ID	class	Prob_class	order	Prob_order	family	Prob_family	subfamily	Prob_subfamily	tribe	Prob_tribe	genus	Prob_genus	species	Prob_species
TBGMI172-21		Insecta	0.85	Diptera	0.35	Chironomidae	0.10	Orthocladiinae	0.06	dummy_Orthocladiinae	0.06	Athripsodes	0.04	Athripsodes_aterrimus	0.04
TBGMI063-21		Insecta	1.00	Diptera	0.54	Geometridae	0.08	Exoristinae	0.07	dummy_Larentiinae	0.07	Palloptera	0.06	Palloptera_umbellatarum	0.06
TBGMI051-21		Insecta	1.00	Diptera	0.36	Chironomidae	0.13	Orthocladiinae	0.10	dummy_Orthocladiinae	0.10	Coleophora	0.08	Neogalerucella_calmariensis	0.05
TACFI440-12		Insecta	1.00	Diptera	0.96	Tachinidae	0.55	Phasiinae	0.31	Phasiini	0.30	Phasia	0.30	Phasia_barbifrons	0.12
SYGEO010-19		Insecta	1.00	Diptera	1.00	Syrphidae	0.77	Syrphinae	0.69	Syrphini	0.67	Paragus	0.56	Paragus_pecchiolii	0.55
TACFI441-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Phasiini	1.00	Phasia	1.00	Phasia_obesa	1.00
TIPSY021-08		Insecta	1.00	Diptera	0.50	Tachinidae	0.13	Eristalinae	0.09	Eucosmini	0.05	Aphelia	0.05	Aphelia_viburnana	0.05
SMNKA181-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.99	dummy_Linyphiidae	0.99	dummy_Linyphiidae	0.99	Agyneta	0.98	Agyneta_mossica	0.74
SMNKA310-16		Arachnida	0.96	Araneae	0.96	Linyphiidae	0.35	dummy_Linyphiidae	0.35	dummy_Linyphiidae	0.35	Lepthyphantes	0.08	Lepthyphantes_minutus	0.07
TBGMI030-21		Insecta	1.00	Diptera	0.48	Staphylinidae	0.14	Orthocladiinae	0.08	dummy_Orthocladiinae	0.08	Atheta	0.04	Xanthoperla_apicalis	0.02
TBGMI059-21		Insecta	0.99	Coleoptera	0.47	Staphylinidae	0.09	Hydroporinae	0.07	Hydroporini	0.06	Hydroporus	0.06	Hydroporus_fuscipennis	0.04
SCINO931-15		Insecta	1.00	Diptera	0.92	Sciaridae	0.74	dummy_Sciaridae	0.74	dummy_Sciaridae	0.74	Prosciara	0.23	Prosciara_prosciaroides	0.23
TIPSY020-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_lichenella	0.99
ZSMDB080-16		Insecta	1.00	Coleoptera	1.00	Dytiscidae	1.00	Colymbetinae	1.00	Colymbetini	1.00	Colymbetes	1.00	Colymbetes_paykulli	1.00
SMNSA135-16		Arachnida	0.94	Araneae	0.94	Salticidae	0.16	dummy_Salticidae	0.16	dummy_Salticidae	0.16	Gnaphosa	0.12	Myrmarachne_formicaria	0.10
TBGMI176-21		Insecta	0.56	Sarcoptiformes	0.37	Ceratozetidae	0.10	dummy_Ceratozetidae	0.10	dummy_Ceratozetidae	0.10	Chamobates	0.06	Chamobates_cuspidatus	0.05
TIPSY040-08		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Dahlica	1.00	Dahlica_listerella	1.00
ZYGMO232-10		Insecta	1.00	Lepidoptera	1.00	Zygaenidae	1.00	Procridinae	1.00	Procridini	1.00	Rhagades	1.00	Rhagades_pruni	1.00
SMNKA249-16		Arachnida	1.00	Araneae	1.00	Liocranidae	1.00	dummy_Liocranidae	1.00	dummy_Liocranidae	1.00	Agroeca	1.00	Agroeca_proxima	1.00
TACFI196-12		Insecta	1.00	Diptera	0.97	Scathophagidae	0.29	Scathophaginae	0.28	Hydromyzini	0.16	Pogonota	0.14	Pogonota_barbata	0.10
SMNKA042-16		Arachnida	0.98	Araneae	0.98	Thomisidae	0.66	dummy_Thomisidae	0.66	dummy_Thomisidae	0.66	Ozyptila	0.43	Ozyptila_atomaria	0.22
TBGMI106-21		Insecta	0.98	Hemiptera	0.27	Tenthredinidae	0.15	Rhyparochrominae	0.11	dummy_Allantinae	0.05	Allantus	0.04	Allantus_cinctus	0.04
SMNKA199-16		Arachnida	0.99	Araneae	0.99	Linyphiidae	0.79	dummy_Linyphiidae	0.79	dummy_Linyphiidae	0.79	Walckenaeria	0.29	Walckenaeria_cuspidata	0.25
PSYCH068-11		Insecta	1.00	Lepidoptera	1.00	Psychidae	1.00	Naryciinae	1.00	dummy_Naryciinae	1.00	Diplodoma	1.00	Diplodoma_laichartingella	1.00
TACFI435-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Blondeliini	1.00	Medina	1.00	Medina_collaris	1.00
ULMCA013-19		Insecta	1.00	Coleoptera	1.00	Nitidulidae	1.00	Carpophilinae	1.00	dummy_Carpophilinae	1.00	Carpophilus	1.00	Carpophilus_marginellus	1.00
SCINO1295-16		Insecta	1.00	Diptera	0.79	Sciaridae	0.67	dummy_Sciaridae	0.67	dummy_Sciaridae	0.67	Cratyna	0.34	Cratyna_nobilis	0.34
SYGEO240-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Syrphinae	1.00	Syrphini	1.00	Sphaerophoria	1.00	Sphaerophoria_chongjini	0.67
TACFI276-12		Insecta	1.00	Diptera	0.94	Tachinidae	0.61	Exoristinae	0.56	Goniini	0.34	Pales	0.16	Pales_pavida	0.16
RDNMD360-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Plusiinae	1.00	Plusiini	1.00	Polychrysia	1.00	Polychrysia_moneta	1.00
TBGMI157-21		Insecta	0.80	Coleoptera	0.30	Trhypochthoniidae	0.11	dummy_Trhypochthoniidae	0.11	dummy_Trhypochthoniidae	0.11	Trhypochthoniellus	0.11	Trhypochthoniellus_longiseta	0.11
TBGMI057-21		Insecta	1.00	Coleoptera	0.50	Staphylinidae	0.13	Orthocladiinae	0.09	dummy_Orthocladiinae	0.09	Eukiefferiella	0.04	Eukiefferiella_dittmari	0.04
TACFI397-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Exoristinae	1.00	Eryciini	1.00	Hubneria	1.00	Hubneria_affinis	1.00
SMNSH039-23		Insecta	0.98	Lepidoptera	0.31	Ichneumonidae	0.10	Pemphredoninae	0.04	Pemphredonini	0.04	Passaloecus	0.04	Phyllonorycter_maestingella	0.04
SMNKA264-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	0.98	dummy_Linyphiidae	0.98	dummy_Linyphiidae	0.98	Walckenaeria	0.21	Walckenaeria_alticeps	0.14
TBGMI055-21		Insecta	1.00	Coleoptera	0.63	Staphylinidae	0.28	Aleocharinae	0.10	dummy_Steninae	0.08	Stenus	0.08	Stenus_flavipes	0.05
SCINO1501-16		Insecta	1.00	Diptera	0.54	Sciaridae	0.36	dummy_Sciaridae	0.36	dummy_Sciaridae	0.36	Bradysia	0.12	Prosciara_prosciaroides	0.08
SCINO499-15		Insecta	1.00	Diptera	0.54	Sciaridae	0.22	dummy_Sciaridae	0.22	dummy_Sciaridae	0.22	Scatopsciara	0.04	Frontina_laeta	0.03
ZMBN1662-20		Insecta	1.00	Hemiptera	1.00	Saldidae	1.00	Saldinae	1.00	Saldoidini	1.00	Saldula	1.00	Saldula_palustris	0.77
TACFI408-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_rudis	1.00
SRCNC528-16		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Rhingiini	1.00	Pelecocera	1.00	Pelecocera_scaevoides	1.00
TACFI219-12		Insecta	1.00	Diptera	0.92	Tachinidae	0.64	Exoristinae	0.59	Winthemiini	0.51	Nemorilla	0.49	Nemorilla_maculosa	0.49
TBGMI199-22		Insecta	1.00	Diptera	0.51	Pediciidae	0.11	Ulinae	0.10	dummy_Ulinae	0.10	Ula	0.10	Ula_sylvatica	0.08
SMNSA063-16		Arachnida	0.89	Araneae	0.89	Theridiidae	0.42	dummy_Theridiidae	0.42	dummy_Theridiidae	0.42	Theridion	0.17	Theridion_pictum	0.13
TRIFI1404-18		Insecta	1.00	Trichoptera	1.00	Limnephilidae	1.00	Limnephilinae	1.00	dummy_Limnephilinae	1.00	Limnephilus	1.00	Limnephilus_centralis	1.00
SMNSH037-23		Insecta	1.00	Lepidoptera	0.44	Ichneumonidae	0.22	Phygadeuontinae	0.07	dummy_Phygadeuontinae	0.07	Mycetophila	0.04	Entephria_nobiliaria	0.04
RDNMG509-08		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Tholerini	1.00	Cerapteryx	1.00	Cerapteryx_graminis	1.00
TBGMI155-21		Arachnida	1.00	Sarcoptiformes	1.00	Gustaviidae	1.00	dummy_Gustaviidae	1.00	dummy_Gustaviidae	1.00	Gustavia	1.00	Gustavia_microcephala	1.00
TACFI205-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.97	Exoristinae	0.97	Exoristini	0.95	Phorocera	0.92	Phorocera_obscura	0.92
SRDOC001-15		Insecta	1.00	Diptera	0.84	Mycetophilidae	0.39	Gnoristinae	0.28	dummy_Gnoristinae	0.28	Boletina	0.25	Boletina_moravica	0.12
SMNKA030-16		Arachnida	0.93	Araneae	0.93	Linyphiidae	0.52	dummy_Linyphiidae	0.52	dummy_Linyphiidae	0.52	Tallusia	0.18	Tallusia_experta	0.18
SMNSP634-19		Insecta	0.94	Hymenoptera	0.62	Eulophidae	0.23	Eulophinae	0.17	dummy_Eulophinae	0.17	Pnigalio	0.16	Eulonchetron_torymoides	0.12
TBGMI188-21		Arachnida	1.00	Sarcoptiformes	1.00	Tenuialidae	1.00	dummy_Tenuialidae	1.00	dummy_Tenuialidae	1.00	Hafenrefferia	1.00	Hafenrefferia_gilvipes	1.00
TACFI464-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Tachininae	1.00	Ernestiini	1.00	Panzeria	1.00	Panzeria_puparum	1.00
TBGMI015-21		Insecta	0.99	Coleoptera	0.55	Staphylinidae	0.22	Aleocharinae	0.14	Athetini	0.08	Atheta	0.06	Anomognathus_cuspidatus	0.03
SMNSA248-16		Arachnida	0.96	Araneae	0.96	Salticidae	0.43	dummy_Salticidae	0.43	dummy_Salticidae	0.43	Attulus	0.15	Synageles_venator	0.13
SYGEO183-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	0.99	Volucellini	0.99	Volucella	0.99	Volucella_pellucens	0.94
TBGMI159-21		Insecta	0.65	Sarcoptiformes	0.34	Scheloribatidae	0.10	dummy_Scheloribatidae	0.10	dummy_Scheloribatidae	0.10	Hemileius	0.10	Hemileius_initialis	0.10
SMNKA041-16		Arachnida	1.00	Araneae	1.00	Theridiidae	1.00	dummy_Theridiidae	1.00	dummy_Theridiidae	1.00	Robertus	1.00	Robertus_scoticus	1.00
TBGMI056-21		Insecta	1.00	Diptera	0.61	Chironomidae	0.24	Chironominae	0.12	Tanytarsini	0.11	Tanytarsus	0.11	Tanytarsus_striatulus	0.05
TBGMI031-21		Insecta	1.00	Diptera	0.39	Staphylinidae	0.10	Mycetophilinae	0.08	Exechiini	0.07	Harpalus	0.03	Harpalus_laevipes	0.03
TBGMI164-21		Insecta	0.86	Diptera	0.29	Mycetophilidae	0.11	Mycetophilinae	0.06	Mycetophilini	0.05	Syntemna	0.03	Orthotrichia_costalis	0.03
RDNMH543-09		Insecta	1.00	Lepidoptera	1.00	Crambidae	1.00	Pyraustinae	1.00	dummy_Pyraustinae	1.00	Anania	1.00	Anania_coronata	1.00
TBGMI194-21		Insecta	0.95	Diptera	0.35	Tachinidae	0.07	Phytomyzinae	0.05	dummy_Phytomyzinae	0.05	Caryocolum	0.04	Liriomyza_flaveola	0.03
RDBA533-06		Insecta	1.00	Lepidoptera	0.45	Ichneumonidae	0.22	Phygadeuontinae	0.10	dummy_Phygadeuontinae	0.10	Schizopyga	0.07	Schizopyga_podagrica	0.04
SMNKA266-16		Arachnida	1.00	Araneae	1.00	Lycosidae	1.00	dummy_Lycosidae	1.00	dummy_Lycosidae	1.00	Alopecosa	0.86	Alopecosa_pulverulenta	0.63
TRCBG224-20		Insecta	1.00	Diptera	0.31	Curculionidae	0.08	Hyperinae	0.05	Hyperini	0.05	Bucculatrix	0.04	Idiocerus_stigmaticalis	0.03
TBGMI035-21		Insecta	0.97	Diptera	0.48	Mycetophilidae	0.14	Gnoristinae	0.11	dummy_Gnoristinae	0.11	Boletina	0.11	Boletina_digitata	0.05
SMNSA168-16		Insecta	0.96	Lepidoptera	0.30	Tenthredinidae	0.08	Scopariinae	0.05	dummy_Scopariinae	0.05	Eudonia	0.05	Mitopus_morio	0.04
SMNSP872-19		Insecta	0.95	Hymenoptera	0.76	Eulophidae	0.27	Pteromalinae	0.15	Pteromalini	0.15	Eulonchetron	0.09	Eulonchetron_torymoides	0.09
SYGEO374-19		Insecta	1.00	Diptera	1.00	Syrphidae	1.00	Eristalinae	1.00	Merodontini	1.00	Eumerus	1.00	Eumerus_flavitarsis	1.00
SATIP642-09		Insecta	1.00	Diptera	0.90	Tipulidae	0.29	Tipulinae	0.24	dummy_Tipulinae	0.24	Tipula	0.23	Tipula_circumdata	0.07
SYGEO127-19		Insecta	1.00	Diptera	1.00	Syrphidae	0.99	Eristalinae	0.98	Milesiini	0.95	Xylota	0.95	Xylota_meigeniana	0.48
TBGMI174-21		Insecta	0.74	Diptera	0.23	Chironomidae	0.08	dummy_Linyphiidae	0.07	dummy_Linyphiidae	0.07	Microlinyphia	0.03	Agraylea_sexmaculata	0.02
TACFI613-12		Insecta	1.00	Diptera	1.00	Tachinidae	1.00	Phasiinae	1.00	Gymnosomatini	1.00	Gymnosoma	1.00	Gymnosoma_nudifrons	1.00
SMNKA257-16		Arachnida	1.00	Araneae	1.00	Linyphiidae	1.00	dummy_Linyphiidae	1.00	dummy_Linyphiidae	1.00	Bolyphantes	1.00	Bolyphantes_alticeps	1.00
TACFI446-12		Insecta	1.00	Diptera	0.98	Tachinidae	0.92	Phasiinae	0.81	Cylindromyiini	0.81	Cylindromyia	0.81	Cylindromyia_brassicaria	0.75
TBGMI037-21		Insecta	1.00	Diptera	0.46	Staphylinidae	0.13	Aleocharinae	0.11	Tanytarsini	0.07	Donacia	0.05	Donacia_bicolora	0.05
TIPSY038-08		Insecta	1.00	Lepidoptera	0.91	Psychidae	0.40	Psychinae	0.38	dummy_Psychinae	0.38	Proutia	0.35	Proutia_rotunda	0.27
RDNMD363-06		Insecta	1.00	Lepidoptera	1.00	Noctuidae	1.00	Noctuinae	1.00	Leucaniini	1.00	Leucania	1.00	Leucania_comma	1.00
TRCBG1489-20		Insecta	0.98	Diptera	0.33	Mycetophilidae	0.07	dummy_Sciaridae	0.06	dummy_Sciaridae	0.06	Bucculatrix	0.06	Stigmella_lediella	0.03
TACFI466-12		Insecta	1.00	Diptera	0.86	Tachinidae	0.22	dummy_Anthomyiidae	0.14	dummy_Anthomyiidae	0.14	Helina	0.07	Helina_trivittata	0.06
TACFI204-12		Insecta	1.00	Diptera	1.00	Tachinidae	0.99	Exoristinae	0.99	Exoristini	0.96	Phorocera	0.88	Phorocera_obscura	0.88
TACFI447-12		Insecta	1.00	Diptera	0.86	Tachinidae	0.36	Tachininae	0.13	Cylindromyiini	0.12	Cylindromyia	0.12	Cylindromyia_brassicaria	0.11
